# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.056414503797973747e+00 6.255867983434963975e+00 -7.149298154731287269e-01 2.316616201885270954e-01
2.032348814803238479e+00 6.330027096743348736e+00 -5.277178755302772695e-01 1.263557140918815103e-01
2.126106470381181612e+00 6.089844920446613408e+00 1.786019731883640160e-01 1.578718278040859291e-01
2.423699388283792722e+00 2.874713222822558478e+00 5.898456202831801054e-01 1.110352856648458009e-01
2.092316812577166285e+00 5.265972653329479058e+00 -9.916772125480662892e-01 1.509865827203509259e-01
3.022233512189459237e+00 6.368495898973009162e+00 1.138259140332520403e+00 2.538637495661392740e-01
1.681384441035615795e+00 6.498812832583199750e+00 -7.576094892522013957e-01 6.821835762349262589e-02
2.048223207474298757e+00 3.767920015044129212e+00 -1.336217010267001015e+00 3.437223045404931843e-01
2.041514747983557587e+00 7.315516312522602149e+00 -6.615178052427806987e-01 4.532466126702260067e-02
2.757177793107156383e+00 1.181356197886660730e+01 -1.032956334832985767e+00 1.122540312802754459e-01
1.412818000311768518e+00 4.226739299362092694e+00 -8.689186270517343935e-01 1.203806101854851124e-01
2.094061027445672352e+00 4.553354793290888658e+00 1.073762780085663060e+00 3.538324430406594168e-01
1.777965132763049017e+00 4.603418702496722581e+00 3.051317102614125587e-01 1.500144230681837443e-01
1.894717037849664942e+00 7.705886775236861830e+00 -1.085230464702616471e-01 2.130177691780851812e-01
1.354797821749282871e+00 1.332520188225320723e+01 -1.411827688187524243e+00 5.799320111704464598e-02
2.478407197643288651e+00 8.030435990002027680e+00 3.497252980128487398e-01 1.205158776475979410e-01
1.689440080594731386e+00 5.054548897547681108e+00 3.343712264997056316e-01 7.911636601593610707e-02
2.215726949425022241e+00 7.318631574949814755e+00 -3.902174654706147550e-02 2.896307170496005834e-01
1.709200546253779374e+00 7.359958228469086983e+00 -3.109267185253128396e-01 1.670464948922336934e-01
1.730166195154863695e+00 3.667742432960422239e+00 4.022562105259430698e-01 2.408510023788229537e-01
1.472337409838794020e+00 6.895588418273573161e+00 -1.071835545017856939e+00 2.247366378298535361e-01
3.389720797686063936e+00 3.608103982036801494e+00 -4.125538188014679641e-01 5.136490879827372569e-02
9.337250037204971598e-01 8.533097196506023607e+00 -1.082993124753463210e+00 1.335241503530447682e-01
2.056612881467058784e+00 4.657423162848747467e+00 4.224214289640764175e-01 1.560166808517927939e-01
1.387797108695374426e+00 4.367145494458828381e+00 -6.576458379239344954e-01 3.762803166908413877e-01
1.897572644960510813e+00 3.820821083750826297e+00 -1.438310976304101985e+00 5.208187262014012109e-02
1.252135784332556456e+00 8.376692397964166759e+00 -7.585333459006984302e-01 2.223474706212316965e-01
1.553763246495993178e+00 3.048742000643943850e+00 -1.783522160938150414e+00 6.653530255541320604e-02
2.097997600946279739e+00 5.966991988141286285e+00 -5.349348584135751317e-01 1.537721879213229947e-01
9.541610959576264372e-01 3.462190268136772886e+00 -1.892581223762506371e+00 2.886618220627979459e-01
2.034238229618807292e+00 6.458105356932659191e+00 4.903651817037811833e-01 4.969330111072232936e-02
1.995501570863002172e+00 8.374792113511507097e+00 5.822985148573458503e-01 1.207649267936957288e-01
1.294479172204740181e+00 5.044467241225151000e+00 -1.324541286727531686e+00 7.808355079776335694e-02
1.277183017374554863e+00 1.097552381457703952e+01 -4.253386641079157093e-01 1.154062282920344795e-01
3.070852258198642382e+00 6.746932020692296028e+00 -1.830805174625147469e+00 1.242969801485819953e-01
2.518868753934893512e+00 1.233933316936521329e+01 6.289506735944312421e-01 1.635552036846689705e-01
2.144240383070886047e+00 6.925163149221613246e+00 8.493460909178423002e-01 2.630027923227250541e-01
1.826583215814331584e+00 5.585101521107464606e+00 -7.626951509497048587e-01 4.528947750246009596e-02
3.522366338822345622e+00 6.428273335174776726e+00 1.368779575583691788e-01 1.072022095707650113e-01
1.481717857414044159e+00 4.103758203910201630e+00 -1.084116621433950600e+00 1.001059835291438632e-01
1.462605243249413656e+00 5.242304723691384893e+00 -1.324007927841474475e+00 2.631282258546604469e-01
1.541362510813987230e+00 4.725330686885605758e+00 1.533802981445915314e+00 3.575223391068643175e-01
2.052335999161357449e+00 4.876253376760976366e+00 -1.085768517144586998e+00 4.498821302404006073e-02
