# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.224809801128929010e+00 7.766539547581144731e+00 2.128333861159088514e+00 5.470471243892488511e-02
2.874053528602641627e+00 8.203837619552686533e+00 1.175047018346194738e-01 1.721396304131790345e-01
1.706077462022855151e+00 9.160497262828089404e+00 -1.523184039594549732e+00 2.884753082737725460e-01
2.031265227656402050e+00 7.395389872163106837e+00 1.873762801450774562e+00 7.899180948352249598e-02
2.249911153053535173e+00 5.637606348683176449e+00 -3.510927920140066161e-01 1.281078184455144431e-01
1.502670863411037061e+00 5.552281395198393810e+00 2.454973832638110753e+00 2.418224207426321049e-01
7.661297003351287271e-01 4.079174621359689112e+00 4.244644529562684454e-01 2.205281853762214861e-01
2.844620319451970136e+00 6.643651354852721624e+00 -1.535412631858396049e+00 2.042153356050198376e-01
7.131242794919461225e-01 8.472597308651506509e+00 -2.669610073069962897e-01 2.393419511273930933e-01
1.840751238374164211e+00 3.164260221561054465e+00 1.610390220521344951e+00 7.110283865546704329e-02
3.040127502511406288e+00 5.390991313683890951e+00 -7.893536526995853508e-02 1.481928822508696286e-01
2.946945098786542871e+00 6.516610465870353863e+00 3.895337483364780806e-01 1.058386272219029450e-01
1.769775865659071190e+00 5.174015426926927397e+00 9.213000863017548614e-01 1.713348419277752055e-01
1.887275973777836402e+00 5.000129595130279547e+00 -1.110963566357260568e+00 1.274442687866421953e-01
1.165582550792010341e+00 6.099185549186169730e+00 -1.518885287630900471e+00 2.024492122008264561e-01
1.557386322244717070e+00 4.168111124361468356e+00 7.868761500617829086e-01 4.291053165880381326e-01
1.470869362748976616e+00 3.962839652434137605e+00 -1.541995588024068109e+00 1.028334818999251665e-01
1.975501021258485146e+00 3.926851803986763034e+00 -9.192075083087394294e-01 5.093098336728746345e-01
1.484772589498295936e+00 9.869410870546563075e+00 -6.704893192741263608e-01 5.782477129654722825e-01
4.424837192556799748e-01 5.374431953689748909e+00 -1.265080820011653673e+00 7.817042623335015983e-02
1.557748715864749167e+00 2.926994718624120750e+00 8.365148619834977817e-03 1.315017793671597324e-01
1.846048796434723194e+00 1.041942011736950136e+01 7.476265011980149922e-01 7.213114307830750804e-02
2.761513928111130944e+00 3.743170064525165319e+00 2.306351252646765548e-02 2.509703955721911406e-01
2.174155339531628872e+00 3.917007851887278846e+00 1.161875883790841169e+00 8.944116205600988190e-02
9.397250466978915862e-01 5.084108938965195890e+00 3.532381776074885460e-01 1.134089341378183430e-01
2.173888209567271357e+00 6.255619489422596047e+00 2.320044805587441861e+00 1.431531062614475602e-01
9.971818404546239911e-01 5.014546567558843648e+00 -1.012283029879984086e+00 1.728334765395429518e-01
1.090272143307810193e+00 7.048306832823602264e+00 1.799074594199567279e-01 3.183767161201393470e-01
2.343941001166627736e+00 1.131216916388341076e+01 -4.532249925819083480e-01 7.943423031346785734e-02
