# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.917911700319557156e+00 7.537255708851978930e+00 -6.591260321946109668e-01 2.711749580479492217e-01
1.123173818034374882e+00 3.276293827023229799e+00 -1.329131672482715798e+00 5.734244161670259271e-02
1.567107094094252417e+00 1.359589527256193087e+01 1.868947266769009352e-01 2.311551756896422227e-01
2.362068376743694742e+00 1.130669673939761033e+01 2.371942431287190178e+00 5.717066806353479635e-02
1.029848715500994549e+00 6.090480016565081200e+00 8.328427619656542102e-01 5.700357420652097523e-02
1.363584480904088680e+00 4.744588911811661092e+00 -1.690253332778060447e+00 1.587112133941749881e-01
2.501006785767057927e+00 8.559399265257296108e+00 1.024860362744910214e+00 7.971932183358348967e-02
1.483277702100438855e+00 3.630719377199475684e+00 -6.242593191167976618e-01 1.247319278511241081e-01
1.081925712036155840e+00 6.354628419458172139e+00 8.101230230021506662e-01 1.823222631727447196e-01
1.987822061020200648e+00 6.208065158266547812e+00 -1.150957669117679938e+00 2.090624551383722662e-01
1.878556099974751037e+00 2.610156591818656668e+00 1.233433158582508682e+00 1.199259754810598905e-01
1.378779816862046870e+00 4.529157509459938780e+00 -7.795625228794011985e-01 2.445591583794775037e-01
1.468675835322874157e+00 7.526355259390827612e+00 -9.962864790201293452e-01 1.341330510353585248e-01
8.636157042532728312e-01 2.841912758986733234e+00 -1.709266852229018863e+00 8.135720699291194846e-02
2.072541724499418425e+00 1.024466617864597495e+01 1.547962119631985045e+00 3.968859647515484701e-01
2.262674740096857651e+00 6.600087387888966539e+00 2.440364179353149421e+00 1.096189289545174139e-01
1.826789052199231822e+00 1.206224250380325813e+01 -1.516245574136356966e+00 2.095337376457211687e-01
1.230755966114874811e+00 8.738870465082523964e+00 -6.342063573657135134e-01 1.228720720356250296e-01
3.337926343790714512e+00 5.792918904624622556e+00 2.179743706350264709e+00 1.510869479204141885e-01
1.850331648882975522e+00 7.504206926469207950e+00 3.684293296558233122e-01 2.372025801509937692e-01
1.352353797787461120e+00 1.328950622827810335e+01 -6.599394874955493151e-01 1.733965802658263833e-01
1.652917612242370327e+00 4.715624832858269500e+00 1.484228335906916829e+00 1.557807469642953357e-01
1.744207606072886385e+00 3.720944761874489526e+00 1.796859582672328148e+00 7.077921894317691642e-02
8.927043717580600557e-01 5.638861451564377347e+00 -4.538439556347523274e-01 2.690579238728094680e-01
1.730863233963115366e+00 3.514559158900838476e+00 1.598332459555740881e+00 1.540044003387184002e-01
1.849482163669887935e+00 7.195522811048881806e+00 4.890518219707817860e-01 2.779211722448425848e-01
2.901330742767997073e+00 5.688260362178140461e+00 -1.576789402325754708e+00 2.318870446529420482e-01
1.123906336069548706e+00 5.509738051006081605e+00 -4.293409441149011463e-01 1.680922892188165818e-01
1.894418283563538363e+00 3.219510232361906699e+00 -7.795929436100907939e-01 1.502881726860187117e-01
2.362068376743694742e+00 1.130669673939761033e+01 2.371942431287190178e+00 5.717066806353479635e-02
2.697986665096914649e+00 5.863623391429782394e+00 1.046193567886026132e+00 1.676111697035941039e-01
1.328229505695694979e+00 4.863452625001527529e+00 -1.112417499434961599e+00 6.706759594835323690e-02
1.140166337676078445e+00 3.716768564822115373e+00 1.708039514070109677e+00 5.190425373841347362e-02
9.247861185286588848e-01 6.259000802534711028e+00 1.453588558077037574e+00 2.149789984496743855e-01
1.228266810778877449e+00 3.024290559031657555e+00 9.812823750386296950e-01 9.125874142234378927e-02
1.651083722920299257e+00 7.172716543144145973e+00 1.580044859987168815e+00 3.918755011736094751e-01
1.510415324067846399e+00 6.858952510399539904e+00 9.856739542940884391e-02 2.565460586587764991e-01
1.051490602221012427e+00 6.082455872423859766e+00 2.047290941748571014e-01 1.752853103464169782e-01
2.170238327153793279e+00 3.502317632355989474e+00 1.061280923271531229e+00 5.495998684087928243e-01
1.789867865943270298e+00 4.196246604471214781e+00 2.906033840660948719e-01 2.287856340968056346e-01
2.792164474197796231e+00 9.749066658713271494e+00 1.136352654479060087e+00 1.188210966659148937e-01
2.308922037490048318e+00 7.075998613147096883e+00 1.155893610429387763e+00 1.213443842127853722e-01
1.296053710450395080e+00 4.480742696705652506e+00 -1.652948854911913679e-01 4.520877125456188028e-02
1.267033036307571026e+00 5.999261762575815560e+00 1.381024523728312081e+00 1.791151416912802885e-01
1.664345257703214065e+00 7.507320294556312668e+00 1.399315137131856179e+00 1.081633858261778908e-01
2.511879109635426044e+00 5.690055721235272479e+00 -6.635895972976193491e-01 1.909911111372122883e-02
1.125629969628225036e+00 5.045367928854535222e+00 8.709679650856568811e-01 1.009276193878754085e-01
1.516050600398780590e+00 4.994032840908523063e+00 -8.805035485684913343e-01 1.791024966843076383e-01
1.723593218965021379e+00 4.974204580617792359e+00 8.076625729126115649e-01 2.267284980027274299e-01
1.433009375888067760e+00 2.906901594969054869e+00 1.064087417910628108e+00 1.977274221542727195e-01
2.502932707610749485e+00 1.205430033692975655e+01 1.616003316022179837e+00 8.607786270325283595e-02
1.977124893387695259e+00 4.206941274196134728e+00 6.326284081996150777e-01 8.476236761927309626e-02
1.732692015073760805e+00 5.994509311528016582e+00 2.355443564511465818e-02 2.925198827109388167e-01
1.467863015167985896e+00 6.222432586706760915e+00 -1.247020287692107710e+00 8.142113186399183022e-02
1.152410105056927536e+00 8.840549772569838538e+00 4.731838161640793405e-01 1.704194694111286212e-01
1.799288601046973080e+00 3.866524767197128565e+00 1.272600933255513267e+00 1.953369919951272737e-01
1.251888645020353241e+00 4.514512358527285940e+00 -1.558256593870308349e+00 3.487128010129478262e-02
1.380862115807991453e+00 3.725522495356592856e+00 1.378623501507666660e+00 1.087740387810765125e-01
1.172942587653554636e+00 8.950117518204644185e+00 -9.353675461883117492e-01 9.001421409014302710e-02
2.386109118040399046e+00 5.062235442731664037e+00 -6.715309660829893446e-02 1.897665273634680239e-01
1.470193780648872739e+00 3.537370800709608964e+00 -2.592034955629444193e-01 8.301891797544383444e-02
1.486846252450896966e+00 5.283460805772667968e+00 1.896433329290820868e-01 2.562216793656204583e-01
1.987838821580498738e+00 4.315142391220568641e+00 2.781834632125475437e+00 1.459658858939535120e-01
2.177969472278834306e+00 5.408162456630455139e+00 -3.582627236053642639e-01 1.567188284923284880e-01
1.639221423099007424e+00 3.528545200087714218e+00 -4.026978287249742272e-01 9.580388452617416561e-02
1.071096621289725270e+00 4.285721202742774238e+00 8.959670283567782167e-01 1.665420266800078652e-01
1.383681543356432897e+00 5.804940728488679369e+00 -7.879169113129677049e-01 1.631708084783454193e-01
2.005032035734560569e+00 3.708555196645855201e+00 2.633967361496486470e-02 1.568696681786564129e-01
2.104615413119500733e+00 6.516607524053769751e+00 5.021348957595814788e-01 1.135571579592167396e-01
1.381695763021304257e+00 4.779820668801802341e+00 1.848852078481219241e+00 5.817981245685174135e-02
2.322681172018872253e+00 2.779219161945348127e+00 2.151783955779120294e+00 1.299981947740375121e-01
1.221951736646959219e+00 6.153817137344629096e+00 1.147446986749673714e+00 1.390726924201534098e-01
2.533600118710174876e+00 5.617184269908736205e+00 4.149655916180907678e-01 2.869146867359312902e-01
6.132410979133293694e-01 7.732197666886375664e+00 -3.506788820723122369e-01 1.302316515953399201e-01
1.257412440357092098e+00 2.887536875125521263e+00 1.165722572072995122e+00 1.701963887062039049e-01
1.431838593999204212e+00 8.265655829044732172e+00 2.214655098123693655e+00 9.265487721565845991e-02
1.803526019834626570e+00 4.595876634959788376e+00 1.458303147329304439e+00 1.841464749105377052e-01
1.493458682136098448e+00 1.224760517831010986e+01 -7.945903323752614433e-01 4.918231150185807810e-01
1.284925731927943460e+00 5.256239879304000162e+00 1.795968109301469662e+00 2.496516803416649610e-01
2.595471294749647662e+00 4.647284037696641334e+00 1.669459581864840558e-01 3.291327183217684360e-01
1.812182724737403383e+00 3.785053386900931294e+00 4.465371730667889172e-01 1.730783066276588844e-01
2.067495105703779590e+00 5.613225850647852511e+00 -1.853371538795640650e-01 2.734593863681193948e-01
9.895076511963302179e-01 6.395906089260681604e+00 8.680771519990208018e-01 1.117205265413909188e-01
2.025218570553159125e+00 1.072012362511344108e+01 -9.469528718788237098e-01 3.607202471537727939e-02
1.152777211626512921e+00 4.923151115495686625e+00 -2.933125469752279613e-01 1.743043875853195479e-01
1.702870085753456442e+00 5.924871705283869971e+00 -2.420864522568406674e-01 2.142290933231189853e-01
1.481595513800298969e+00 1.142409489803694100e+01 -1.205445528608181327e+00 2.614908018214726626e-01
2.067723309324372316e+00 4.986677105814940170e+00 -1.026997378948793394e+00 1.048898623517747208e-01
1.254943968848384772e+00 4.052203893826952452e+00 -1.634977012675876251e+00 1.782040655146623631e-01
2.350334346868818702e+00 5.942955781976465346e+00 2.573248174021279588e+00 3.433950086413188330e-01
2.282963929888083943e+00 5.892254335106465568e+00 1.805941264981428596e+00 4.812394270243209871e-01
1.233630468097241195e+00 6.850541684720207414e+00 -2.776604231295755065e-01 1.761095099684477916e-01
1.360259254106910287e+00 4.815700937048621455e+00 1.004314304962768301e+00 1.258924256074673842e-01
1.155572865444419284e+00 6.051464991194302812e+00 1.404852754070211374e+00 3.204144826847591943e-01
2.471545243072482911e+00 2.841356012327823422e+00 1.733321514114871009e+00 1.855502736273324516e-01
1.545201864603637398e+00 1.300880994261202694e+01 1.215136035589128749e+00 9.325655935146885678e-02
1.264139089431129737e+00 2.431509745067368833e+00 1.572631096462754119e+00 6.456429031189717116e-02
7.118192935044338476e-01 9.329680494188108852e+00 -1.142640090828284771e+00 7.215871748923438633e-02
7.765359630661140544e-01 4.676394358190224310e+00 -1.079221701239116982e+00 1.321501799693906576e-01
2.006699970493585283e+00 3.332361413916581583e+00 1.407781485481021333e+00 1.581371257726373603e-01
1.255230554205454929e+00 4.572859613000686885e+00 1.557139704801910218e+00 1.527893524920028168e-01
1.238222860828356309e+00 5.151382993015412914e+00 1.855730555426688966e-01 9.180528823153745466e-02
1.893345318380817099e+00 7.353148094182989425e+00 -4.106182067441724315e-02 1.800280396068651423e-01
1.391683624967702926e+00 5.539607122578834364e+00 -3.099624349456406858e-01 2.938806210441332056e-01
1.677506032524544333e+00 9.359060657010580542e+00 1.049467747527738970e+00 2.330607890868195420e-01
3.274648523159506386e+00 6.356405946729809742e+00 2.295839726318620766e+00 2.590704052326010531e-01
1.897202654342174277e+00 5.598993286075058862e+00 -6.259979906299867336e-02 5.903230917750268425e-02
1.140166337676078445e+00 3.716768564822115373e+00 1.708039514070109677e+00 5.190425373841347362e-02
2.263277972924366832e+00 3.623699201983168194e+00 2.140205044819015967e+00 3.307470869286204262e-01
1.822572119109592048e+00 5.103122664884835125e+00 1.487987587159156799e+00 1.864450970549957620e-01
1.268581231725194769e+00 6.258707932480024105e+00 -1.566545633002007998e+00 6.458756877091945126e-02
2.788558415170066862e+00 3.791130656032295043e+00 -7.647375496483648227e-01 1.284954236899894242e-01
5.985362872876238693e-01 4.631090124330458302e+00 -1.396602014647856382e-01 1.986580316422557335e-01
7.850815793089169770e-01 3.872284026897545584e+00 1.352061476208665569e+00 1.617454738181289264e-01
1.974298150881519609e+00 3.162414557571821216e+00 1.572016069784154979e+00 5.195608844823509237e-02
1.161537739814183290e+00 5.224615158899330147e+00 3.909340793890103694e-03 1.606598155198682154e-01
1.454736297415764046e+00 3.386117999587430205e+00 5.408890791699209055e-01 2.739416141829710827e-01
1.252084061747904542e+00 6.717953980851347318e+00 1.229046876470246685e-01 2.204102792116946208e-01
2.627733176681663174e+00 4.814144559663809275e+00 -8.694082227202968305e-01 5.984156876283189264e-02
1.510224502127361923e+00 7.528316802371006311e+00 5.953444212384477741e-01 9.037205998622045711e-02
1.591131861023526994e+00 5.589181452103554548e+00 1.984736229017969977e+00 9.249484489849502111e-02
9.389154710955267547e-01 5.910957041806481627e+00 1.034694845259698903e+00 1.745085454814242765e-01
1.319284157901991605e+00 8.745931562505074197e+00 3.618697754765987096e-02 4.787001087242645503e-02
1.408571076355432883e+00 6.470784053821967419e+00 -1.313653561273022963e-01 1.946122957764483408e-01
9.497516599354400846e-01 5.999978049397965307e+00 8.666581918267129980e-01 2.716469080040787021e-01
