# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.849224113575392181e+00 6.014099876785436116e+00 2.365736937972610310e+00 2.040802137947002604e-01
1.267780101561306605e+00 6.769484281679813087e+00 1.512082878544557030e+00 1.531388902639478911e-01
9.937408311334752220e-01 6.832531051278688317e+00 1.865812705282636319e+00 2.446175963674701026e-01
2.280383885805365107e+00 4.494008479841735237e+00 -1.134947778238852983e-01 5.263007429199276221e-02
1.501981672098152698e+00 1.444064818216676294e+01 -1.503478835362052290e+00 3.998107887730806970e-02
1.011998296144597909e+00 3.384220922144522081e+00 1.468973038846399959e+00 9.381438252770017694e-02
8.876439798046511509e-01 3.903149254822268599e+00 -7.903088499149368840e-01 1.118763233939987223e-01
8.013455512147948934e-01 4.787991202646386668e+00 1.159312613403920444e+00 1.739113983072337610e-01
9.100345974119425918e-01 5.660154211158242354e+00 2.214880302983335270e-01 9.018701132778075835e-02
1.221096569121368214e+00 5.409474465051228975e+00 2.295854379585370975e+00 2.549781086501340388e-01
1.214862034225148602e+00 5.938786709758002047e+00 4.298275072515029827e-01 3.413113876742919495e-02
2.053911284884447852e+00 8.229319898865677274e+00 3.272369975791041163e+00 6.054486212495401032e-02
1.532637877018337536e+00 2.943203330302663900e+00 1.386787726999954229e+00 7.255466850521875843e-02
1.667183332645745919e+00 3.410439582087941623e+00 1.854942661244494806e+00 1.070555856387064297e-01
1.384517517604222148e+00 7.576377904941082875e+00 2.108763394840311278e+00 1.164218992203047698e-01
1.126520981722645143e+00 8.934260513781318025e+00 9.279593757125199627e-01 5.003320279698846296e-01
8.883850427033173069e-01 4.815565980496857357e+00 1.395409698609657356e+00 9.560462947013873003e-02
2.286608132333535881e+00 5.344473383645112818e+00 2.377842931364756662e+00 2.918723005595067616e-02
1.971481125375578181e+00 3.972403043257218158e+00 1.965513781544646177e+00 2.449902524955319405e-01
1.776537281193112383e+00 5.867543668237768628e+00 2.733034148984784473e+00 1.649947201741665537e-01
1.354145132010647234e+00 4.231651462777358041e+00 1.341754786680196432e+00 1.531763113926122855e-01
1.760455466292178972e+00 7.208957049954542562e+00 2.501191756911480102e+00 2.490646132500827781e-01
1.461494663133224403e+00 3.394480299427014902e+00 9.835361315818242911e-01 1.511299208528445182e-01
9.388267497886181312e-01 5.541099395341911205e+00 2.950865999472817025e-01 4.427792418928024332e-01
6.825020075978265321e-01 6.593726252869965165e+00 2.258867642717139912e+00 3.758234556499141787e-02
1.350272217147843623e+00 3.838603006567384401e+00 -1.590834289416682701e+00 1.888475281362006486e-01
1.863816947891387743e+00 3.787345619338368330e+00 2.387147887629380349e+00 1.291237834703017340e-01
1.745002681889066931e+00 4.716375075608519651e+00 2.500555708439449631e+00 1.579923547417207974e-01
1.888390884739789666e+00 5.789797583266249603e+00 4.280283386773244825e-01 1.344869089190379452e-01
1.584256470793539373e+00 4.692021885734558140e+00 1.560316492690241863e-03 2.712212983405377087e-01
1.400260928549029948e+00 4.151187496974456437e+00 2.262840093576151901e+00 9.404952091432317030e-02
7.225355770478456563e-01 4.384212808736106304e+00 4.070802355855046017e-01 2.440335860486718134e-01
9.996747703825329401e-01 5.090539558449589386e+00 -4.426630911979071437e-01 1.300662103383166956e-01
1.027825729068848171e+00 9.297825107166531211e+00 -1.388859293475423140e+00 2.238106590002136853e-01
1.683085095825810340e+00 6.846534042074442716e+00 2.911859521746538171e+00 6.832040537926836743e-02
8.457928711746085515e-01 5.429101148547531785e+00 9.319958109789999723e-01 8.670850735906546203e-02
1.858091111433268550e+00 6.480733863679900786e+00 2.672457332031305643e+00 1.608501196909387643e-01
1.432024579789756169e+00 4.393708398437913054e+00 1.567899274812703636e+00 8.902977749577155320e-02
6.187354526172357261e-01 7.611376253097372313e+00 1.924708385984835957e+00 1.605539171645021801e-01
1.673137949145434789e+00 7.913955063883729935e+00 5.917471669963811909e-01 8.075113510109999115e-02
9.970263730275488179e-01 4.864590946551476947e+00 -4.750066908300997204e-01 8.583673367065292048e-02
6.567949160731596514e-01 5.072959714897028682e+00 -1.175715748442407227e+00 7.016453213381561305e-02
1.252463136859950144e+00 3.392768430905223731e+00 2.383980125331489397e+00 6.122905592727241608e-02
9.045783956150110772e-01 6.783848639419051807e+00 -1.580398957795654979e+00 7.094844232422135855e-02
1.692353722663713977e+00 5.590080282056876015e+00 -5.025788305409478740e-03 2.110700381593348940e-01
1.258094827538213334e+00 3.985100361731029661e+00 -7.401970262528108080e-01 1.756996339826124298e-01
1.560031944035470186e+00 7.080381856495842285e+00 2.040577555727757897e+00 3.064056902160635087e-01
1.421546515934714039e+00 4.802880699380903451e+00 1.843087687250887896e+00 1.239727363836484464e-01
1.048981757478053334e+00 4.785244094741267773e+00 -2.964193001177769515e-01 1.367368133510108996e-01
8.165974879697227573e-01 4.165937384719134329e+00 1.918437613591654323e+00 2.266059492830574673e-01
2.675242712630843567e+00 5.904263696281689455e+00 2.667086649798389164e+00 2.416346750595101955e-01
2.261721464136990711e+00 5.089307866139881398e+00 2.266803743603370336e+00 2.234377983466683537e-01
1.825367112450904550e+00 3.906229459494439116e+00 -1.505857992630073028e-01 1.949832272802221045e-01
1.609916504387955971e+00 6.884452957504256787e+00 -6.096688379197650054e-01 2.039727076775698644e-01
2.442036881261032910e+00 3.651698694595753025e+00 8.165998832942966690e-01 2.000603077492910387e-01
2.395685586717930526e+00 5.618619175404793609e+00 9.168781619635170133e-01 2.032724278308593313e-01
1.191544023526306173e+00 7.066637101714166924e+00 1.745712307673715324e+00 2.950202358074688336e-01
2.222490525624947644e+00 6.435013092979304794e+00 -2.338230754099901443e-01 1.386818974151348138e-01
2.229030801622114755e+00 5.328547814475797395e+00 1.801995973542732887e+00 5.043670237218467189e-01
7.521338808233438700e-01 5.707213051975284834e+00 9.398216009622469835e-01 1.350759056985819384e-01
1.666565945027852269e+00 9.999321799756993201e+00 1.806902194323202426e+00 2.371859170665323036e-01
1.367224470854139451e+00 6.953147123268378138e+00 2.877997563442660223e+00 2.221988805535961009e-01
7.990669648711103967e-01 3.427187237054681646e+00 4.731902667246917771e-02 2.866940041548364237e-01
8.457820721163622490e-01 7.761206705539745343e+00 1.786566014545366121e+00 1.771378025181156168e-01
8.972525999137030972e-01 4.855873084855405253e+00 -1.010023591090312145e+00 1.364571935260499302e-01
2.405048489994308980e+00 6.191487333910140833e+00 -3.664175060997834632e-02 5.009346322245671335e-01
6.643182384207233504e-01 7.764829808535216316e+00 3.362731712418565166e-02 2.493297772013435554e-01
1.217199045606719210e+00 5.689924153784352789e+00 2.388423519562016484e+00 1.243926338973693480e-01
1.466623968508959486e+00 6.871754767505889205e+00 2.281596896730642143e+00 3.602833996570912745e-01
1.218501751914433662e+00 7.954875216173414643e+00 -1.775687346472410999e+00 9.104031282457875074e-02
1.551913418016342749e+00 1.107306000077705654e+01 -6.950161268870939102e-01 2.490705871907152869e-01
7.639303888490411865e-01 6.811610796889176811e+00 -1.686745795923221269e+00 9.728474887901294998e-02
