# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.909595853789095576e+00 7.884480003631375133e+00 -6.296024485475988364e-01 1.491296419536427553e-01
1.195037320134255898e+00 3.743497215045383797e+00 1.125708563678285534e+00 4.803109612411168849e-02
1.798386693225944244e+00 4.225521348372377695e+00 2.430460333509564030e+00 2.253812450309326532e-01
2.450080944446471065e+00 6.985780913304353135e+00 2.867481284715700074e+00 4.114699101623573996e-01
1.497065887217877478e+00 5.591566062936273340e+00 -6.304244183461726880e-01 8.723156837522626217e-02
1.117065657023087910e+00 3.115518979315763382e+00 1.840299471722932623e+00 2.672677526034922812e-01
2.780678448759700050e+00 8.028332077868245875e+00 -4.618780893074215799e-01 8.555908063378786510e-02
2.015466756912274615e+00 5.661709962456866307e+00 -1.351462269132440941e+00 1.746826477151994239e-01
6.805895371216931222e-01 6.720692042392531818e+00 1.711153624826892816e+00 8.302403867526417236e-02
1.001238899786414560e+00 5.887643089093043791e+00 5.141237160784815075e-01 1.937467781407909428e-01
2.254609403051639038e+00 6.750009448707095849e+00 2.861463842440384653e+00 2.335486703665479169e-01
1.505233243647859709e+00 4.766328424111057060e+00 1.643958793020434683e+00 4.839833584104750730e-01
1.543158923823598538e+00 4.787266340314245028e+00 -1.813794093227619975e+00 2.139219743421777453e-01
1.773594352964249721e+00 1.047365969770430816e+01 -1.377024504106707070e+00 1.877993232206566498e-02
1.614611235153729174e+00 6.462614047670192541e+00 2.143653971525718571e+00 1.306093864001228178e-01
2.485886480585135505e+00 4.051435948931280784e+00 1.824693580115122504e+00 5.316069288852171004e-01
2.538013553779815190e+00 6.608324838721291172e+00 2.315074683660418575e+00 2.792449281160849783e-01
2.037832817789818840e+00 7.393384079246795970e+00 2.323305776958556557e+00 4.279256183666068081e-01
2.397365275983680544e+00 7.685243197933194992e+00 7.828917760346371102e-01 1.761616703778293991e-01
1.325564283121645870e+00 4.290507705020790041e+00 2.140907208989160537e+00 1.198701075488519258e-01
1.632802389616363703e+00 3.138885953123753403e+00 2.264479635437705030e-02 1.318177525651751114e-01
1.145183101508871371e+00 5.498349007207447237e+00 1.789149185983219148e+00 5.131194328821943318e-02
8.495129901635816161e-01 4.679220954651886366e+00 2.191544560328112512e-01 3.337179914645735934e-01
2.008096263726022901e+00 5.318660426696793841e+00 1.856938637043304752e+00 9.764539456350183888e-02
1.873497753453796433e+00 6.665230151652663970e+00 2.785275861374267414e+00 1.710417804205263681e-01
1.297971969741453346e+00 7.068662743430566664e+00 -1.018996423247446437e+00 1.673116496580561996e-01
2.062671209527024985e+00 4.965984168170002988e+00 -1.423182834809980424e+00 1.607905012602314776e-01
2.671761963952949515e+00 5.715144312628101630e+00 -7.559879791129533455e-01 3.314466207039951096e-02
2.007736962878544418e+00 1.003823076878864562e+01 8.468841130991291433e-01 3.756125650013211192e-01
1.575269065121800871e+00 9.726290939281209802e+00 5.507009959914763719e-01 1.777805421181609669e-01
2.732630047525362649e+00 4.777591366787961924e+00 -7.705970878006186409e-01 1.464643878331247928e-01
1.357290182890822816e+00 3.217732739599184377e+00 -2.244461775988254582e-01 2.503690817621104792e-01
2.463609606457191958e+00 5.357328553683301742e+00 1.106275510139418383e+00 1.575382086466801668e-01
7.945718098316512101e-01 6.209052645243117396e+00 4.156276484197191090e-01 3.946228623669028601e-01
2.382793076963468870e+00 7.542800948836170249e+00 -1.772122439516957915e+00 2.907891337897121065e-01
1.486586142114200371e+00 1.215432521414687983e+01 2.265590558889932993e+00 3.646999749263297730e-01
