# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.987874308423905667e-01 4.316428915569006541e+00 -1.674680884031799710e+00 7.386266388724996301e-02
8.972206476787845109e-01 3.743933814502544699e+00 -6.085289233199071557e-01 2.905051051406901119e-01
1.299119783979645781e+00 8.619217475303077691e+00 1.616776269100778318e+00 2.552832802814129498e-01
1.859565510000690036e+00 9.167635510412834421e+00 -1.755062931599482567e-01 2.624506075974543107e-01
1.893075301154528489e+00 4.391652001273094186e+00 7.099263637105325264e-01 1.471374274930255244e-01
1.563149191198755616e+00 4.526903854529340521e+00 -7.167609265362576698e-01 8.682707219524665732e-02
1.950224220448247170e+00 6.285786991135008606e+00 5.297069728712604508e-01 3.775373250579551754e-01
1.203201104538245580e+00 6.369295654964133746e+00 4.375664436787517486e-01 2.306769254822966519e-01
1.603952583514290708e+00 5.430163330266545074e+00 -1.196058028632971837e+00 1.244020699190666046e-01
1.755151388966478265e+00 5.006382175415050817e+00 2.118691597411006544e+00 1.986125241778066153e-01
2.288679819107342084e+00 7.360260969515366902e+00 -1.481659618540544621e+00 1.398481319544007950e-01
1.328785321922465457e+00 4.264790029945632277e+00 -1.684876049423480460e+00 1.679302212339909284e-01
7.628776446955138901e-01 8.561479789378385163e+00 -1.544698261774296366e+00 2.203738145253750225e-01
1.385583419611650768e+00 5.668426817056413825e+00 1.152954229373637451e+00 1.263867568442886558e-01
1.894444670308445877e+00 1.156246347234107397e+01 -8.377924661259354977e-01 2.278290347176082919e-01
1.503928353298284559e+00 7.957990299846837701e+00 -1.151208657621021647e+00 1.444717571681499724e-01
1.293057051010547465e+00 3.252172294537918340e+00 -7.150328637492221473e-01 1.236920492063566246e-01
1.807391180425337751e+00 5.816346900770778205e+00 4.691230813643068043e-01 1.152560393723976589e-01
1.975051286030663267e+00 1.023637148777760153e+01 1.830011901098356208e+00 1.576815414399410087e-01
1.190450378340544679e+00 4.902407668857832412e+00 -6.488312873247942258e-02 3.482434949790347289e-01
1.883153857736070025e+00 4.240166709766691966e+00 4.790516544411224098e-01 1.963255858966851675e-01
1.639687749271084627e+00 6.397358479753484595e+00 5.707883796711528124e-01 2.538489618410083581e-01
3.150536180763507943e+00 2.624826247234685273e+00 3.915444917990942852e-01 7.959730743004278519e-02
1.122547227912846779e+00 3.563859774104833900e+00 1.886185572198109561e+00 2.712361695169210885e-01
1.816175581162130737e+00 5.346019304802041461e+00 -8.327340842886556960e-01 1.047115992283004227e-01
1.666674820034667270e+00 3.275675840888241375e+00 1.215814246066003301e+00 2.186167111503267979e-01
1.443553237650788246e+00 4.726036711731616435e+00 -1.045269580497273365e+00 5.703132162541348776e-02
1.211533056466582714e+00 2.810338025648050131e+00 -7.021835193881698078e-02 1.306865956808467844e-01
1.237854326105497504e+00 4.899953782884279185e+00 -2.194963268947659474e-01 2.205124547573863447e-01
2.545017749931988593e+00 4.255783327045032038e+00 -1.295980414324103602e+00 1.081564672916896369e-01
