# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.180017769187013066e+00 3.958089216622596496e+00 5.703366493942183979e+00 3.415410259084667999e-01
1.335125612899816572e+00 9.021727046118485305e+00 5.276110583522108044e+00 1.362531099917397848e-01
1.625590698126464728e+00 3.198193675852028850e+00 5.443654853449863218e+00 5.747472184655874616e-02
1.465713560784736913e+00 4.869556225098688351e+00 5.739837483863449386e+00 1.682683182938244371e-01
1.560893386174056596e+00 2.954563294908804316e+00 5.403558459558046145e+00 3.300375665608045184e-01
1.560721719970549648e+00 3.555312207819617765e+00 5.438823295982839312e+00 5.521232600564391496e-02
1.837986893919661746e+00 4.940927380777574207e+00 5.603251635243727158e+00 1.298088720381892214e-01
1.276949799276194009e+00 3.608097172410597686e+00 5.464036556113116561e+00 1.751380234725527785e-01
2.391324619701209464e+00 5.567404879489256331e+00 5.569544651253983680e+00 1.360803670593410675e-01
1.644192663601923510e+00 6.938186853468454096e+00 5.556710741446694968e+00 7.815146061721844895e-02
1.439747991072268807e+00 4.241374618017361264e+00 5.569976187564135373e+00 5.671299482306622203e-02
1.739782422569328357e+00 4.792952951353542268e+00 5.517975170083062153e+00 1.235630619140367231e-01
2.457668427583324267e+00 3.812575329058415008e+00 4.975286294843416890e+00 2.703068206694311248e-01
1.914126040167810627e+00 5.216513591215104384e+00 5.494370181468030800e+00 2.636615690234958564e-01
1.859641135958288505e+00 5.078144578411121657e+00 5.811908317580568806e+00 1.752508399173454134e-01
1.376367901190608478e+00 7.125111900384702324e+00 5.495904707094925179e+00 4.976356280166398943e-02
1.268590978574046124e+00 7.318426079486973101e+00 5.615344785690880691e+00 9.547464330142599320e-02
1.582245295275831909e+00 2.931002593178678506e+00 5.546372469000638183e+00 2.072947105496967257e-01
1.537431443714777135e+00 1.229927562753062098e+01 5.639781600418332985e+00 7.281600411746777524e-02
1.348017964799427038e+00 5.204451934828130177e+00 5.454153190093576242e+00 1.384850403772102390e-01
1.279626832564448646e+00 4.423688518637617584e+00 5.475019932621742136e+00 1.005776205359138892e-01
1.849179997682441456e+00 7.732679997846683584e+00 5.592628209026599961e+00 1.315680391246658587e-01
1.643555590586849968e+00 6.853445153584875271e+00 5.778862707049521319e+00 3.509911868665929191e-01
2.393612146066288471e+00 4.110763130924711461e+00 5.629690961491927048e+00 3.797392838927738934e-01
2.023733268520874429e+00 4.415949363594436683e+00 5.644193515216172408e+00 3.779305054898704497e-01
1.807834458908998743e+00 3.382179541659459332e+00 5.572278877309253531e+00 4.584774140682779109e-02
1.359654670498508855e+00 6.619488399584943394e+00 5.345881783818218658e+00 1.466732472350857630e-01
1.803051996703843418e+00 3.214288076941252292e+00 5.490740081412116780e+00 1.032877775624079508e-01
1.297351625037010292e+00 5.213203249955616236e+00 5.601775390925362252e+00 7.989598007554425674e-02
1.465713560784736913e+00 4.869556225098688351e+00 5.739837483863449386e+00 1.682683182938244371e-01
1.310872749815243710e+00 5.387046869933136861e+00 5.673137305146357612e+00 1.443934268136548016e-01
1.809810067691027591e+00 5.970286782858608809e+00 5.338556136130711671e+00 1.150800791491112807e-01
1.220354829591040247e+00 6.946003729458071874e+00 5.604714037761779899e+00 5.092382943596714118e-02
1.727922438661267712e+00 1.254211377658855397e+01 5.494198542344075342e+00 4.437463365479697719e-02
1.886172626132279095e+00 9.002134566403357852e+00 5.593696790674236752e+00 1.284819683291853198e-01
2.011661447037774941e+00 3.052171748523448080e+00 5.563854704162586984e+00 6.635712024047560331e-02
1.425929703884318833e+00 5.265699760123952800e+00 5.513137297890756905e+00 3.191389375383111432e-02
1.473909283499223122e+00 6.671505582492628150e+00 5.457661394989943737e+00 6.858753000105023701e-02
1.790074304875539868e+00 7.012871370324569753e+00 5.707720931135649600e+00 4.903997385887932936e-02
1.913581402557109401e+00 5.274753207218263462e+00 5.267880123834117079e+00 1.124532253251053077e-01
1.899488207438559950e+00 1.026990331368740073e+01 5.637871817227847693e+00 9.882473609266821668e-02
1.744368709610929935e+00 3.679310726011835619e+00 5.729655060826591928e+00 1.950563504702651496e-01
1.149550449109803862e+00 7.273032613208854080e+00 5.330750625449024227e+00 1.583769982304283341e-01
1.436180152659244591e+00 4.366172739952122406e+00 5.425332078742061803e+00 4.099367368583556326e-02
1.689537069137443392e+00 7.578739161638875288e+00 5.415565540912334441e+00 4.413899322930531222e-02
2.642039324535835121e+00 5.101755691419314509e+00 5.528433419958393102e+00 6.403673975660520434e-02
2.612910707554174650e+00 3.702148146870692269e+00 5.724853636372703392e+00 2.229143175958139544e-01
1.297463551816744110e+00 2.463624337110124962e+00 5.467130306844931731e+00 1.251144230730913409e-02
1.711594236133566982e+00 7.482866230612295055e+00 5.385035739862266801e+00 6.550492802139479265e-02
1.519987708705821117e+00 3.281374666666447393e+00 5.597745589596357263e+00 9.410499115444337370e-02
1.852793045397108429e+00 8.426928513182135205e+00 5.498720176312391850e+00 5.491559291576420671e-02
1.694992152459422030e+00 6.313894679647038544e+00 5.442681651536974918e+00 4.038632633606074884e-02
1.558970359690832197e+00 8.470454751255827475e+00 5.429470870900177992e+00 1.246508101853681105e-01
2.364296471426738933e+00 4.679333946462301164e+00 5.712129568605564423e+00 1.681816893318525408e-01
1.484627825073250307e+00 5.308328278117102172e+00 5.479250822785018293e+00 2.763738855441994630e-02
1.466702845960065282e+00 4.971647759412021195e+00 5.454680789616625169e+00 1.458865639484984156e-01
2.169748788719731536e+00 7.422935088374078560e+00 5.433684416116475013e+00 2.404936883995411334e-01
1.681747402545170855e+00 4.414594000981456823e+00 5.596093595014294486e+00 4.759553376952854742e-02
1.292233854442105923e+00 9.779227908202752673e+00 5.537578557284191128e+00 1.568875710209848562e-01
1.727869852200908163e+00 4.086960587243593679e+00 5.444812627325355869e+00 1.180917729763219792e-01
2.196233185644503205e+00 4.466091849888115917e+00 5.624895488597506876e+00 1.205627810744491490e-01
1.230347204864024491e+00 8.652290081270599842e+00 5.260825041592779527e+00 1.747284749319857888e-01
2.020774470425881209e+00 4.267582104867175374e+00 5.605921445644355572e+00 3.441352851900263132e-02
1.262164143243890368e+00 4.554187176342209931e+00 5.453935119213347171e+00 3.528635142228143950e-02
1.941760512538908801e+00 8.099563809238990331e+00 5.718419082270691511e+00 1.271126308722091425e-01
1.399065628551184215e+00 6.780748689258901507e+00 5.629513837611418658e+00 6.716441368755053654e-02
2.140738372666393996e+00 5.937201073459131173e+00 5.715107345132238947e+00 2.012677629252759282e-01
1.358305565188738573e+00 9.437508837984450949e+00 5.691929559392614024e+00 2.865633468055738819e-01
1.655183376765321235e+00 7.213164278384003758e+00 5.802297364449436223e+00 1.593258045920039334e-01
1.327889613733041818e+00 5.062719232090613808e+00 5.448668189621622027e+00 2.745608980365112917e-01
1.466118402313749458e+00 7.743103201546075454e+00 5.542626044830883281e+00 7.285024515766835851e-02
1.900593790935442451e+00 5.888594482141188635e+00 5.457663391228153138e+00 1.781842852203558980e-01
1.351385555579391440e+00 6.493763903884153699e+00 5.447983408090530943e+00 2.232719947149306439e-01
1.122322761492555943e+00 3.169042285980259166e+00 5.541011871310264070e+00 8.317593800939360182e-02
1.171739589753692190e+00 5.657655094514725924e+00 5.378125168505974329e+00 8.176029596774755936e-02
1.296120844493350299e+00 6.507585836480285657e+00 5.398555692169543008e+00 3.030654457687978476e-02
1.453897465578571024e+00 1.131300084108133674e+01 5.745572843225213333e+00 1.587489180994240967e-01
1.532199515359957687e+00 5.965475810583846794e+00 5.682839995230288821e+00 1.886598115494405592e-01
1.442182801927559765e+00 5.946622684225856936e+00 5.394221281896744991e+00 1.620990145350563738e-01
