# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.693805956487088427e+00 5.591087813613844659e+00 3.468263885517914868e+00 8.708464253009766398e-02
1.906694001694824392e+00 4.770276759758711904e+00 3.606654889854845614e+00 2.794295877388643934e-01
1.551009247300442651e+00 4.831196428846143753e+00 3.862787425781499806e+00 8.377559300424053390e-02
1.275066918409509809e+00 8.571693894049630558e+00 3.305796080921941549e+00 2.543343136580312747e-01
1.443057823041854482e+00 3.636619302298092382e+00 3.436040808136275437e+00 2.205058066282233886e-02
1.039831928680509998e+00 4.803158005167749600e+00 3.444067829675939052e+00 2.925747503615168665e-01
7.751571274368646014e-01 2.831947154055536764e+00 3.332424593614347064e+00 3.967950641550314211e-02
1.895545517611294972e+00 3.372454881280865013e+00 3.413561846527870536e+00 1.175080789976671036e-01
8.687483037928442897e-01 2.609426214053172988e+00 2.764359739194900190e+00 6.554023311962561271e-01
1.543900492152026072e+00 5.534137132770412748e+00 3.413345517334207990e+00 1.333475529145878857e-01
1.557436517288886879e+00 4.350865683093752878e+00 3.661980878497882230e+00 4.537110863949683770e-01
1.846568076191234198e+00 4.544829202612564956e+00 3.455318552638247720e+00 1.771956279941994949e-01
1.279131453062312573e+00 5.187609009861413156e+00 3.326194991672033474e+00 3.053689793267277963e-01
2.328899087038794224e+00 5.589540820519661501e+00 3.243415734300580944e+00 1.543438002399064313e-01
2.376703888129240827e+00 3.639912850983692216e+00 3.637261585804983710e+00 3.261803776680808897e-01
1.309501457436710536e+00 3.835235930686032635e+00 3.554796030618625480e+00 2.557303726445022685e-01
2.669611785359728096e+00 3.379840420612448604e+00 3.820069511316144695e+00 1.551381327777329178e-01
1.261064137646939365e+00 2.863061777987702783e+00 2.463942537019731205e+00 4.229467498510389722e-01
1.576433717744778917e+00 5.185518649586769335e+00 3.478651837738067520e+00 1.499486910555281882e-01
1.262869594279162122e+00 4.908197181250332441e+00 3.344166190967552854e+00 2.576443001356025775e-01
1.842657543325115110e+00 2.428226608332641145e+00 3.215347683701072157e+00 1.024750075583739234e-01
1.483379092043545011e+00 6.189822996275069045e+00 3.268777705603374439e+00 3.062304230389862880e-01
1.223877035267187718e+00 5.211333844730874354e+00 3.494766925690075077e+00 1.140739039130087007e-01
1.130476978979841896e+00 5.885708736980266309e+00 3.257747393324455398e+00 3.259269255201299731e-01
1.888816331836099094e+00 4.791261415766243204e+00 3.133274755737239126e+00 2.425261095395426225e-01
1.615974601224018592e+00 6.313497650968532326e+00 3.667006265203947901e+00 1.149953025325464451e-01
1.292284986648379874e+00 4.987995625884060757e+00 3.653964994699348878e+00 1.961654224488122988e-01
1.108553200839390129e+00 3.653367021572059059e+00 3.810451321913672640e+00 2.626492059017584979e-01
1.897787128759578890e+00 6.404028404067070745e+00 4.012466909455300268e+00 3.324428406756653187e-01
1.051899170431147557e+00 4.246414960552730378e+00 3.149066764560946918e+00 1.770611408719972024e-01
1.026418381342248276e+00 6.516953591290542747e+00 3.451996598492110380e+00 1.608216080138137327e-01
1.517907514041246353e+00 5.284531546777700761e+00 3.816894888862715884e+00 2.245856220688800531e-01
1.310153822663983947e+00 7.381306240029829269e+00 3.549675064891376852e+00 9.609870345644361267e-02
1.259845761552187193e+00 4.374270882904786717e+00 3.274893916464376442e+00 1.932140447968149488e-01
1.158599177446629769e+00 6.836802059123410658e+00 3.642975786100157265e+00 9.190837570912259447e-02
1.408863938075722855e+00 6.917784923373507588e+00 3.151543115723244970e+00 2.403920715289471488e-01
1.671930628237876082e+00 3.688421049742218294e+00 3.699036691636127472e+00 9.522447693557316295e-02
1.769497200821812832e+00 3.488408449559111002e+00 3.826882636687333417e+00 3.308248535606978513e-01
9.750258330407355345e-01 3.844670005658273659e+00 3.126569014033210525e+00 2.218626222939777959e-01
1.191555022615751414e+00 4.355921233416565563e+00 3.218799090470478852e+00 2.148212868674686249e-01
1.406496375760428075e+00 5.084841638663977648e+00 3.441979377886490443e+00 1.054981710623402180e-01
1.264647462627146224e+00 3.930512949373185627e+00 2.728048237519498986e+00 4.889661536488209004e-01
1.906449944042722056e+00 2.741976599799457848e+00 2.649958625891980724e+00 5.102796299107876798e-01
1.701679467951030311e+00 4.338227743555930438e+00 3.811464412761842890e+00 2.790616507151911230e-01
1.451405793763796970e+00 5.141451046193913577e+00 3.198690602880906564e+00 2.979829974209795562e-01
1.681996528599453589e+00 5.925866384764487016e+00 4.004657861144363729e+00 2.886856342904443040e-01
9.517140915863602224e-01 3.419964380997956077e+00 3.322658237160473149e+00 9.914385996494738673e-02
1.375750073224741410e+00 5.583756148189426227e+00 3.306951950879356783e+00 8.022208254045314069e-02
2.269284822806893143e+00 6.750826229677640455e+00 3.849912808866821301e+00 2.450032532919287354e-01
1.194494121837768708e+00 4.119720155720655974e+00 2.742550841953842244e+00 1.678416815220554192e-01
1.644300122032952061e+00 5.350843814301762258e+00 3.678967767886745399e+00 3.719084436129814208e-01
1.382083116041803672e+00 8.906220763080451519e+00 2.412243031910908275e+00 4.116479813218614781e-01
1.343777045688743677e+00 3.744301402489169650e+00 2.815988263623948384e+00 2.801730684092362256e-01
1.127038889818290590e+00 9.480558954866241450e+00 2.647942161553071827e+00 7.863959612796190823e-01
1.293648543163719467e+00 9.034382052797500506e+00 3.466070858712288594e+00 7.727648997306088563e-02
2.051588724133109221e+00 5.805064251602225944e+00 3.203299010917551648e+00 3.386677015782890710e-01
1.528222081602670812e+00 4.203003755539031161e+00 3.611821100662141681e+00 4.030407577704515215e-02
2.383458342373737437e+00 2.870840963049730021e+00 3.543748551830498972e+00 2.830011933307868266e-01
1.605116346725683707e+00 4.119999218444108990e+00 3.291769692726385532e+00 5.264838098783342080e-01
1.430107269526840197e+00 9.066288818644599345e+00 3.421813242235771657e+00 9.858476977529445628e-02
1.201950503515309743e+00 2.911436469540771288e+00 3.490685583005820103e+00 1.991526577431732004e-01
1.357775466955194910e+00 4.316450019132824778e+00 3.311542920100097653e+00 2.310898500048541859e-01
1.612588278641755135e+00 6.356058353331328625e+00 3.741223454402421655e+00 8.854080652446771893e-02
1.300498867448627305e+00 6.567221615426334758e+00 3.394519198998614762e+00 9.327182693462013341e-02
1.424782494532937260e+00 2.819856009189760204e+00 3.822157278246467449e+00 2.418161532479190245e-01
1.609683829959112744e+00 4.461313499355731516e+00 3.280594090810344365e+00 1.554874129037565056e-01
1.623654953455385463e+00 5.256607112925131275e+00 3.467667995329945629e+00 8.761593992767494066e-02
1.521478783999897777e+00 3.851643384205364118e+00 3.814784273059399489e+00 2.744847643798706271e-01
1.560539676442626700e+00 8.072400602269519609e+00 3.646877845194553824e+00 2.593962986265601622e-01
1.987624867448826382e+00 4.027870912448922702e+00 3.190936572134621674e+00 1.752060021315974547e-01
1.534986337088093400e+00 5.405093282815362166e+00 3.696347898508377305e+00 1.661728694962638087e-01
1.136701221329292855e+00 3.463408426897299996e+00 3.364900064389507062e+00 1.791360529439756377e-01
1.158591593658615082e+00 8.208667016385644999e+00 3.170652668282180286e+00 2.493700809627329429e-01
1.286183766242247506e+00 4.396295951519574530e+00 3.440624185779134425e+00 3.673826560974050026e-01
1.192346381483951445e+00 4.561072211523178765e+00 2.897764693077797382e+00 1.900651558705658828e-01
1.072750200506529694e+00 6.124589254707773378e+00 3.369505953883365379e+00 2.098924851752562437e-01
2.379818940920549686e+00 4.352084826444522214e+00 3.524004034514705896e+00 2.055332475394150982e-01
1.312086834019351000e+00 4.542206837863956181e+00 3.035915512763668556e+00 2.234318019905940367e-01
1.471976886685970154e+00 6.924942779356270783e+00 3.842386525864258218e+00 6.429535471108235867e-02
1.351700567805728559e+00 1.024234665243221976e+01 3.722173539635795336e+00 5.474073295309427739e-02
1.065058907104358576e+00 3.945960113158391458e+00 3.342043069405263189e+00 2.453431461992426621e-01
1.266947544501776823e+00 4.663948760622444567e+00 3.066341077565831963e+00 2.719177045456740438e-01
2.089970178501841858e+00 7.203798355892418570e+00 3.534244766884400590e+00 2.457488515896254500e-01
1.658887465488479762e+00 3.252270372083990946e+00 3.729764011036564408e+00 1.104282166537495780e-01
1.413483723217905164e+00 9.193216968179841686e+00 3.344297134224945900e+00 2.144505761429509605e-01
1.528960446485332803e+00 5.924966654555795742e+00 3.349142666159745207e+00 1.644479396431210716e-01
2.675269903452160314e+00 4.890624385205860847e+00 3.759962837709734274e+00 1.790536624017118328e-01
1.864736895710237707e+00 7.322187739042270493e+00 3.478818109026729388e+00 2.175534098353224810e-01
1.640616706240328071e+00 5.519323149405347628e+00 3.825283549790942317e+00 2.409953420414094050e-01
1.350392896727401482e+00 5.595255347363991660e+00 3.400307638849920266e+00 9.875239832274000651e-02
1.552573555564139562e+00 7.991008283326084261e+00 3.837627574009884412e+00 2.665180455149618322e-01
1.464042941361088923e+00 5.195426093247414556e+00 4.016691081656891704e+00 3.619286378163550921e-01
1.421780131541072967e+00 4.345885510136209717e+00 3.216240293217393909e+00 1.360539492315925303e-01
1.135561470008179308e+00 3.597134626247536104e+00 2.947135567511715681e+00 2.380171807675689477e-01
1.478014008397450230e+00 7.470838735832232125e+00 3.283250700126389976e+00 2.681796807400497196e-01
8.836172569166715896e-01 6.556489564114949431e+00 3.142784012124863136e+00 1.911938170813309024e-01
1.227982271435424488e+00 4.613982756597369672e+00 2.946447241999877509e+00 2.155967028611853187e-01
1.103214874862421313e+00 3.438750315402872459e+00 3.345815447205791937e+00 1.698831104260311309e-01
1.310203105218479269e+00 6.385893897239704131e+00 3.351097046816077007e+00 7.307625385244753691e-02
1.511529387932772917e+00 4.665888619393143699e+00 3.367613832452219569e+00 3.407904561216056338e-01
1.619004069793870793e+00 3.960055971185098667e+00 3.443796562682210904e+00 1.126567401212754949e-01
1.249114484602130037e+00 5.703779566548949020e+00 3.406333867590362274e+00 2.866082679048630455e-01
1.359697794623167200e+00 2.899958895625536659e+00 3.153065865192289596e+00 5.345905047571253288e-02
1.795814829121967993e+00 3.106444353316084150e+00 3.608595708787205592e+00 9.992709768701150963e-02
1.413316260704617466e+00 3.782613534607062622e+00 3.505089268864101992e+00 1.247236946244443534e-01
1.356007296337282453e+00 7.066836134299309791e+00 3.316641977930483431e+00 2.870588084861128153e-01
1.797371133570677015e+00 3.346200727370785888e+00 3.321856083390199554e+00 2.111016627829742642e-01
1.552251527946225229e+00 4.665776427461541864e+00 3.657851157733800651e+00 1.426193049198101193e-01
