# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.340079781477072185e-01 7.286703325666326059e+00 -5.379324874702162695e-01 1.633575392943684423e-01
2.489245346625036603e+00 8.284778772673240255e+00 5.925995122524573278e-01 1.724025076739028883e-01
4.563185068024514512e-01 5.296407844129634057e+00 -7.916900778658997329e-02 1.327086021310763253e-01
1.739673810907503171e+00 6.549003783299851555e+00 7.277414165973322691e-01 1.995212767396500331e-01
8.401543809476872404e-01 6.044949965161864114e+00 -6.563783754550986949e-01 2.183890356362631346e-01
1.674490869764124978e+00 5.489461747696567251e+00 7.580605051051514387e-01 1.881553987472349698e-01
1.177249392297451847e+00 1.142820380606221242e+01 8.695138036078886579e-01 1.436076297156211878e-01
6.562818680789019865e-01 5.606975919050203316e+00 -2.977795608344657730e-02 1.495957415088723375e-01
6.467238992730849345e-01 4.393334386254003299e+00 1.721270498912810698e+00 3.212558283332405673e-01
2.277496951857405527e+00 7.222045509950953956e+00 2.110614833115816324e+00 2.684181767954671449e-02
1.223800367891434870e+00 9.928052887244685820e+00 1.716987562844580761e-01 2.599556602167988340e-01
8.610995529622658129e-01 6.468207182660884236e+00 -1.649316926380876680e+00 8.930867011472258532e-02
1.127096933198155737e+00 7.765305714238549761e+00 1.269137695631853968e-01 4.468339888731486242e-01
3.480940824972203806e+00 5.387889472077773689e+00 3.635645041615598316e+00 1.368266486578000873e-01
1.243077995340334141e+00 3.677066445637299896e+00 1.305317726079869400e+00 1.165797921538959669e-01
1.253448362820730022e+00 5.378790525129575784e+00 -7.846511035686645208e-01 1.390425444985286807e-01
1.501718729834911281e+00 2.616536058052509439e+00 3.139216489548264377e+00 1.254981398983810170e-01
2.247642706458450323e+00 5.468330665516175415e+00 -8.605286334602002540e-03 8.969857153606744515e-02
1.299786887779975864e+00 5.590127464210651098e+00 2.838674866560316090e+00 3.388687722925708412e-01
2.311378648280625558e+00 4.050017914601472313e+00 6.403241393989261843e-02 1.698916423591200764e-01
9.553613158951030915e-01 6.906629823883301711e+00 7.243303233585945966e-01 1.709285907955819250e-01
2.060309399281877951e+00 4.363163045866961909e+00 3.725869464518668517e-01 3.331974249853296155e-01
2.459442474174444726e+00 6.076413864540233689e+00 8.564606972734156720e-01 4.404630414332892374e-01
1.809568796839446492e+00 7.853838212841210975e+00 2.585166450124664728e+00 2.781016163803791685e-01
1.225665544728018252e+00 3.825584460640596429e+00 1.876332026766805994e+00 1.357304500382307544e-01
2.707968830555970374e+00 6.079526607711168928e+00 8.015224425738354253e-01 8.814315422704228908e-02
2.409859332831810086e+00 7.708238330327302990e+00 3.454951064812797235e+00 2.194041579188065472e-01
1.250262448817835992e+00 6.728651048979657823e+00 3.427201185004380424e-01 2.540152211010922034e-01
8.417460042691450317e-01 1.009417871561230307e+01 1.169855309180608538e+00 1.496554233398941780e-01
1.410779598995187900e+00 4.811386081916092294e+00 1.555394822781599018e+00 9.426301613832382964e-02
1.866645506549164057e+00 6.308383942388750221e+00 1.019016685760165020e+00 1.266044618131654531e-01
9.517857398451201600e-01 3.061418357549258840e+00 -4.721247027126138085e-01 2.056873133644692708e-01
2.128485783560116751e+00 7.190551380313461749e+00 1.173429259460292640e+00 1.507208970569860473e-01
1.216988650206756395e+00 1.066979709432561307e+01 1.312776311041801369e+00 1.760754389513792817e-01
1.021928295848475443e+00 4.836963692241961432e+00 2.424770601588938312e+00 1.840581323890438104e-01
2.649595186652202283e+00 5.090554372033528452e+00 9.075371951946160642e-01 2.240897500088640248e-01
8.004042976460099545e-01 6.076784431537179287e+00 -1.777789222608602560e-01 5.985814935651164598e-02
9.261567327902460178e-01 4.447791504846700050e+00 9.257468135548170274e-01 1.177171196503758593e-01
1.905854662870736460e+00 4.787296287309053433e+00 8.854486428442159829e-01 4.932785871028357305e-01
8.562433637580471046e-01 5.290593237150748251e+00 -5.946881624980238090e-02 1.907549636310606755e-01
1.040029424950243309e+00 5.321675431503917864e+00 1.562638000820100181e+00 2.107979192433787619e-01
1.455084915123881384e+00 6.266105902481285739e+00 -1.080014585794695003e+00 1.195592293314767518e-01
1.612958602807113451e+00 2.738197221106539736e+00 -8.960817581866109549e-02 1.053715899718316862e-01
1.397075785595871533e+00 6.837462661163267619e+00 2.847610894139017024e+00 1.843493761131292930e-01
8.332601969815749410e-01 8.186594644165444024e+00 1.732497364395999329e+00 1.647082516233709937e-01
1.194512352943695177e+00 9.531245238394149055e+00 1.024879424088694035e+00 3.075166890313121848e-01
1.909105308249621213e+00 5.513192002382076851e+00 1.487329166430599425e+00 1.571419312772114052e-01
1.281469812842202405e+00 6.860179883351499086e+00 -1.614014517971136708e+00 1.528116116578231987e-01
1.906544616879994880e+00 3.770034648815174805e+00 1.758176204204044524e+00 8.570781196343674191e-02
1.372260823592577950e+00 4.120704637950298732e+00 1.898160910137377755e+00 3.247058481910138350e-01
1.365800010809059106e+00 5.135910416841958259e+00 -1.071917134363056245e-01 8.002239416904000091e-02
8.879747672996969321e-01 3.443474598132917563e+00 2.852990535838177077e+00 1.594798185320799866e-01
1.126175114484252449e+00 9.615049071417701043e+00 1.071523661328067423e+00 2.498172887324842106e-01
1.181358715088672406e+00 4.177297427385973094e+00 3.368791264455491818e-01 2.743897761466408958e-01
1.157730508601215291e+00 8.909016869997357091e+00 4.600742037343228397e-01 1.297148108711453363e-01
1.659442278894280198e+00 6.733796055414648762e+00 3.196649509714561965e+00 7.173359457086728175e-02
1.012377508423037087e+00 5.714756132746949824e+00 2.790306776202778893e-01 4.417494156416985618e-01
1.514976493895752174e+00 2.764308099274967567e+00 -1.222976720046677013e+00 1.822008067221880245e-01
8.103366373162905756e-01 8.491351225400871172e+00 -2.617401159959931167e-01 1.194154307711043222e-01
9.451896666724471929e-01 6.787899814657629705e+00 1.767424398652988948e+00 8.336574326732869300e-02
1.891531553706373492e+00 2.954268809030663689e+00 9.408944172067732481e-01 3.501425702412293006e-01
3.983684904472629684e-01 6.340843742718841547e+00 -7.176318603429816534e-01 1.427253360763374446e-01
5.062216607167211446e-01 5.227026765649066320e+00 -3.506793433402958238e-01 2.103432364017256972e-01
1.317640832141609986e+00 4.959466678238647397e+00 -1.430478959810409512e-01 4.760318938931308863e-01
1.096609521717081703e+00 5.288838009588632261e+00 1.087152483651469215e+00 1.484882973128225370e-01
1.043873140914527209e+00 5.640191248233432653e+00 -7.698363040421019043e-01 2.043315016110705540e-01
1.055923024282755751e+00 4.568430442762424271e+00 -2.122079556483345009e-01 7.370489650326973730e-02
1.780634427955099408e+00 7.957854002825088813e+00 1.359531173044256747e+00 3.480032609492686446e-01
1.713205540002849192e+00 4.152208214680737086e+00 6.416623646423300076e-02 1.858167090946319655e-01
1.193472888274443422e+00 4.783350417448961167e+00 2.574180127035821108e+00 1.762925314191127191e-01
2.306163031832159760e+00 7.301976395476500237e+00 -2.413002167461262837e-01 7.475647562542006574e-02
1.920653897782994557e+00 8.588973117325323869e+00 1.864044097680795931e+00 7.273893037303921782e-02
7.001732174442397705e-01 4.175906782139396256e+00 -1.401580651312721804e+00 1.422793640483417665e-01
1.055785127555364467e+00 3.679741581062498934e+00 2.135538467186555156e+00 1.831272928135397049e-01
7.825288306560030938e-01 5.722582587897392159e+00 -1.159684132192609018e+00 3.716975713159538230e-01
1.061013417038282558e+00 7.290400303966600326e+00 -2.897963128923851661e-01 2.303159528091810182e-01
7.049343764917557209e-01 8.280876601312051832e+00 -3.399390451816839964e-01 6.793354542730700718e-02
1.176607935648746883e+00 8.962391485649384038e+00 3.395340249864308824e+00 9.800316575206957648e-02
9.211196776983927581e-01 1.257247963480014263e+01 8.407632701164047262e-01 1.037213033154326253e-01
1.654138362682796792e+00 4.432139426774879709e+00 -4.188204107447196511e-01 2.726819923174025329e-01
1.679434305957781648e+00 5.444275740118365903e+00 1.354057324186911604e+00 2.697302934984680545e-01
1.078344230000022996e+00 1.033119212080057281e+01 -1.813759204020352511e+00 5.592082448105244880e-02
1.210333096996307756e+00 5.855077547542121508e+00 -2.717845588536339507e-01 1.715489506632643935e-01
1.479515126604795228e+00 3.635078457829424181e+00 -1.034551677670371816e+00 8.071492315037519238e-02
1.285049897969224642e+00 6.545643764012845978e+00 2.235454687444842659e+00 1.974078000578911030e-01
1.931362432938108498e+00 7.264916090794442560e+00 3.453442578216064263e+00 1.480496255739399691e-01
1.797624631867460465e+00 3.394898108274810422e+00 2.412073982106767378e+00 1.581373330821505552e-01
1.332294280756392446e+00 3.998817921022556288e+00 -1.156630918863049917e+00 3.769433853595128420e-02
1.081862116783279815e+00 9.524275057617195728e+00 1.933843352908580782e+00 1.581707982731775652e-01
1.048971398963455037e+00 6.025968483901794848e+00 -4.829190998592987061e-01 9.555245173726016616e-02
1.510434885847913300e+00 7.991132908329133144e+00 2.250430604493699693e+00 3.752028724873832655e-01
9.420189109275478589e-01 8.570135601822478577e+00 -1.902281635948479543e+00 4.903570616817730377e-02
1.455049642517658004e+00 1.155485300892087075e+01 3.345108211759062034e+00 1.174164415362475705e-01
1.755320102303384200e+00 5.115231232749843038e+00 4.261664566001366339e-01 4.772929397400930973e-02
1.913021287215805888e+00 4.073940821631106601e+00 1.236866854359334189e+00 1.316296887619657907e-01
1.306681126484843691e+00 7.248115709005005236e+00 9.421194361730208522e-01 1.492219030049221629e-01
1.028985650700553034e+00 3.680626124258705278e+00 9.767065305443111134e-01 7.950873689645771014e-02
1.791291839923500939e+00 7.207702330894789178e+00 1.151375842207168265e+00 1.528807917927689497e-01
1.324166178302464747e+00 8.755482594316111644e+00 1.098579602795717536e+00 2.463755606789087560e-01
2.065298802927827193e+00 7.449528276528196713e+00 2.885724857427981238e+00 2.572310361857192418e-01
1.108582259951344851e+00 7.347084533867773715e+00 -1.319244638203240783e+00 2.637385127422424147e-01
1.600419300910272069e+00 3.421368057687854680e+00 2.095945401470977298e+00 1.769534759021847981e-01
1.672908584638199914e+00 6.435537330100847164e+00 -1.381739547911764898e+00 1.420286945550905677e-01
1.345670675658979354e+00 3.570748109474060961e+00 1.948420734255082554e+00 1.174114082507844159e-01
7.066992243519175654e-01 6.728547657681128058e+00 -3.381732309028636640e-01 1.071859259716737706e-01
1.300611709428669327e+00 4.853893166647154978e+00 1.790526273875951979e+00 5.425773005136710903e-02
1.517971146974860241e+00 8.833599248122917302e+00 2.269856260366228895e+00 1.674218712111628649e-01
7.932976287755887368e-01 5.850049888049499991e+00 6.108600086570795673e-01 1.189860540286559881e-01
2.300994764057097353e+00 8.333061233474811758e+00 1.513281042946998500e+00 2.042512626346761340e-01
1.869094235606205245e+00 8.727313645688393962e+00 1.014776073545110346e+00 1.796283759478479458e-01
2.735953315552957399e+00 3.362435513649370211e+00 3.154016239763553386e+00 1.140888249445713432e-01
1.941425972148370427e+00 5.881350952907534513e+00 -1.753743208526815867e+00 1.395766148737097034e-01
1.893241822754277326e+00 3.998106953522076346e+00 5.814583624096764103e-02 1.819926898385757497e-01
1.115468359930690045e+00 1.032766707167141007e+01 -1.684436698071517302e+00 7.171074563823691406e-02
2.650228922815275556e+00 4.640297951401961996e+00 3.948374560635496522e+00 1.018241628858076592e-01
2.089446127860072444e+00 1.343415317746481819e+01 -1.121220650400602370e+00 1.390497754016468135e-01
7.617480822990645439e-01 5.453215774933600102e+00 1.497557870629315335e+00 2.633038444614517748e-01
2.389742492665939633e+00 5.047880056553031736e+00 2.233284956333523308e+00 2.290730409514980248e-01
2.742625999159633565e+00 4.244758958044151598e+00 3.380767193920923841e+00 1.479850008493494018e-01
1.158144185289003980e+00 9.361437666565313620e+00 -2.176732875246478183e-01 9.015389491115463616e-02
1.238770337476357897e+00 3.063774571873966401e+00 1.382453847867187724e+00 7.693463161003251394e-02
1.529467367373720244e+00 4.153233250352295514e+00 -6.331253777086404133e-01 1.742736501192259368e-01
8.937335594249448123e-01 6.678186209831143749e+00 3.179295078268803643e+00 4.110785402218319895e-01
2.070899014386067272e+00 3.455797155032263035e+00 1.424030732336269089e+00 1.292219731477997069e-01
1.183646642473854316e+00 5.706268333118910796e+00 -7.621217272347691196e-01 1.664710148137594214e-01
1.615214070187424467e+00 6.562386796760492302e+00 -8.794754116804033295e-01 2.709769943458529284e-01
1.776625848988169887e+00 6.704898202667176399e+00 1.055185171169862768e+00 6.914263275329735059e-02
8.742011554514635963e-01 4.269068126305834987e+00 -8.317034342856444162e-01 1.365999185327402832e-01
1.595847931320970581e+00 6.059138048726641301e+00 -1.188727529991990384e+00 8.521038943489836481e-02
2.685186491359532912e+00 6.908279509446048294e+00 3.467042491290127870e+00 1.496669491951833353e-01
3.123463070610364989e-01 5.031799885624492319e+00 -1.183472843328026602e+00 1.378473982912972740e-01
1.519640112823842815e+00 9.846862877336096886e+00 4.591374092650395977e-01 1.644295882549348664e-01
1.886408912898237977e+00 5.829341779355052822e+00 2.026356284742595881e-01 1.694471176969328807e-01
7.853622487891666060e-01 5.404302797230864819e+00 1.549827926427588043e+00 1.238286688046557060e-01
1.426705722784394892e+00 6.043724843524917567e+00 -1.076609265481775157e+00 1.375364683170937630e-01
1.108799800384001832e+00 9.975521379281113710e+00 2.271143091601808273e+00 1.255762497490993390e-01
1.357469261428182028e+00 1.001965995864960490e+01 6.637472000039259523e-01 1.376593760686395107e-01
1.378799711287468144e+00 7.190916493773410245e+00 -1.322777152496576125e+00 2.829852438721775637e-02
1.478796230901792574e+00 4.445330852727748194e+00 -1.603505501721043336e+00 5.341060780690061460e-02
2.362360731584056683e+00 6.934164043050567550e+00 -1.584983918159722727e+00 7.361133047822324138e-02
1.798935817230222334e+00 5.523530242543488455e+00 1.016211781301552985e+00 1.178331977856448831e-01
1.596753102809664204e+00 4.703066941902051212e+00 3.962691661486792416e-01 1.671495107104738753e-01
1.080425039235129780e+00 5.462096148028776632e+00 -3.150417174788258667e-02 3.570587741926875003e-01
2.047493320245945547e+00 3.625595815969197222e+00 9.695586490029481919e-01 3.904186713292724931e-01
7.973550624814953469e-01 6.356012238092351829e+00 1.389383964377039149e+00 2.366512779720651438e-01
1.704863372066594884e+00 4.480508628289557649e+00 -1.128802267746570331e+00 8.085327443816325843e-02
