# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.014926571477723360e+00 9.497668752613039445e+00 4.389231959660269133e+00 3.337853984518918821e-02
1.720687446319079772e+00 9.376435241709147661e+00 4.337112214591631876e+00 6.764337407119740131e-02
1.239148692675373864e+00 5.898450911087234516e+00 3.924510845975589302e+00 1.067137596256174242e-01
1.816976638246584619e+00 4.944287393009936693e+00 4.215487122174785384e+00 2.237054823914438606e-01
1.384256111263815203e+00 9.941533570139863940e+00 4.265272281470335436e+00 3.987815051019585888e-02
2.078334442439847773e+00 1.031026410382234815e+01 4.336234732955108306e+00 1.304176282442424950e-01
2.407088950699942664e+00 5.480530855326428252e+00 4.316317539910319745e+00 1.186565723405600403e-01
2.139220102277487712e+00 4.710584185278511526e+00 4.316151113395999772e+00 5.956837296922978114e-02
1.603666028383175179e+00 3.777540594512920347e+00 4.186573910132493914e+00 1.169020969400214743e-01
1.780057216572761059e+00 6.262875303161619556e+00 4.411465394282696018e+00 1.957306879597796312e-01
2.354355237077494056e+00 5.170535152368465504e+00 4.396290528700373734e+00 6.192908325765727334e-02
9.571072997003795546e-01 5.840946256200833631e+00 4.084482204003077932e+00 1.090968285036117702e-01
1.810317071843158265e+00 4.973808200507113142e+00 4.205106910735901593e+00 9.809294072608894244e-02
1.459573779166377872e+00 5.677426850914389256e+00 4.256001571755987811e+00 5.918337338183729535e-02
2.283362157071662235e+00 7.010001729386765135e+00 4.498999987037947790e+00 7.471280089346510334e-02
1.898268717170704889e+00 7.678719039498196786e+00 4.292556171408151044e+00 1.277742033680089873e-01
2.273334861211775415e+00 7.385533478688577347e+00 4.337585781351915415e+00 9.599992982704462496e-02
2.029920182752749103e+00 9.608607777598653144e+00 4.403898301577506835e+00 9.375425861510200409e-02
1.011978558075655066e+00 2.822671953242315457e+00 4.084096878012131171e+00 3.478244433191562401e-01
1.385704272276698346e+00 1.184163325400801625e+01 4.097458900049028685e+00 2.781064704600469395e-01
1.868429002307170128e+00 5.944750770589249278e+00 4.318198989014519817e+00 3.626558361982180206e-02
