# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.515175520319094415e+00 5.102342192432934631e+00 5.346271846534017769e+00 8.867997280094858104e-02
1.176595831592035513e+00 6.156462717791196582e+00 5.110605102216840834e+00 1.533916348032320909e-01
1.078800462484823308e+00 3.731620103950156420e+00 5.118143616344904778e+00 6.269275018005232569e-02
1.503394750299172467e+00 6.276513395438170662e+00 4.845787945136303954e+00 2.032947766773076648e-01
1.507351298942483986e+00 7.363580717118191288e+00 5.160017374476378649e+00 6.382005029101200932e-02
1.253733419965494811e+00 6.506796233285115250e+00 5.625039314101847765e+00 2.289181461691205122e-01
1.256366465987903913e+00 9.450126442275042393e+00 5.040094287426663655e+00 2.955290403237396113e-01
1.641195656920335866e+00 4.194687607553653663e+00 5.149735347354997828e+00 4.842308130102220692e-02
1.253856939738702936e+00 9.925013976686983597e+00 5.094928020416426229e+00 1.073346917015847585e-01
1.920969634005887272e+00 6.776689364058269049e+00 5.371931745419781912e+00 1.602409535720865641e-01
1.208588009672079133e+00 8.285615452591546415e+00 5.146070786272678887e+00 1.496769001169372393e-01
1.033956788445734354e+00 8.939263127043982848e+00 5.161144288871478025e+00 1.648345463036610947e-01
1.223414893617747357e+00 6.216839039156506708e+00 5.114458256327014674e+00 3.576854042727042327e-01
1.415360470667942572e+00 7.474410231723236819e+00 5.123612744442302969e+00 6.512675837642160903e-02
1.428305624854418143e+00 6.007979756055630283e+00 5.280218264327003475e+00 7.197194790529146124e-02
1.298305514590991638e+00 7.393660266410241100e+00 5.182535270772040015e+00 1.026177619854427014e-01
1.504287833243325601e+00 4.081898444222846756e+00 5.186583244658850234e+00 2.209908107931620735e-01
1.459289514707925894e+00 3.880426882937497712e+00 5.280488924820462060e+00 4.548754897446531664e-02
8.611759518012083170e-01 4.565858979075921198e+00 5.256722829628690086e+00 1.160106923422564440e-01
1.318336168019781596e+00 6.848521411482936472e+00 5.224945320552294881e+00 1.084627381524863876e-01
1.377887058039751977e+00 9.111902943994047988e+00 4.995712038901082508e+00 1.102060753624865552e-01
1.646528468637789233e+00 9.421497746582755184e+00 4.900820282614275492e+00 1.062073269775365841e-01
1.525025135309986624e+00 9.007978958812737247e+00 5.074975071040920049e+00 1.452427363794430715e-01
1.409181247859768948e+00 3.174814732258346872e+00 5.024706725429924248e+00 1.023008989447467543e-01
1.692982378993378445e+00 4.780419667699361774e+00 5.347772645632682398e+00 1.035050584723343214e-01
1.490708797913797179e+00 4.093485936696253269e+00 5.194236150035526300e+00 8.562061945686615105e-02
1.847223924071433210e+00 5.045065983684145827e+00 5.030216410382173819e+00 2.368675002090452619e-01
1.652301941345210468e+00 6.584898441259257496e+00 5.218377771676005139e+00 9.809883626291791836e-02
1.422795009944511468e+00 4.848689583495414901e+00 4.902342229611970303e+00 1.427068098698950349e-01
1.177373740254140655e+00 6.050759675011653904e+00 5.317392832439979067e+00 1.421138887304688736e-01
1.456959782475257370e+00 7.107474390400017938e+00 5.052526234182199261e+00 7.295568339646643641e-02
1.469602365085410645e+00 7.751606420200941372e+00 5.127189519976963261e+00 6.703338793469215684e-02
1.448670981903095623e+00 5.857858276506806128e+00 4.902724932724325413e+00 1.848573681717389505e-01
1.448759189326130681e+00 4.174379379459800532e+00 5.146371244527145450e+00 7.098524440181611106e-02
