# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.018604481435992470e+00 5.470664966806339180e+00 4.782295991553231040e+00 1.817506848335906922e-01
1.372864689999025334e+00 7.195700069781396202e+00 4.600494276383253478e+00 1.863391796794026112e-01
1.180829221898887615e+00 4.496250427162383545e+00 4.712792310034503274e+00 1.629936482777243623e-01
1.474391024912463433e+00 7.748820652008635790e+00 4.692286932497837348e+00 1.167866104418315010e-01
1.145504334580387029e+00 6.287641046224644370e+00 4.432618956406777500e+00 2.564865446829246443e-01
1.534387705868787588e+00 4.109810852101823286e+00 4.348573934661672524e+00 2.349413774465194393e-01
1.407834683207220605e+00 3.716407780280768680e+00 4.719253336344109151e+00 1.168375714519539199e-01
1.285763390703868581e+00 5.585135178167282888e+00 4.658874111175735244e+00 1.898502544619069254e-01
9.701903763158603589e-01 3.576034642526165097e+00 4.507775914882242496e+00 1.743615617894860581e-01
1.291365985564965513e+00 3.918100125191998906e+00 4.324401894449505512e+00 2.324323145296035287e-01
1.247164948943243479e+00 6.038610455167725100e+00 4.829917994267522552e+00 2.641926716703478228e-01
1.449297136767330851e+00 1.009166255365047071e+01 4.959973292130650080e+00 1.330461693236075216e-01
1.322850326753594041e+00 1.115754469650275560e+01 4.251496115182529678e+00 2.060657507598275817e-01
1.049690919698133662e+00 5.827475998771754817e+00 4.828452929223785439e+00 1.098960150200109787e-01
1.288527308408683902e+00 4.244396107093563408e+00 4.715820024359500096e+00 1.081874898408931168e-01
1.134672057366675535e+00 5.904766336105838676e+00 4.693576411126267445e+00 3.517380985005037486e-01
1.424057064306030851e+00 6.771265378578865679e+00 4.789606966575870040e+00 1.632386727447542873e-01
1.097427191800634638e+00 4.853138819767225165e+00 4.839877410838790972e+00 1.476610425485141986e-01
1.058526264095659419e+00 5.518847210936663750e+00 4.779437422215695008e+00 2.051852402155691091e-01
1.319722804954985618e+00 6.761487770713607404e+00 4.776166217548967197e+00 1.805551488075684274e-01
1.073094862657324677e+00 3.252995795072098684e+00 4.771630032620633344e+00 3.719575698910858041e-01
1.912312352117990111e+00 3.258705589176171813e+00 4.625937819212131430e+00 2.513502308724202550e-01
1.117076502583767006e+00 5.240641850860812134e+00 4.760778117317395086e+00 1.655357245128509236e-01
1.284245462255566350e+00 4.724791611381697898e+00 4.987298780286508304e+00 2.004018570079975081e-01
1.309672797182106718e+00 3.062358457515596211e+00 4.280752534934812559e+00 2.709550868657946698e-01
1.826836289486835074e+00 9.098100612266808440e+00 4.997099098812765483e+00 1.285706136260960641e-01
1.687523651951981840e+00 5.035589480970871890e+00 5.055161832243456388e+00 1.231363304709153228e-01
1.668811611548844942e+00 6.426071643436186420e+00 5.033559659691978716e+00 2.790378037764400521e-01
2.101838433118341953e+00 4.135582531881293988e+00 4.731213045117502958e+00 3.576085202917448913e-01
1.182995879811062023e+00 6.592751487370910546e+00 4.829876359996355895e+00 2.179978441281900936e-01
1.351754669758564953e+00 4.424572111740066482e+00 4.703026850152007832e+00 3.825088194964451627e-01
1.212502264317192546e+00 2.910802581144874779e+00 4.829120363017123552e+00 2.283776798536936714e-01
1.393998285290098726e+00 5.860201046190375074e+00 4.858468054833757321e+00 1.459604377684816656e-01
1.570904624326687760e+00 3.440841874493752783e+00 4.830404859815982554e+00 1.349876763357232279e-01
1.773145006229873921e+00 4.347109995271140725e+00 4.826411557465582369e+00 1.819378367437984034e-01
1.466597379089319197e+00 7.008864062249045901e+00 4.740962328890880428e+00 1.712552798559171252e-01
1.430891611569270916e+00 4.080881410775168305e+00 4.395765670580424889e+00 3.490281624393754001e-01
2.003225791485230278e+00 9.945757770096772532e+00 5.023649155311825432e+00 3.665830337897257318e-01
2.090046811336750299e+00 3.054561268225936654e+00 4.901997893754165503e+00 1.708974241986163933e-01
1.613259454854090613e+00 2.978906123090310221e+00 4.763924096311477285e+00 1.288144999100244992e-01
1.489172526110839279e+00 3.942483637728578127e+00 4.923725617655184017e+00 2.306929859911227010e-01
1.264321397385645307e+00 7.830248703317931103e+00 4.560605751467545765e+00 1.752628550380363470e-01
1.240509178273498714e+00 5.969263879597811240e+00 4.688559943156031196e+00 1.580066926858677279e-01
1.491908534769323058e+00 6.277127920551755835e+00 4.561589706138466482e+00 1.781922839452889651e-01
2.086394442048955522e+00 3.811464054146726177e+00 4.776237819259696593e+00 1.659762893901067238e-01
1.338318220023426486e+00 8.011916535861121957e+00 4.704984672700711634e+00 1.376185352480643886e-01
1.941539324779300468e+00 3.969114440466464888e+00 4.821068002751437653e+00 1.303730343650359724e-01
1.327268276759336674e+00 8.268660875319435277e+00 4.890673043158856537e+00 1.886307782037262570e-01
1.933848105775023640e+00 3.298450233112316443e+00 4.798546662539203034e+00 2.402084587754622358e-01
1.574581872114060532e+00 9.603887196178311214e+00 4.610171203979334109e+00 1.139732494163746002e-01
1.688743831676009721e+00 4.555229847039583113e+00 4.578532752576630394e+00 2.645790050685282724e-01
1.620082792276835493e+00 4.075862571032401682e+00 4.392146369265813810e+00 4.757778816994659432e-01
1.547596351758570909e+00 6.359600787286339596e+00 4.662201019708389182e+00 3.064735846106693140e-01
1.375247799416668082e+00 4.027144534450008528e+00 4.689114840874315959e+00 1.239342970134329480e-01
1.227065110150837635e+00 5.093766585115033330e+00 4.497779370574876090e+00 3.228960325268667164e-01
1.618789811116461808e+00 5.035757489985601687e+00 5.042631982373691812e+00 1.525135252401857711e-01
1.448997351605240791e+00 3.654833455787529495e+00 5.159423066143637548e+00 3.018790522888586403e-01
