# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.213693376115080991e+00 7.056828287073072303e+00 5.507714287641075401e+00 7.226153638915845667e-02
6.496731893016529646e-01 3.648761575761462428e+00 5.382486579799958371e+00 2.480786629018204847e-01
1.281895623893371416e+00 5.002074920910720479e+00 5.339546273786488939e+00 5.872234368704606217e-02
1.364112397934234000e+00 5.865355627023019380e+00 5.387732185363558024e+00 1.897081345921578788e-01
9.927015203342639538e-01 5.685250900448851397e+00 5.525740825802786027e+00 1.373770819879774896e-01
1.190313829839177107e+00 8.359041117680680699e+00 5.536923653432252124e+00 9.086567180280699652e-02
1.279077870258260141e+00 4.811723678547741301e+00 5.371606515801713222e+00 2.603493762558377611e-01
1.111129548758728047e+00 4.200014909368307237e+00 5.754521116794394153e+00 3.970434492697665352e-01
9.680373144495006965e-01 5.931758030017498129e+00 5.556387341527174506e+00 5.834866351893591707e-02
8.098428495480340938e-01 4.162178126632381847e+00 5.271916262791881636e+00 6.123877970466315435e-02
1.333898025443462698e+00 4.271998847237924224e+00 5.228693002124077616e+00 1.084317752827193282e-01
1.377819576758463782e+00 6.691343582054506633e+00 5.492112023905865392e+00 1.763767927369124522e-01
8.078592875582792932e-01 3.624986561848187794e+00 5.442495284081528162e+00 8.998302248511319545e-02
1.072048434739412581e+00 6.415724746976060544e+00 5.369359267962248161e+00 2.627905058049931353e-01
1.008983653560060922e+00 2.697732144965042878e+00 5.387945818091179895e+00 2.574279626801849741e-01
8.857870226282510417e-01 3.159221632745695452e+00 5.562295093186236272e+00 2.030732886266684578e-01
1.042950374044999018e+00 4.842402999107282113e+00 5.531172670589974416e+00 9.467017570461770670e-02
2.309354264117669420e+00 2.200349630150704616e+00 5.395720719022036427e+00 1.194485022990301459e-01
1.623721247576031423e+00 5.023181392921570065e+00 5.528908472827138709e+00 1.100960994160897211e-01
8.120626917814629531e-01 5.785980637443440600e+00 5.453391113048915884e+00 1.119436263889210942e-01
1.014750505367966849e+00 8.160344886813705401e+00 5.477818669697822607e+00 1.034374201941884314e-01
1.298531931886531154e+00 6.662028164624517856e+00 5.474069320888253820e+00 1.143324291813815896e-01
1.261048212349055619e+00 8.776351519149715230e+00 5.509518860555211006e+00 1.011566743814104330e-01
9.816503912774228180e-01 4.080834385889144045e+00 5.673086374280983613e+00 1.767866604816732967e-01
1.077238732773502017e+00 5.418161218969753001e+00 5.425154111563999848e+00 1.608080631631685353e-01
1.105636074952880188e+00 5.187049185314932309e+00 5.412866498944744365e+00 1.568130375798735543e-01
9.780062199371780673e-01 5.208848927529832196e+00 5.288146947424007038e+00 2.017936023985731908e-01
9.996285835320120050e-01 4.060321582750145986e+00 5.289980913851759503e+00 1.073079154841515837e-01
8.118527491326830159e-01 3.400511051187364853e+00 5.689208465874812326e+00 1.744271721804671049e-01
1.280119390248963374e+00 5.385132387730870107e+00 5.442308618412648791e+00 4.207472248824135896e-02
1.217275802790549921e+00 5.817659336288091509e+00 5.422410347878720671e+00 1.128310888690852443e-01
1.330121457955605990e+00 4.573355063387851693e+00 5.547568730788720259e+00 2.151422446849633463e-01
8.463688714326274010e-01 3.275953033061439701e+00 5.185157705090152724e+00 2.133427095165923437e-01
8.632112032645549160e-01 4.516669472767643079e+00 5.479615496849457479e+00 2.215903493842076299e-01
1.596200514346293842e+00 5.072065650260999092e+00 5.566418845162480977e+00 1.567409038371077035e-01
1.146307572755353998e+00 5.860589397556776881e+00 5.390049516550762476e+00 1.197333896035529532e-01
1.131391373139831957e+00 4.962963678872649886e+00 5.465152263498169738e+00 1.778200338646337419e-01
1.130577046635960592e+00 5.291372860866285777e+00 5.503170450788750223e+00 1.494234067749689587e-01
1.006087122316877025e+00 3.181286447726916933e+00 5.281076836678662012e+00 6.987381730595300378e-02
1.530942802312081241e+00 3.673702440339669195e+00 5.171036402909514607e+00 2.145375308146058035e-01
1.567540380020750357e+00 3.923216470408213308e+00 5.455522262033809966e+00 1.194990426884006834e-01
1.275482848018809623e+00 3.254543941634091553e+00 5.442781618979592118e+00 1.354703171840219156e-01
9.493228838118511481e-01 3.405520960636360783e+00 5.538923193401648959e+00 7.910416139859383078e-02
1.783818779801654708e+00 2.799445912058767139e+00 5.757005227594737207e+00 1.425326123581055204e-01
1.125144866542250544e+00 5.400241093256519243e+00 5.448817649741067193e+00 9.920398718129531945e-02
1.155445223732248339e+00 4.001615020281794166e+00 5.461753000113378498e+00 1.420273732252139987e-01
