# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.092141231349200492e+00 7.764165763434983880e+00 -4.766818407014943304e-01 2.534574551380498475e-01
1.229391351803813759e+00 5.354269153710260909e+00 3.670630454097501438e+00 3.692248390254727619e-01
1.308429375998809929e+00 1.066943868979829624e+01 4.318590410642296762e-01 1.068268610613639230e-01
2.261477936649426645e+00 7.009146958112123293e+00 3.808575621820430523e+00 2.059344774877302775e-01
1.102848181679370265e+00 3.743223118483391509e+00 5.093530750679873265e-01 2.066462211435271257e-01
4.551660435900437007e-01 3.624984455987981136e+00 1.119634246517604348e+00 4.410362936211557616e-01
8.351272882947479159e-01 8.851808204928161672e+00 6.015954293154596400e+00 1.665816622852433759e-01
1.490558956700114734e+00 8.334911673908838026e+00 3.127344978755263405e+00 2.313887054048316683e-01
8.782505721920372821e-01 4.301553709724690755e+00 -1.440971100106137381e+00 4.241934542595689889e-02
2.192350050670816231e+00 4.761387403960761766e+00 4.892961126296763830e+00 2.604826784234448578e-01
1.317399659679936663e+00 5.562753421163058043e+00 4.208703574918039259e+00 1.874953617288334651e-01
1.900367747498337812e+00 3.891468615942577536e+00 -1.303314854172170412e+00 2.142633757431956498e-01
1.352198833245084941e+00 2.642460341184696748e+00 4.309622039305669006e+00 5.337921820606684742e-01
1.008123772316420919e+00 5.630097426348762646e+00 4.800792945335495610e+00 7.032791838764856918e-02
1.724169888127020656e+00 7.152242038368235022e+00 3.619639927943767432e-01 4.118706122348613219e-01
6.766473451377956749e-01 7.747410432323251328e+00 4.339732316508228216e+00 3.945364999520392102e-01
1.444606587412477827e+00 2.924715803869061048e+00 6.140915921933785881e+00 4.503766960194219987e-02
1.326496058070548711e+00 6.546588453868805502e+00 2.775320237806579993e+00 1.937028298059092768e-01
1.251517740464866524e+00 7.057678030613470099e+00 -7.708917990772843343e-01 3.285146277190192921e-01
1.609836095965477831e+00 4.215593226700087293e+00 3.398026743015318818e+00 2.336485567020106513e-01
1.398890665642360531e+00 6.557499385473882114e+00 5.768240303872413932e+00 2.005532203257554547e-01
2.178220023480458512e+00 1.086327795611955693e+01 1.172829593680808635e+00 1.236359112887981115e-01
1.853871795460425353e+00 7.075580993022141385e+00 2.229525650896543532e+00 4.991232565019940171e-01
1.789701916638440471e+00 9.488411984414410583e+00 6.326287709445429286e+00 1.197419960689136004e-01
5.587324353916953701e-01 4.190361620696721801e+00 4.625158093030021789e+00 1.408299491809031356e-01
1.023376693049103059e+00 1.431839698034464625e+01 5.860854597654411080e+00 1.946656366345037303e-01
1.764377388145075054e+00 7.129105174785296484e+00 4.027358242835802571e+00 4.238969718925288815e-02
1.357210325377659066e+00 2.677664704005474405e+00 4.224397230168046136e+00 2.507512856326095663e-01
1.062397954296225189e+00 3.001448701245625017e+00 7.312721762590594921e-01 1.236136765279661348e-01
1.475956465948793817e+00 1.037315975825869785e+01 4.826457823080165355e+00 1.052790461279142498e-01
1.897254511841376390e+00 8.368495697656396004e+00 6.268506803618826950e+00 1.834355925569817192e-01
1.298134712134364044e+00 9.374068883859923318e+00 4.765215708826161745e+00 1.481299485443270947e-01
4.126747780407049593e-01 5.429789034430634764e+00 4.554847325680267289e+00 2.911004605970541892e-01
1.410384332810655339e+00 6.290828426150924635e+00 3.712868907411115416e+00 6.772024074837285079e-02
1.032002961000962671e+00 8.429292209980411954e+00 2.910908173700303081e+00 1.751975858220090054e-01
1.967400413973619422e+00 4.679069271384442175e+00 -1.840291436288498672e-01 7.298986172459236144e-02
7.702087618063772068e-01 4.702204568094209947e+00 4.039789531155779656e-01 1.305525571485151026e-01
1.209580343441044370e+00 5.322715638546857697e+00 3.277787687755354451e+00 2.731840774297704666e-01
1.214160181114401826e+00 3.511460479941839186e+00 6.277975519025381423e+00 8.405909131772826282e-02
1.038224749633862354e+00 5.556092148377091533e+00 5.763467001099058962e+00 3.205778891307595885e-02
4.373907330311357367e-01 5.380433111461529805e+00 -2.885236606894565625e-01 1.991722831954086670e-01
1.979682635689802073e+00 6.853832325829841920e+00 1.494822392631048213e+00 2.003285314141448892e-01
1.070612261320774694e+00 8.805452113237880241e+00 5.566438494757806943e+00 8.434460278182885629e-02
1.982043691403835517e+00 8.777168387538822003e+00 -6.230867646207514099e-01 2.196538388907427475e-01
1.658026393061833081e+00 6.604764958227886673e+00 5.167635961248148391e+00 2.529653000783986250e-01
2.294900591352127872e+00 7.513436500624342429e+00 1.130458732485607687e+00 2.799462266140305688e-01
1.283672167850348211e+00 2.944492414453386608e+00 5.882429182149489399e+00 1.324230315933280777e-01
1.971886030358046549e+00 5.696897627342144332e+00 6.310037075285235275e+00 2.567237746915013163e-01
1.410704276087775710e+00 7.718893033373737111e+00 5.577070124599641687e+00 2.957935128968888217e-01
6.502331497818283346e-01 6.284363183104983541e+00 -3.289852249065445822e-01 1.142581869863953659e-01
1.176204781180213876e+00 5.169244714437555288e+00 2.108673695348600496e+00 2.092935408826296639e-01
9.867977547649778858e-01 5.042676523678855105e+00 5.961492649765172125e+00 3.500604777367553599e-01
8.864904846740068178e-01 1.147735734386263395e+01 5.549745101240872280e+00 1.883629858545548541e-01
1.109006896620690741e+00 4.599130543404897686e+00 4.684278524009887867e+00 2.144147160487458459e-01
1.469104029903642417e+00 7.517968618913474010e+00 1.448310524814946376e+00 3.077078015764098118e-01
1.640985296254050763e+00 8.254259313761584949e+00 3.024578494720032484e+00 9.907865131468102105e-02
6.110535157092340519e-01 5.562622331575761692e+00 5.582595938328479335e+00 1.927896116534611182e-01
9.561896779723105810e-01 4.584913670559235044e+00 4.760542875860773293e+00 1.188600810980668665e-01
6.352194020798261898e-01 5.204435094647775095e+00 3.986027487681051973e+00 2.545422858763596863e-01
1.733598087784129715e+00 5.888162360882585489e+00 1.820191714194289712e-01 8.787449012148497440e-02
8.735742295911195221e-01 8.441125410398054640e+00 4.324174940834399905e+00 9.557806980856461965e-02
1.723692311109125130e+00 5.346008244102971929e+00 6.676370793164992712e+00 2.600205247871714143e-01
1.090336912949534165e+00 6.416262162060847096e+00 6.087244132266549812e+00 1.663926323317597156e-01
5.941716503843332831e-01 4.600226421090685136e+00 1.899026941991148520e+00 8.220645590943620462e-02
1.745756583213058155e+00 4.416890735312508198e+00 -4.544121409001780076e-01 1.468289483396244544e-01
2.374349560827029748e+00 9.525015251431792507e+00 2.410840767821381903e+00 1.967728108482771077e-01
3.201518781880620113e-01 3.617503972246560284e+00 2.731262822557096293e+00 2.028016868084193958e-01
1.202759429260148227e+00 3.390916151977228843e+00 4.517567864236337272e+00 1.664904215929652043e-01
2.583413005837095433e+00 1.062983757402060725e+01 -1.389787181810833605e+00 5.498181148687186770e-02
1.668323325315323125e+00 8.731239936257125578e+00 3.397824954015109533e+00 1.297108526820849872e-01
1.034807956830346320e+00 4.047118203704674677e+00 -9.413703525697556529e-01 5.550453866079009535e-02
7.510254480510970554e-01 9.162261240872590307e+00 5.793971453246197889e+00 1.105372313950461760e-01
1.044014575036632309e+00 7.295740732196348333e+00 5.444742528787413605e+00 1.476632050181294620e-01
8.377218964946689939e-01 3.611379591540449407e+00 2.785062694046444243e+00 8.605237755475111938e-02
1.714262664020664628e+00 6.523823176731101903e+00 6.062007747705678185e+00 1.145468719631994869e-01
9.196853917384677501e-01 4.978174996980248679e+00 -4.822458391929236310e-01 3.112290780002778812e-01
9.287847244840714556e-01 6.920983867220238395e+00 4.753760687882556013e+00 2.436424935229268840e-01
1.003981184503450530e+00 5.794025031404789416e+00 5.885633638066011919e+00 3.463202670807436490e-01
1.014237771837673607e+00 3.689643072128023338e+00 1.408992171007153793e+00 3.062682613264827713e-01
1.306095869689770428e+00 6.787119857749331686e+00 6.681742400961496742e+00 2.251401816547639601e-01
1.548176392264677403e+00 5.644082029663692879e+00 -1.324980180624915072e-01 3.131797018762716434e-01
1.474929283135825164e+00 4.574961125850112609e+00 3.282765836216436917e+00 2.431630716571182571e-01
2.416094707008592746e+00 6.875180785763551405e+00 2.843506718216746165e-01 9.255927044313856655e-02
1.063893354171150163e+00 3.634066304018717108e+00 1.273368471155173598e+00 1.747359765257403552e-01
6.782719738194402659e-01 1.244461715698150428e+01 3.006377388315429222e+00 1.584109772508130731e-01
1.831595579788764194e+00 6.454979893976378946e+00 3.116881468195311200e+00 2.260522956158605157e-01
1.373009736724017493e+00 7.396749341449230464e+00 4.812496774989964976e-01 2.123658862193327779e-01
