# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.329028577654367549e-01 5.650306714368769079e+00 -1.420287196733025059e+00 1.023731730223894909e-01
1.394689893775275413e+00 6.392529260892676035e+00 5.034252428014585057e-01 4.015547622146037887e-01
1.950526736692580254e+00 4.561015197719448189e+00 2.853223762213575654e+00 1.797323582385067509e-01
1.248428207708301096e+00 5.748919666783499416e+00 -1.051055751894437673e+00 1.113046900593860078e-01
1.629759473504249101e+00 3.739683457823992363e+00 3.744374978434770185e+00 1.728790891655435091e-01
2.021296213232561367e+00 4.192620084708692296e+00 2.939051262555636868e+00 1.340379541024888377e-01
2.415687154036183948e+00 3.300873948968209515e+00 -1.247255043077961645e+00 1.594480659450294158e-01
1.468334013829862172e+00 4.133909090209496817e+00 -1.801229273591407054e+00 1.816850412044163088e-01
2.544400358452939326e+00 4.266364226038449559e+00 2.627345027609661710e+00 9.857550976544132704e-02
1.278782845083920039e+00 4.189792289667602532e+00 2.083113232545132032e+00 1.150142178796488002e-01
9.451124494802358722e-01 5.291341909438121327e+00 -1.067146738720657018e+00 1.806043387655241750e-01
1.604474201617343443e+00 4.340396116098903967e+00 2.512860776295827936e+00 1.686758794311201959e-01
1.132049639469807634e+00 6.721811602146427589e+00 2.000595186527019287e+00 1.816904677472990226e-01
1.044458802242202111e+00 2.987947137174188139e+00 -1.746860578617985604e+00 4.366768678467924936e-02
1.918929645445110577e+00 9.410125145810464886e+00 -1.490681389579364691e+00 2.836159045428051639e-01
2.500725159020555477e+00 7.454350220430503882e+00 3.253816485968420658e+00 6.650044118389430992e-02
2.384041608126928224e+00 9.260867307456731368e+00 5.114669124136020928e-01 2.507227012573518543e-01
3.026722936977619405e+00 4.066075406083264454e+00 -4.507809479620411008e-01 6.591018980381599390e-02
1.929452387524137391e+00 5.597447953773887264e+00 2.274376530050465028e+00 2.909547759778600140e-01
2.377650438125454624e+00 5.704661726608586392e+00 2.593742078113233873e+00 3.744552863255991015e-01
1.420998578990337435e+00 6.304548391920238970e+00 -8.884151767033326985e-01 4.705684956845650191e-02
1.232894674461820772e+00 5.627964953390501179e+00 3.034907494370286507e+00 8.028646080547810482e-02
1.126078995625944712e+00 4.999181945120511728e+00 -1.225048496313567936e+00 1.056257048214937766e-01
2.979457898370155178e+00 7.379931138940844626e+00 3.897415469575569169e+00 9.381260707918497033e-02
2.945733860591558173e+00 5.939132944491408495e+00 -6.062603464353792937e-01 6.325920562989045814e-02
1.257583373987399833e+00 2.462197711359249919e+00 -2.090907882606841683e-01 7.667101117058659765e-02
1.042988242923750253e+00 5.271681057473103671e+00 5.051743603612521838e-01 2.163819325601636923e-01
1.894143044370984574e+00 1.352183694665050062e+01 -1.310815168422668986e+00 1.486387522674325057e-01
2.082539376716479484e+00 5.934258583038007018e+00 2.167353082483082449e+00 2.137239349525266452e-01
2.108376596358739974e+00 5.320718132826160129e+00 1.441087639979480306e+00 1.441589006576527998e-01
2.311728256314250718e+00 2.695099491806884018e+00 2.961475926184863994e+00 3.141352270958827630e-02
1.420286734017883301e+00 7.768251982332755823e+00 2.503361664914588669e+00 2.371049767808529607e-01
2.154319852411948677e+00 7.847695719395461289e+00 4.797262339179134472e+00 1.947084871663948002e-01
9.648712073124147137e-01 7.947319131739921438e+00 4.606450921347645666e-01 1.643152132549569877e-01
7.318418788525646868e-01 1.001914962404999443e+01 1.536595650005838642e-01 2.985778751961437605e-01
2.459855929561945764e+00 7.274303150870645496e+00 2.014450009202612080e+00 3.602071553339564747e-01
2.758509167378604410e+00 3.225846674395913105e+00 2.730152754491109501e+00 1.363704445213770600e-01
1.368988090920309819e+00 5.768594957618661034e+00 -5.584066615158644886e-02 1.210167077718151823e-01
1.175955095144783247e+00 8.001155450450159634e+00 2.263083580815632878e+00 3.242888152842495209e-01
1.946599602564903719e+00 5.474507848260854459e+00 5.636118274810107964e-01 1.429281499322882509e-01
2.485570279432868013e+00 4.096039324428518924e+00 1.204840916636872761e+00 2.088297855851421192e-01
1.302224456438910938e+00 6.652546627375502730e+00 1.132852130438104066e+00 1.279401830987901556e-01
9.494919787369748843e-01 5.480695217993126533e+00 1.261701838895870065e+00 1.203174624070693505e-01
1.425161755400650376e+00 7.610267405130641372e+00 4.381414115487143768e+00 1.183315472408595359e-01
9.542028974627150273e-01 6.098375516852604150e+00 -1.073006362943761394e-01 8.037662685401041063e-02
2.293849700995492125e+00 8.818830294376073908e+00 -6.451143158382126597e-01 3.168694014940139358e-01
1.430526033743513947e+00 2.509672121319039828e+00 -1.580211812295147400e+00 2.140819865537067490e-01
1.869682213761931777e+00 7.083549685023847076e+00 4.966823327479989558e+00 4.227696117368451856e-01
3.905176684295013523e+00 3.228217587526946097e+00 1.245242318283597216e+00 3.939937425999784915e-01
2.504325424400227540e+00 9.230646444170947262e+00 6.996074213242191586e-01 2.145219302185992216e-01
2.020779957182348596e+00 3.720353392659978109e+00 1.394331568751853823e+00 1.372123421710400304e-01
1.813735553447910931e+00 1.023426290361299706e+01 1.928423375590424982e+00 9.311823209123248901e-02
1.408387475460088467e+00 1.080265455553186627e+01 3.821615331186297926e+00 1.885340477228297784e-01
6.364611284411372250e-01 7.932037278121630841e+00 3.400024902280381900e-01 1.613669410442401531e-01
1.620505811606842705e+00 3.249515981111310570e+00 1.281065169465972486e+00 7.997222027882142092e-02
9.857911124083234000e-01 3.509895581828256006e+00 -1.091598659114518588e+00 2.573942438636120933e-01
1.182092086447743329e+00 4.782362464981685157e+00 -6.037385560659279671e-01 1.676714784305318173e-01
1.293513352126286486e+00 5.362774350371825705e+00 -5.104477950139757469e-01 1.597452959380754045e-01
1.683134110264548955e+00 6.618169742424532487e+00 7.173033841740565908e-01 4.719925244639173179e-01
1.374083414243043144e+00 9.576279514405166893e+00 2.156043008852980059e+00 1.522594841982920222e-01
1.687106138990648763e+00 6.711306405708914902e+00 -1.291928088805561536e+00 7.237162756450524204e-02
7.616179915111151999e-01 7.437146105584601763e+00 -1.452475626672483422e+00 6.264781511989279961e-02
1.925674723074372485e+00 8.431341058277775247e+00 -2.314531687143824845e-01 3.386585909200878763e-01
4.190367032776576295e+00 4.076144980599681666e+00 4.330631552464617506e+00 1.609449847082745633e-01
2.312165467147250908e+00 5.500365357998771465e+00 2.383916067503881742e-01 9.746381266365775065e-02
1.980674702215626359e+00 6.010521523284993783e+00 3.496422048153580153e+00 1.970772297243518212e-01
2.294728863643892058e+00 8.103243882168703394e+00 2.680767489819356086e+00 1.865025301992847551e-01
1.914222666010134244e+00 4.052777146966263011e+00 2.076773966275888839e+00 1.384347142551622389e-01
8.769058474182851448e-01 5.400409054777430384e+00 -1.483373136303054673e+00 2.649840789102155258e-01
8.935641346332913182e-01 6.673386313740617304e+00 3.011366393544785969e-01 2.333146067314561811e-01
2.303603126775933596e+00 1.042419470019322425e+01 4.374085172784603071e-01 1.832316336365488740e-01
1.430740299169424912e+00 3.540255628100846153e+00 -2.115370430275310687e-01 1.952427861852888691e-01
1.040239719655020600e+00 3.216251334674473661e+00 2.231235979836152516e+00 6.505597383207207818e-01
2.927472186570347024e+00 5.034689058581811594e+00 -1.211153472116035301e+00 1.227019096983724133e-01
1.463763906471203136e+00 8.105564592786997480e+00 -8.318366750063865833e-02 1.926473891137888694e-01
1.899767751399699778e+00 3.203258898918498243e+00 1.401493680645162998e+00 8.816110036594920762e-02
1.723683440507860265e+00 7.931130719174772636e+00 2.012036671701133983e-03 3.344500058519366270e-01
1.285618472639622256e+00 7.639221661308949862e+00 -1.223703804294165032e-01 8.344523548154300641e-02
8.920290863608977272e-01 6.627165688336063454e+00 -7.543502969742915676e-01 3.389554099803948617e-01
1.686133149280469423e+00 1.224497302837020740e+01 4.235936145640357253e+00 4.470015122288293341e-01
1.575270490629894660e+00 5.983372917521358580e+00 -1.177812484230130519e+00 5.996409954523844454e-02
2.554761683808592920e+00 5.765429531166659238e+00 2.858857857642580935e+00 2.345504142935720404e-01
1.913450027661573349e+00 4.053164762910503427e+00 3.029544723852011234e+00 3.088109381926682495e-01
2.947732925715229158e+00 4.586628542578120360e+00 4.176543891639679096e-01 1.754082634217687398e-01
1.494568747281024734e+00 3.449018909178938941e+00 -4.124779247545243277e-01 1.593833681967540272e-01
1.231969167740853077e+00 4.305471564622171954e+00 -4.912138413652846203e-01 4.130794217117805256e-01
7.115634354828654917e-01 5.797128465948436116e+00 1.485336241063772267e+00 2.074007357350104441e-01
1.895640817186368787e+00 5.618902563018588481e+00 4.723325974325833343e+00 3.065057307591003560e-02
3.144494448414049792e+00 1.132833325920401535e+01 4.419068268681443090e-01 4.644883152824444417e-02
1.712630702998721111e+00 8.183212892971823749e+00 3.652901095696669653e+00 5.035266807471896477e-01
1.603014077344390831e+00 3.189486403551950122e+00 4.387757329032044851e+00 2.411779347459429290e-01
1.533750058574439024e+00 1.109228626567974452e+01 -8.316574399886405011e-01 1.618119322347097711e-01
1.292718261705752658e+00 4.307653220085332357e+00 -6.205870423709469730e-01 1.750789862933093549e-02
1.219968493393257081e+00 2.498537152848541609e+00 -1.092198783008136997e-01 1.188014783473032715e-01
2.585610957667995979e+00 8.075029519843422321e+00 3.147614890411615463e+00 2.992499783332086549e-01
2.140618799659226301e+00 5.592162277571731011e+00 -1.869186895179897112e+00 2.869626072869043143e-01
8.977053942759187777e-01 3.629350265849887958e+00 -8.179741465082165375e-01 1.105884563347133281e-01
1.407192767187299021e+00 7.605863831443453904e+00 3.857936729893114425e+00 5.908191955017243202e-02
1.353128970124517494e+00 1.321915823790979161e+01 1.875100797998787927e+00 1.469961235581654646e-01
1.703550016699940883e+00 3.372836745270190839e+00 3.642445528163832602e+00 8.079704793318860656e-02
1.398820394778727216e+00 7.670570497105194008e+00 2.727236625627708300e+00 1.673211951466649916e-01
1.169940485067237690e+00 3.111486124461118941e+00 2.363804763829318034e+00 1.198309022756460507e-01
1.882400205316598019e+00 3.811831347744755405e+00 3.352583800859894936e+00 3.984401646451181667e-01
1.713485295881348014e+00 4.120916584840898622e+00 3.419073267959033213e+00 5.636402472525028906e-02
3.193212572527710957e+00 6.380674700394179943e+00 3.148106803076973215e+00 2.305244864786244463e-01
2.306057301255764358e+00 2.286460473347639244e+00 2.457728267938620093e+00 1.443038660211095892e-01
