# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.044832558701137781e+00 8.852993442489438536e+00 -5.975460835800010528e-01 2.205290155766398419e-01
1.147962484048612675e+00 3.919802232428176048e+00 2.483339535090014927e+00 1.161412737628308434e-01
1.450391125801548942e+00 6.701746033142550019e+00 1.704410534918459952e+00 1.148575210020311571e-01
2.441271903058360948e+00 4.151612233177897515e+00 9.105021421200576448e-01 1.270615535292355103e-01
4.922707162530458036e-01 3.693222435076540133e+00 2.372646943800700292e+00 2.034553265268546629e-01
8.838134375212970406e-01 5.995524538744901655e+00 4.629391732425662376e+00 4.193001749562712266e-02
1.806657300989450654e+00 8.991903384342034400e+00 5.624042475315063960e+00 1.268298547225210904e-01
8.841310134457611714e-01 3.553171509666099848e+00 3.343717398927114726e+00 1.511123225474838849e-01
1.652482012398921452e+00 3.548258848388214926e+00 5.068018013877457761e+00 1.122030288398995213e-01
9.242202348409253032e-01 9.754768434766809548e+00 3.116752611980116328e+00 4.023844791885263783e-01
7.365971941285289759e-01 4.268142185775402275e+00 3.896809078892630840e+00 9.830753772949546443e-02
2.249943320351886378e+00 5.034111418056451015e+00 6.897512164667183310e-01 1.211712076926367981e-01
6.552395055808923896e-01 6.717564250190708464e+00 -1.328978529116746854e+00 1.167385152277974902e-01
1.263109403053686908e+00 4.481404666800063552e+00 -1.500319998648055098e+00 6.068520654646714085e-02
2.062220647457385869e+00 3.783460257171701535e+00 3.161732209881732203e+00 2.816839262547012335e-01
1.095553493551948643e+00 6.653268891621159753e+00 1.285028632949537064e+00 1.545782068377767049e-01
5.056554220930906673e-01 4.747248371714318793e+00 -1.072757324277353375e+00 1.951555822074704238e-01
1.290143408986652807e+00 7.629883916258666687e+00 3.862308569792033186e+00 1.608463112818072083e-01
1.662760110048098872e+00 4.436782568545718064e+00 2.042552680994602632e-01 2.369048926323925192e-02
1.783062052943494846e+00 3.308181954730968322e+00 1.805135737544256935e+00 2.346453912004763664e-01
9.171931296897398722e-01 3.214213348553668581e+00 5.118451994779187331e+00 4.075179123814341442e-01
1.989092638528088264e+00 5.814012718456869067e+00 1.451914411649104064e+00 3.597450226302045806e-01
1.699757637342582228e+00 5.577506803298506455e+00 4.544596282796147690e+00 1.999639742042410295e-01
8.854839048729117312e-01 6.509875812527580408e+00 3.696204756758049825e+00 4.899024168773974397e-02
8.745892518100624180e-01 7.778966599139790716e+00 4.702713346386944160e+00 1.069481750655141561e-01
1.244024618835091189e+00 6.448191388726645989e+00 -1.248424332521139712e+00 1.173425888250986537e-01
1.772364803411763612e+00 6.904288431266286885e+00 3.088094010631212694e+00 3.107234962023687208e-01
3.358010399132373980e-01 5.724175165391446995e+00 -1.182232337386873944e+00 1.125278047336204651e-01
3.168054448719337834e+00 7.990539650077595368e+00 -9.328197084314893139e-02 3.646800002389546380e-01
9.679417066961708560e-01 5.078465917790038198e+00 -1.357150816711243158e+00 1.110945845643185742e-01
1.752630468439102529e+00 4.887467669782425972e+00 3.409179882205671142e+00 1.611518004321498554e-01
1.550992025578949329e+00 3.213568967176650304e+00 5.384726803650955240e+00 4.783596180979685780e-02
2.201351369373376166e+00 1.142552468756614559e+01 1.354588647235369425e+00 3.827215067621209665e-01
2.049447306291968474e+00 8.921395379263589831e+00 2.511473306417052243e+00 1.242114424889095986e-01
2.361592581834247806e+00 5.940095764671357692e+00 -1.099686830754730282e+00 1.164355274478592051e-01
3.061775729598799956e+00 1.016157055993647162e+01 1.698949128197818625e+00 2.496428565053964710e-01
2.128313168724591975e+00 8.952058822875951449e+00 3.878010942221823854e+00 2.597560246567805486e-01
1.136282120473870894e+00 5.852777147726001772e+00 5.645005283058242895e+00 1.711225635371580733e-01
1.002600456015419805e+00 2.982419966955196955e+00 1.205908747122512281e+00 1.345400329749787127e-01
1.112365066109091805e+00 8.258299944680651095e+00 3.060097970431242764e+00 1.476277740080614298e-01
