# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.055508550314737670e+00 4.014867824269195751e+00 3.802420338286005563e+00 3.607686416785483852e-01
1.147207244590559005e+00 5.113642074203721855e+00 3.736196187329898777e+00 2.654403202201731649e-01
7.808532060631241389e-01 3.734721515302378947e+00 4.786073776968914117e+00 7.077440296942466569e-02
1.105399779861989007e+00 4.210166956565526419e+00 3.899660110348671438e+00 4.511542831885282934e-01
6.003517418440356135e-01 4.141227994138588109e+00 1.418625598624938533e+00 1.591061637725001421e-01
9.103312203045710316e-01 2.726516782930976213e+00 1.428465414644362941e+00 1.442744429094755532e-01
1.200945145836791017e+00 6.656724778039295742e+00 4.092016426669401241e+00 1.741837793291983183e-01
1.018290177732095181e+00 4.621229775888451741e+00 6.507724266667298529e-01 3.230887887420427762e-01
6.364253308407468168e-01 7.788297620095526952e+00 -1.593119800060840863e+00 5.191186432346624885e-02
8.637832796508284616e-01 4.116608679372147250e+00 3.939345112773379398e+00 1.163066503070049607e-01
3.477736961860111720e+00 5.545926455375989939e+00 5.943040648915156599e-01 4.736684116546063805e-01
1.131039925310529881e+00 5.243751129617456819e+00 4.125517088741958993e+00 2.461888006012084573e-01
1.781346536517718349e+00 6.801479576216460821e+00 3.993369672868440023e+00 3.185031270029358152e-01
1.639065046129988046e+00 4.080186399543117126e+00 4.924702293603136383e+00 1.234267358267647080e-01
6.603139613106022709e-01 6.063574410291080241e+00 -1.636705075739517401e+00 1.771847729140936245e-01
1.166387144909022622e+00 8.055016829132684464e+00 6.568614413109967742e-01 1.142229362475646604e-01
1.107001954459422510e+00 5.184452841011979451e+00 2.160246418759748099e+00 1.059656744979059761e-01
8.591493368173719336e-01 7.348362804501950230e+00 1.917044842457428011e+00 6.183891932948340497e-02
2.304537052455563728e+00 6.058826993189359911e+00 4.982570218212731383e+00 1.358269712712465160e-01
6.876018109813796242e-01 6.140964103564877874e+00 3.720412289227580160e+00 2.610829206210828479e-01
1.087726864267755111e+00 4.755860254597351400e+00 4.502256287143872271e+00 2.998589078546254894e-01
1.162773373029855728e+00 4.174512484842147764e+00 8.876230727243251684e-01 2.948462380273394329e-02
