# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
4.216379072930903638e-01 5.530886215599725375e+00 4.694492888346155635e-01 1.693059957768462132e-01
8.308551273849059671e-01 4.584927740601896673e+00 1.121209012808199734e+00 4.097752621921162963e-01
9.069854732814400800e-01 7.428105574273563327e+00 2.378385090427424409e+00 1.810726835608384988e-01
8.856275175065706495e-01 5.972780920429565654e+00 2.467862789688038738e+00 7.252649983457078176e-02
2.233348750550795181e+00 7.552512795639243492e+00 2.390459729637782527e+00 2.458087555696631954e-01
1.428103215417879879e+00 7.095083939469037482e+00 4.579593454627216786e+00 8.774645066755117073e-02
2.050872103237439958e+00 5.160654019839206796e+00 -1.255530544340761168e+00 8.358265071633425025e-02
1.250432535576587068e+00 3.973069129540361732e+00 2.935191300742225451e+00 1.638378148992066241e-01
7.659993379145098036e-01 5.257373964445088532e+00 -1.542250905969301478e+00 2.725562755383822977e-01
1.465901268268597457e+00 4.209392677505449321e+00 1.849218964845334323e+00 1.597188383562354874e-01
2.266914190611564628e+00 1.313229585668751831e+01 1.676278674914063682e+00 2.072128228027906582e-01
1.766212371649815704e+00 3.094867937441518002e+00 3.243310691156461090e+00 1.036492685868768970e-01
1.609933620124514020e+00 8.821987701038377594e+00 1.361145275843059776e-01 1.536656620858288524e-01
1.165117872931018095e+00 2.986782471103136771e+00 4.049763130273714928e+00 2.477147456201316267e-01
1.407872915126851199e+00 1.065408543138952702e+01 8.912524399015786525e-02 2.185205249840738995e-01
2.551987149241487174e+00 1.002892718136289218e+01 1.321315129052962112e+00 8.212638393079427224e-02
6.366204157384991458e-01 5.263029743258138993e+00 -4.323044910417015996e-01 3.394473512877150823e-01
1.969470360637587847e+00 4.698271634414484588e+00 8.229599624981347450e-01 1.174359263001569509e-01
2.068639322458086571e+00 4.767936190416942388e+00 5.932916358775868204e+00 2.094019845932381108e-01
1.828196976187857592e+00 5.782330324568753177e+00 2.266962549889840250e+00 9.783554796185854607e-02
1.436155184449800171e+00 8.295921481226725902e+00 4.696819865895796475e+00 3.434096576061320683e-01
9.788637236532391483e-01 1.109049032716131400e+01 2.853865431091207938e+00 3.669379080476152244e-01
1.380256820010951513e+00 9.498874893190537350e+00 1.342411092208141365e+00 2.225368780970756744e-01
3.314923626224106190e+00 7.033141073080310335e+00 -1.394136087324159501e+00 1.806529993518684041e-01
1.849440928714386256e+00 5.009770172088353846e+00 1.638841994676041747e+00 2.545616550008721335e-01
5.057132408016011826e-01 5.457945287006830348e+00 -2.506016256647155549e-01 1.561324838312450336e-01
1.569562529030041675e+00 4.777922281107895408e+00 2.619305566799457363e+00 2.354371884029783368e-01
5.503771247771679365e-01 7.109389778958812300e+00 7.791943801239394896e-01 1.564799591224741437e-01
1.136819061510702777e+00 5.925417190416482960e+00 3.161811880071552228e+00 1.813085112091163409e-01
8.856275175065706495e-01 5.972780920429565654e+00 2.467862789688038738e+00 7.252649983457078176e-02
1.115446249825832847e+00 7.817512887050488857e+00 1.555529473581779953e+00 1.583989641190689246e-01
1.331226838856615746e+00 4.145227355744420805e+00 3.502182427886753047e+00 1.650894652579177058e-01
3.189619608002224549e+00 1.238299516058204652e+01 4.842837337836128242e+00 1.559952102280408315e-01
1.494436926635955176e+00 5.027249590493021891e+00 3.731154642509823649e+00 2.351772179900757098e-01
1.572517827624386300e+00 6.233887178305060672e+00 4.848410408322651577e+00 1.204932470064003919e-01
1.322153945282837029e+00 5.611649934627193304e+00 4.360442031054288847e+00 4.079474296989852311e-01
2.227844199125429192e+00 4.874716898019546107e+00 3.297317449787660060e+00 1.559944977653939524e-01
6.155483296089354628e-01 8.024991296043014088e+00 1.238865447958634736e+00 1.787369867378164612e-01
4.302851604084886539e+00 4.999757903415697591e+00 1.426176160615319821e+00 1.855606224196292009e-01
8.242316137798844089e-01 9.496621057778860120e+00 1.452208885682753081e-01 1.876687034903247731e-01
9.250719023392621754e-01 5.061170502784281489e+00 2.577115893139849678e+00 4.149097605202047012e-02
1.091147801524169347e+00 3.663945711917708792e+00 8.769208418182339315e-01 2.163078902445513818e-01
2.239899378731145418e+00 4.827701950310067325e+00 1.977587320404521565e+00 1.625233272780740590e-01
1.359668744670667451e+00 7.311254510062457967e+00 7.321883744692816998e-02 1.371247989569066850e-01
8.584531085973406972e-01 8.321839984835211368e+00 3.684754314522459939e+00 2.342897365049055325e-01
1.291526344458188369e+00 6.951345310360373730e+00 -3.598286085077035956e-01 2.271676116203415197e-01
3.383874588300672226e+00 1.020985772851932794e+01 5.791241922386542562e+00 1.609132485794403378e-01
1.395306293581440649e+00 6.153775826847631691e+00 2.752954980525098350e+00 3.617796701973620133e-01
2.462373664050266697e+00 4.725539049022168925e+00 1.436257951701636504e+00 1.146090247961529252e-01
2.378974176056914303e+00 4.144265278458606261e+00 -1.784349555120041453e+00 2.103627546969751294e-01
1.471921058153341733e+00 4.030248456698486414e+00 3.346444731644906412e+00 2.001022094610009350e-01
9.373996465045707494e-01 4.597216284380118978e+00 2.000487737986426762e+00 2.132274145734522341e-01
