# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.183898088697607154e+00 5.930966917231950575e+00 5.545131885623920454e+00 1.698291386217214427e-01
1.472138678390850774e+00 4.656360499673397157e+00 3.971842507761600416e+00 7.076015769607728323e-02
1.653053535370275773e+00 3.383252507517008567e+00 3.146986484454758148e+00 1.871069048594120876e-01
8.741153568761251824e-01 1.020643574244558671e+01 1.218583095765517044e+00 2.996800010302143047e-01
8.806337687024067273e-01 4.431971854355126972e+00 1.269140207406284082e+00 2.947317205085152603e-01
2.470606966796976778e+00 6.833624090203064938e+00 4.940497220900292419e+00 1.396827879536611250e-01
2.037086872080311917e+00 4.941462930878285142e+00 4.857700800871589397e-02 2.206462596132124920e-01
1.095908993603778914e+00 9.953281654817281776e+00 3.833444089963788493e+00 4.087295864320844574e-01
1.013954392163674667e+00 4.928022977182199504e+00 4.912443620016189172e-01 1.097102770956919354e-01
1.713639225982653391e+00 8.360877144532643968e+00 -2.671967136226702233e-01 7.181128162658907688e-02
2.256420900841292099e+00 5.995903145615277374e+00 6.035965914850081049e+00 1.026375686157336986e-01
1.736778455605917371e+00 6.399793197000535727e+00 6.105470734556781576e-01 2.393264217601615840e-01
1.651532952839872337e+00 5.598583620241610603e+00 5.757826615658541591e+00 1.796634090087624591e-01
1.089910741312130504e+00 3.078692872390478730e+00 5.991289815062113000e-01 7.294235095129837643e-02
1.561781230525183917e+00 6.486671065525552393e+00 1.900822636007707622e+00 1.665252681011549774e-01
2.231813905855742686e+00 8.848270587790874941e+00 -9.013425579129791254e-01 3.984222462946910848e-01
1.527822954288382773e+00 4.916336463751516561e+00 1.677053911842602885e+00 2.022169358679690720e-01
1.305892625018855835e+00 4.089242045680739679e+00 1.226531829257581974e+00 1.028313131146577214e-01
1.410405871928075872e+00 4.476070418829571018e+00 5.014720439495444992e+00 8.389759219328254969e-02
1.742805446978276107e+00 4.613904840920312722e+00 5.696335888091326183e-01 9.776755866607039769e-02
2.304521817301176334e+00 3.343600973999622639e+00 -1.207754523949395420e+00 2.124395748301219355e-01
2.486693864024400291e+00 6.694243077714533641e+00 4.914365247401288883e+00 2.493141138460723827e-01
1.662981300034543475e+00 5.735008574345860310e+00 -1.717108286614436707e+00 1.258022093738154767e-01
1.944392190186996272e+00 3.475582508103143287e+00 3.554257388697239506e-01 8.550994488758725809e-02
1.698585565789832774e+00 3.812048136813868560e+00 2.280960636180944245e+00 1.670351270475932681e-01
1.502651733353340457e+00 2.848128597831331099e+00 4.270164172792061841e+00 3.590497344834960858e-01
2.952543571853625259e+00 3.586070148436727223e+00 1.652245176247322256e+00 3.754392257233635233e-01
1.728158512408199510e+00 3.336865841857274084e+00 1.141873129584918045e+00 4.942799279104436172e-01
8.893377087258698133e-01 9.749593656869743441e+00 3.700835080602995042e+00 1.990805338788071144e-01
1.795622759459363671e+00 6.429592773119505722e+00 2.630999119017329857e-01 3.350526271550925417e-01
1.928986801650869998e+00 7.322869425083190720e+00 4.101380675606310255e+00 1.791486963991265058e-01
1.822108198470306251e+00 3.338609027566656007e+00 -1.478467687044616063e+00 1.973804537248466107e-01
2.555607048491848055e+00 9.954740233405800609e+00 5.619406897650954136e+00 2.310610579787507890e-01
2.479343949573647787e+00 4.429172990250177300e+00 3.765233775182310172e+00 1.064531005179258638e-01
2.730954545970310843e+00 4.517146846648390834e+00 2.768431848240882509e+00 7.629186966500099698e-02
2.571568475841083057e+00 8.455306684865780298e+00 6.038861630297109429e+00 2.803143209592107721e-01
1.805253172069736012e+00 5.008255436268447269e+00 4.193581021838090450e+00 1.657761110671132077e-01
7.334495435824542886e-01 5.020131174087175907e+00 3.628499592797323814e+00 2.207068089651249565e-01
2.361856483094726400e+00 4.380137403152049913e+00 1.185429205178541112e+00 1.069284924653006175e-01
2.114704235699623069e+00 3.948905194501139970e+00 4.672811170814680892e+00 1.970225844542042304e-01
2.208962795030315895e+00 7.038049122722626727e+00 1.650637223087693117e-01 6.041549372146114844e-02
1.611911428179904293e+00 6.188696931681839430e+00 4.231074792226602099e+00 6.790462337496878942e-02
1.368656871725366875e+00 8.318611836023061201e+00 1.685579688551313904e+00 1.640656803166820887e-01
1.526684696749004422e+00 8.687901083189203177e+00 -1.166806471056837324e+00 9.455604370036940765e-02
6.595758931058477437e-01 5.486241552742654015e+00 -1.447519095777381803e+00 9.969889079614498162e-02
1.125349693640039561e+00 8.090808972544659028e+00 1.099546567966834143e+00 2.082779762345032815e-01
2.379037025622423585e+00 5.202088219990773865e+00 1.114961926745606652e-01 1.681670808058248201e-01
8.635204249578746216e-01 3.377675475170298203e+00 -2.534483602527892732e-01 1.028260229862100750e-01
1.640538460905270002e+00 3.431156351167693686e+00 3.441785542441441859e+00 3.761814913512950276e-01
1.717878023742611449e+00 2.854067456042697071e+00 6.161595644852714271e-01 2.488532805349701338e-01
2.042239000890673228e+00 4.990018063019582506e+00 8.794709816920759371e-01 9.411669384722820553e-02
1.522370463655641881e+00 8.403509005550009903e+00 2.837588721131405922e+00 1.207121908840129848e-01
2.013573868831774138e+00 7.482923599752258959e+00 -7.015338368312722395e-01 2.082726841837654053e-01
1.489486587475865820e+00 4.802930614315020996e+00 -5.409603365082296111e-01 1.342281313880156202e-01
1.243641578481566867e+00 3.174178765980963934e+00 5.723755449561720443e-01 3.931129938619283837e-01
8.451113871135631506e-01 1.574254218435058661e+01 1.016505605795161804e+00 8.420143954981132439e-02
5.873774090570731410e-01 5.687696997388746567e+00 -6.612416517234580571e-01 8.163127431497184394e-02
9.260314889013643302e-01 5.466475956752777421e+00 -5.209940514747990470e-02 3.847183167625992106e-02
1.512299860163518472e+00 5.148030019304498772e+00 5.127697724540071889e+00 1.717199076471047359e-01
1.788146343272572381e+00 7.820989545703318946e+00 1.520519805816552328e+00 2.966110237885752898e-01
2.027382929682637780e+00 4.141110617377345093e+00 -4.266214777449279794e-01 2.632404025013371784e-01
1.392654874932842013e+00 5.585765354422255413e+00 -1.563886704206360334e-01 1.656867737736664736e-01
1.605593198302380564e+00 7.291307985145564885e+00 2.557391462841366092e+00 2.844921116517173942e-01
1.748038838472742995e+00 6.791815040926106661e+00 -1.638215477831855615e+00 1.629447858679163585e-01
6.765446796957754749e-01 7.848963138146239693e+00 8.818411977313158623e-01 2.254630298274659106e-01
1.021988337966617699e+00 5.466251234313632246e+00 5.109243762966207747e+00 1.171589928684053511e-01
1.416946733078328746e+00 1.018983974738539722e+01 -1.218964589575349144e+00 1.729611306794716086e-01
1.433618583811014036e+00 4.695745006932415144e+00 -2.255628818999877161e-01 2.007536173765321341e-01
1.338437646585056262e+00 6.254540314181276983e+00 -1.680970218440252406e+00 3.409129608236562831e-02
1.363393123123672002e+00 2.715382126130282181e+00 3.300498315809776706e+00 1.986633973400976916e-01
1.852040004456272815e+00 2.521278804447684152e+00 -2.408200154740960386e-01 1.809267020826289263e-01
1.057516019874481961e+00 4.722143837211416617e+00 3.197168977132799128e+00 6.238445284345495168e-02
8.422264367076224278e-01 5.875298057543489882e+00 -5.818114415491835167e-01 2.562234625180069558e-02
6.373516881437304438e-01 9.112545468628148626e+00 -1.263849188256055411e+00 2.419674205723610361e-01
2.259430695016347634e+00 7.210661890426784737e+00 1.544984411232273924e+00 1.365481405923832103e-01
1.855629847309349767e+00 3.828299406276507444e+00 2.519028332629776656e+00 9.140929192792907054e-02
8.810547736243645733e-01 5.649920651760228729e+00 -7.237621628280903607e-01 1.182732727989381505e-01
2.603874676678285649e+00 5.589078361237585391e+00 5.580993149974217360e+00 2.343021429236226971e-01
1.267049171330219881e+00 2.623059702692453143e+00 1.110328845382635876e+00 2.981297654940878727e-01
1.267495427681269993e+00 4.389180676103619838e+00 2.279416405198223750e+00 2.264851245718743078e-01
1.789313400212766192e+00 7.512448967076890582e+00 -5.069488253102982789e-01 1.063136751404879787e-01
2.650870455323291797e+00 4.969296140764091874e+00 -1.366053759379531662e+00 1.404008741599241383e-01
2.407855824374914633e+00 4.031827232490551971e+00 1.269973161739561984e+00 2.514206820153292443e-01
1.873966162460990237e+00 9.572218330645831941e+00 2.538551272041306817e+00 3.520182081783959083e-01
1.647090244918689272e+00 4.849031217158688456e+00 4.912798990993417547e+00 7.996527396852599889e-02
2.566269126931758571e+00 9.038834615228063640e+00 3.319710513020178055e+00 1.450889807836334700e-01
7.124850866225771462e-01 3.632962659582635201e+00 4.523123191321483105e+00 2.044362629993285441e-01
2.215094489609021444e+00 7.793152188538009284e+00 2.269045692700489170e+00 1.814034342810332545e-01
1.976515873135664236e+00 4.520507599604870919e+00 -1.104639728834340973e-01 1.029254906846835543e-01
1.771460021285044650e+00 3.963084741861083948e+00 -3.476648585854898998e-01 5.194886671162673997e-01
1.737140936375328737e+00 3.522187367994198404e+00 8.354712893829359110e-01 2.174084353621225096e-01
1.615351709921885259e+00 4.926912219431470064e+00 5.387288666490954725e+00 1.347450706117184205e-01
3.193206946142762792e+00 8.273897286647809324e+00 4.597584315366412544e-01 3.749967766606632780e-01
1.873706651727577110e+00 9.291246745277124575e+00 -1.602969408099944371e+00 1.117050533673723256e-01
8.515888382676257695e-01 6.320983028019778516e+00 1.043522581922561310e+00 1.132025952652126605e-01
1.377699145294681848e+00 6.865893724941814824e+00 1.380900855964170448e+00 1.020093671666900403e-01
2.660523081827643299e+00 6.264934493138797578e+00 5.306080502272590982e-01 1.381976178276782818e-01
1.685882975451526544e+00 3.615005988365698641e+00 4.744428920593533050e+00 3.664593326384877336e-01
1.730119821414437986e+00 3.194375541614406178e+00 7.193409547450232422e-01 1.846533485359912463e-01
8.677369829185995753e-01 4.169133953212031507e+00 1.475104340756853594e+00 5.345558018315647864e-02
1.956109694245100394e+00 4.656264568313144281e+00 3.483103005234418958e+00 1.977065889984864488e-01
1.790047336243675513e+00 7.090194124027096478e+00 1.835610452478646515e+00 2.446127842957212528e-01
1.031391759903110827e+00 2.527908231730925603e+00 -6.139086594303861943e-01 2.146854949599527329e-01
2.287931004615128661e+00 1.053129887949155830e+01 3.386802842788275925e+00 2.897801603172651674e-01
1.752674184408580027e+00 3.904236054387187238e+00 5.789955333736994447e+00 4.923882557085383915e-01
7.937556994915363484e-01 4.421628302966320589e+00 -8.401335407422050316e-01 3.571533294798498459e-01
1.435348978882539539e+00 5.337547896067878384e+00 9.808832534375147016e-01 8.289468875946678916e-02
2.238470252936368698e+00 3.943349755746401453e+00 5.917067402771412965e+00 1.172769655391059235e-01
1.721190804084611559e+00 4.595979673183432368e+00 3.408859216833430850e-01 1.584139660110775449e-01
1.866932328669419050e+00 3.819064019728098280e+00 3.318218425476306521e+00 9.131361284479397322e-02
1.096836986196262576e+00 6.034531538142027252e+00 1.435988565961137553e+00 1.473754678190923872e-01
1.132919284444315444e+00 3.578690410606515826e+00 -1.609800571297718808e+00 2.255902022159538833e-01
2.272081449530674924e+00 3.899212349835054603e+00 1.378124596355807530e-01 1.918250532044979140e-01
2.304040943557473575e+00 6.543458288166626780e+00 4.870958405920774226e+00 1.307406484813597169e-01
2.078560496374057376e+00 3.853477988685630518e+00 5.685083440480296346e+00 1.006992156728132859e-01
2.316161060056336041e+00 7.138289211320948624e+00 2.386254035778956784e+00 3.539603924304735028e-02
2.447602293991694378e+00 2.631052067309032516e+00 3.763141905475075877e+00 3.241387923057343357e-01
1.086259220160493699e+00 7.357365860911967204e+00 -7.246822392445372296e-01 1.650613988738857396e-01
1.958972921545387713e+00 4.888638848545170390e+00 -1.447968300217157278e+00 9.634697086334252647e-02
1.024119320483205753e+00 3.738704295487353058e+00 -3.896936872745123126e-01 1.036103810229655475e-01
1.804343393095480863e+00 5.091582718518231410e+00 3.560400723501984110e+00 2.035162425197194758e-01
2.273217287760471272e+00 2.860517874007812988e+00 -1.112607021980536182e-01 4.427592000074792034e-01
8.376737228570430016e-01 5.396098822769217485e+00 4.740636659802914821e+00 1.643214449720503956e-01
1.875628529423206015e+00 7.988732657302838547e+00 -3.009715274145018382e-01 4.405931037923613292e-01
1.291408173293633777e+00 6.533592585779189221e+00 2.338296405035331649e-01 1.368307132058514675e-01
1.097174906114585902e+00 4.926114460529107397e+00 1.873667291887951558e-01 1.943088992321643782e-01
3.375862302095221423e+00 4.970340884871405684e+00 2.450909226133011209e+00 1.558823705131920367e-01
1.584825429088374538e+00 4.304626108105280125e+00 5.767891774958511242e+00 7.566360470295821483e-02
2.143325732293860142e+00 5.284064870231054201e+00 -1.803673703230188163e+00 8.033052753833977433e-02
1.954324675913804654e+00 3.821130751115882074e+00 -9.500349044192923920e-01 2.537436864237724299e-02
5.029753606841087521e-01 5.713063368540677089e+00 -8.732898007655414130e-01 1.272690460956386049e-01
2.110765606481726842e+00 4.954043256726214040e+00 2.514952750023199624e+00 1.930753336228988870e-01
2.244531901768088922e+00 4.323697001408105756e+00 2.495114063342791511e-01 6.922393264454526629e-02
1.984254382768739333e+00 3.732968255185005635e+00 8.750042391854825352e-01 1.813654587073761648e-01
1.309876800349659032e+00 4.258967538362233185e+00 5.045290296135479302e+00 3.337910796912225142e-01
2.185602137130351341e+00 4.171802089367279365e+00 -2.081244850595068696e-01 1.517331681966655466e-01
1.010411649471755879e+00 5.224912059193309588e+00 2.148814870645534558e+00 2.530073525800369816e-01
2.476847313858683286e+00 3.978518781038460794e+00 -2.747842650337859460e-01 2.741425074951447938e-01
2.775179848395570747e+00 3.635260920081291758e+00 6.203641336693761943e+00 2.107898278224106248e-01
1.501396295419099580e+00 2.544838575582592188e+00 4.481264489393294248e+00 1.816273080375166993e-01
