# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.101250215744052463e+00 7.442489889267703163e+00 8.059690031746747252e+00 7.312374303435223433e-02
7.663909986726140655e-01 6.409082598585705171e+00 7.844721300414267517e+00 8.786940772126372590e-02
6.103917355542686218e-01 4.172301828379689326e+00 7.949378571636060542e+00 1.492504021627839295e-01
8.360571022518048512e-01 8.949927813663803633e+00 7.878851136398386856e+00 8.361555411767512824e-02
8.632411557774413158e-01 7.397165346955986820e+00 8.152788270715191743e+00 1.584173577203243921e-01
6.283751205353693692e-01 9.124940553100103102e+00 7.964964771169189994e+00 9.645461944481084626e-02
9.662961046996956238e-01 4.882553960484723454e+00 7.893365754172511295e+00 1.114587349009960593e-01
1.145133343827656303e+00 6.820178876052714223e+00 7.949560752346813253e+00 1.829219786514306445e-01
8.300303614025543730e-01 1.131734854212030150e+01 8.196278175587044856e+00 1.502916027707796587e-01
8.539848402888864376e-01 7.006864125903978113e+00 8.033591565022128123e+00 1.595385095916599383e-01
9.466883017311614745e-01 4.019287092600251299e+00 7.811741052218494019e+00 1.357733397739776526e-01
1.084930938092161901e+00 3.327864048921493456e+00 7.997920631047708007e+00 1.290832530856521609e-01
1.117585920064611660e+00 4.912309739074344428e+00 7.912401836773146790e+00 9.226928832849529138e-02
1.175049087050267671e+00 3.538736775948361668e+00 8.007284871930110626e+00 1.191153051283294073e-01
7.001218177369272766e-01 3.580423838549688487e+00 7.814025781393093339e+00 6.586629437999899639e-02
6.721826591422188635e-01 5.410267916170537816e+00 7.881811901621594174e+00 1.063965946936753920e-01
6.400055073213153367e-01 4.013422157193377693e+00 7.829603329975007853e+00 1.510352919975989361e-01
7.698603171147860857e-01 5.861335213485445728e+00 7.725848747755192036e+00 1.270060455903490315e-01
6.277063675974162704e-01 7.590524998254164046e+00 8.218804981356750972e+00 2.654980699955144519e-01
1.010185770989822762e+00 3.059072173660117855e+00 7.850774435954285480e+00 1.108258617008920505e-01
8.657885827353892783e-01 7.367732778668993454e+00 8.079688835328475705e+00 1.103929908435424545e-01
8.048657374095461448e-01 1.211515124201439519e+01 7.913110881281479436e+00 8.974465686793815788e-02
8.643019816727718352e-01 1.035045919829454064e+01 8.383154242402632406e+00 2.017506909868718445e-01
8.862938027605500313e-01 5.979283959679590588e+00 7.939439514635954431e+00 6.948789285743348088e-02
8.255364180733909540e-01 1.086308084913464711e+01 8.209844722822705165e+00 8.467471488136638080e-02
9.109964622653524691e-01 9.294485133993708459e+00 8.073269007056266489e+00 1.323957461654339252e-01
9.893575164211139139e-01 9.034452916655311583e+00 8.163299791751843060e+00 1.277211247016215023e-01
9.451451285601543129e-01 5.571491822032752061e+00 8.068565981206923254e+00 1.396537212559948726e-01
7.208146434877334974e-01 8.436997632901093169e+00 7.603473841981860382e+00 3.217178847423839416e-01
7.332569219091050750e-01 4.441656572873472264e+00 8.034462061328035531e+00 2.503264330779412794e-01
7.656496503579438562e-01 3.815057114132761384e+00 7.822939237168410109e+00 1.804808085639577897e-01
7.337554510671766561e-01 4.141081985258161069e+00 7.760543989534754772e+00 9.963467124830509281e-02
9.135207268265741476e-01 1.017411312535901757e+01 7.839366283480745601e+00 1.562386358840851530e-01
8.817649308900930016e-01 1.459213909122546937e+01 8.188645324669987957e+00 2.463273867963453045e-01
7.280889042327604033e-01 5.347612663261010368e+00 7.988214004778440902e+00 1.079916547124285531e-01
8.234160332946858230e-01 4.707632806961339789e+00 8.096942285784374249e+00 2.376209723220712167e-01
8.525798469233417665e-01 1.203518895951555123e+01 7.904885610590773659e+00 1.287708927156978045e-01
9.541548927539804659e-01 9.381006131133704073e+00 7.898208107902104480e+00 1.291304626000014388e-01
1.202665443271462298e+00 3.010759128074576907e+00 7.898713178000791757e+00 1.601169481170784670e-01
7.642607638265769276e-01 8.657669544120913940e+00 8.108839416609512796e+00 2.723171532443785514e-01
7.739769367268100053e-01 4.042427175365313374e+00 8.381231052704492868e+00 3.084600284289196748e-01
8.603149599430893746e-01 8.637210714058831229e+00 8.097419466460664239e+00 7.062784031965395337e-02
9.186283098107010936e-01 8.059119538838217522e+00 7.894326739819284455e+00 2.202340437267608364e-01
7.972770527775354665e-01 4.011874504798844221e+00 7.971017155056907555e+00 9.649687654927241454e-02
7.333614452576532328e-01 4.044558761480159248e+00 8.084107335695343011e+00 2.809705770955865933e-01
7.966217358834799533e-01 4.477534477534942603e+00 7.939672233118555411e+00 7.871601968998329091e-02
1.166896486073838224e+00 5.711143763644010107e+00 8.283684108283647873e+00 2.355891099370236996e-01
8.489376105564407915e-01 6.479415221011631587e+00 7.693622832153221403e+00 1.898262947181771909e-01
8.514223047029039204e-01 9.535275866291257785e+00 7.763406932307330699e+00 2.106009179768503492e-01
7.235607448877280357e-01 8.293535327266660317e+00 7.874662201659062610e+00 1.121516465170860483e-01
7.129934868610505738e-01 6.497322270025419400e+00 7.864692382593842623e+00 1.506212883177058537e-01
9.000545148192952150e-01 1.068669036071500145e+01 7.912652822308698930e+00 1.674012259564661154e-01
8.796063530517552742e-01 9.797300598974329588e+00 7.931318404747321971e+00 2.233793741305472036e-01
1.043769502485349721e+00 5.719505158772433262e+00 8.017996033595483851e+00 1.465242841533496432e-01
8.991501945881688052e-01 5.162363913369388158e+00 7.961233991181457803e+00 6.067626730216885839e-02
8.617150485966980078e-01 6.958976753753228550e+00 8.034866898372371224e+00 1.606175367274425558e-01
9.738138470260925272e-01 6.637018783917225662e+00 7.829475799936075120e+00 1.988854691763956017e-01
7.689704957416326758e-01 9.665019623735348731e+00 8.060951354882249120e+00 1.953053987877511610e-01
7.869346078960656188e-01 1.094255893824134063e+01 8.068948215723382944e+00 1.565098005644130486e-01
6.923771375057496957e-01 7.684340129256383101e+00 7.821225345599365220e+00 2.141455321863738881e-01
6.434982817328402938e-01 5.170163725503153174e+00 7.966094535432274526e+00 2.159879580004340216e-01
6.096291615246255402e-01 3.810797667250082732e+00 7.948156210920738651e+00 9.363775481868261141e-02
6.735184328988201852e-01 5.077795380695854455e+00 7.940665851593196933e+00 3.015739474373380080e-01
9.488941597879761991e-01 5.893759484710137997e+00 7.827626100557592004e+00 1.661166671119428950e-01
8.751652071055177062e-01 8.050543399530280197e+00 7.609730616122456048e+00 1.553030274088333940e-01
8.485805646751967135e-01 5.593205633381169051e+00 7.765536871253634565e+00 1.618762945220663385e-01
7.190528438297018043e-01 5.028913899277684507e+00 8.069964069994354006e+00 3.034777023170336929e-01
9.823525951004361545e-01 5.140904847460713967e+00 7.788098661378879406e+00 4.381728040280745418e-02
9.175891766404827843e-01 5.320040409619704036e+00 8.035930171725230053e+00 1.106292398491073997e-01
8.184774468322608687e-01 4.650838874082966257e+00 8.138786515967277424e+00 2.549344956580458788e-01
7.566040361235182310e-01 5.946882537873912966e+00 7.974023213450948333e+00 8.934705678707119403e-02
8.857775643659998588e-01 3.974957941610735901e+00 8.080227435000614022e+00 1.431780520967604886e-01
8.067300131247734374e-01 4.199301998256581570e+00 7.751661725464704666e+00 2.380140887666679916e-01
8.623791449094069250e-01 6.414360484314627797e+00 8.096836520548039928e+00 1.878858306217808249e-01
7.996572343469898758e-01 5.975784994806276451e+00 8.222959021924598488e+00 3.356932095465350874e-01
7.264597422698638729e-01 8.617885633102799758e+00 7.683353978262018380e+00 1.587725648010352708e-01
8.141700858871041557e-01 8.596162360883134568e+00 8.060187060138654047e+00 9.960050854714458390e-02
1.170200892595148146e+00 8.405250653362386970e+00 7.750497981774701728e+00 1.615134665416846360e-01
8.658336809124423938e-01 6.903944515709611096e+00 7.880962549998341338e+00 3.984042076436024593e-01
6.715435427254926593e-01 8.081667783722132015e+00 7.238423421090850240e+00 3.729657139108423780e-01
7.721849177066621994e-01 9.512834075426225056e+00 7.963391734050752291e+00 3.309572175084646295e-01
8.279864032829619136e-01 3.304069198508099436e+00 8.181551830375122236e+00 2.351875748068726346e-01
8.568921106771433260e-01 6.419846604271012502e+00 7.972584392455456026e+00 4.843107787739714398e-02
8.020800135722699897e-01 5.617274050379817751e+00 7.804755003635320598e+00 2.073489612331014253e-01
1.177470127150486157e+00 2.558855866965246140e+00 8.029421055403469509e+00 1.199198457922265870e-01
7.708027998879186660e-01 9.750573034725322330e+00 7.539156241930767166e+00 2.473659635087740449e-01
6.964384685997909719e-01 6.121194608855209829e+00 7.768291055643034682e+00 1.284390770444165941e-01
6.711624447271711258e-01 5.329379102434512738e+00 7.720667381776314286e+00 2.104103685262221080e-01
1.020832122676634812e+00 7.878172228186468118e+00 8.328599675143284031e+00 4.212382918452048375e-01
9.554491987784308193e-01 9.524948976965333713e+00 7.983036919613232918e+00 1.141150968679072453e-01
9.146874197758039227e-01 5.908070546276865009e+00 8.275264263974063894e+00 2.135003370988630411e-01
8.565868844810405891e-01 4.769771261386913430e+00 8.166357384780539519e+00 1.944640772624482428e-01
6.273988145566863350e-01 6.101856321352566503e+00 8.077588911253766213e+00 2.054892878974099446e-01
1.122538869006070694e+00 3.344471940088764139e+00 7.866201814421976302e+00 1.792405688816156584e-01
9.679574838221568500e-01 5.169457875633636235e+00 8.039051888710218918e+00 1.013402521867111106e-01
8.570185984668629020e-01 5.012948776061273648e+00 8.105177812165035078e+00 1.159463291679024982e-01
6.687732399945267581e-01 5.093934557522930007e+00 7.993151261621087578e+00 1.433572509076836698e-01
7.884795087596403462e-01 8.607232169213913764e+00 7.966342092451408341e+00 1.893773773542307692e-01
1.090526117748998658e+00 1.152649537215361164e+01 7.731623769979591998e+00 1.339900903836991619e-01
1.111503020144097853e+00 3.114979556853731957e+00 7.860799537755783106e+00 4.839824130951768388e-02
1.025159047794312217e+00 7.209360029990705243e+00 8.021384818831766239e+00 9.358110647649769964e-02
9.379538742168799237e-01 1.111722744631821413e+01 7.935792837023526225e+00 1.269619856713486983e-01
6.952221168557775055e-01 6.879221147506291878e+00 8.004677620454771159e+00 8.186808137694172316e-02
8.087305100775097344e-01 6.408003017213806274e+00 7.767980810854817619e+00 2.109906163044348304e-01
