# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.284342692847562528e-01 7.925146023109696181e+00 2.682250620736510438e+00 2.069502733979703968e-01
1.134551054828894179e+00 7.137346069695099438e+00 2.203884830310880893e+00 7.341980575732283409e-02
1.073283009643223318e+00 5.826039429990800933e+00 2.230092143145641526e+00 1.082973884076189608e-01
1.062627284001404160e+00 7.670610346184040473e+00 2.256681182778922601e+00 6.133593323063352143e-02
1.267187813458000134e+00 5.991678880218960224e+00 2.366869832763206283e+00 2.266489595261478307e-01
1.095720891437142352e+00 5.040641185865045948e+00 2.268333204633050659e+00 1.032074583121942168e-01
1.017319710904605268e+00 6.120225341645179284e+00 2.257573085929196033e+00 8.258360412035734011e-02
1.295134888721452660e+00 3.959538854005463016e+00 2.328915626436300901e+00 4.073982137978211515e-01
8.604056477156549754e-01 8.598960586346489521e+00 2.066347991732149225e+00 1.299663191547129337e-01
8.571486560525783949e-01 5.084730209705782933e+00 2.283697625712165280e+00 1.547105073567292544e-01
1.077831132452137464e+00 6.130650064540930089e+00 2.056045577800587942e+00 1.995595441390073943e-01
7.910949718717353862e-01 5.200015235795087065e+00 2.299632828865143086e+00 1.349675485201010661e-01
1.253692775632777145e+00 6.443001384189817493e+00 2.319919159196833558e+00 1.051444290504441881e-01
8.680504504914763331e-01 4.618512904867102087e+00 2.308934065467756369e+00 2.029001280741333790e-01
1.382714183861843527e+00 7.127947603529547038e+00 2.090809451322663826e+00 1.311802252897238397e-01
8.864976338599015460e-01 6.598643591544137266e+00 2.016540187877546852e+00 1.669437997606686708e-01
1.097694708103384098e+00 5.575051510536334298e+00 2.469107851353030458e+00 1.288073421816338382e-01
1.041319705033443510e+00 6.948813615108672792e+00 2.171633374160591767e+00 2.131027597047200073e-01
1.018709910690510201e+00 5.172090391484267080e+00 2.370118621985795482e+00 1.698438165782235887e-01
1.135255027658116145e+00 6.477944734161764195e+00 2.494395365585202917e+00 2.592494042151347045e-01
1.089942473311559912e+00 5.510996086756756895e+00 2.227411018468738124e+00 3.735843318827125614e-02
1.184836327295102798e+00 4.621957875578875274e+00 2.414627876397640538e+00 1.782504012993274267e-01
1.164780876884482952e+00 3.392977266962816429e+00 1.799899352412157150e+00 3.146662289854697536e-01
1.400615673520357207e+00 1.053112879358775267e+01 2.538824018348256217e+00 3.625002332140285777e-01
1.255874742943762890e+00 4.216391096614594325e+00 2.448556837322027668e+00 1.307192623834881884e-01
1.090786640762053006e+00 3.389052364864324485e+00 2.209837113661559105e+00 1.064781193248283825e-01
9.872348517580402660e-01 6.220191260807538924e+00 2.295183150274084483e+00 1.877502905176465231e-01
8.137840388527027846e-01 1.094952478039096455e+01 1.837950249818242288e+00 2.448758531136224215e-01
9.275548742521998458e-01 7.055490288719653336e+00 2.056424744872090482e+00 7.243133213444731544e-02
1.017894273260154581e+00 9.987414604472393265e+00 2.110137781957566627e+00 1.186924575728375841e-01
9.259346072420270302e-01 9.306896637419699303e+00 2.061804572610573150e+00 2.052017313894778650e-01
1.386929476057794153e+00 9.220872073643267441e+00 2.379563345453568957e+00 4.930142707040795214e-02
1.297021121289485102e+00 5.184262643071396504e+00 2.451759610271263323e+00 1.233957959433197582e-01
1.107078066969969798e+00 7.159539353352920799e+00 2.112378790881938251e+00 1.453648081923078483e-01
9.058940344250783205e-01 1.241674766681384767e+01 1.873940617381377738e+00 3.464083932923148201e-01
8.868042222056189416e-01 7.191929698673082072e+00 1.853813023283243266e+00 1.800784879656497639e-01
9.616142355746926107e-01 7.265694425921321198e+00 2.252308369050330050e+00 3.004671239499315250e-02
8.392865675289635785e-01 5.501647856734973807e+00 2.065348558859866568e+00 1.050298708240545165e-01
9.169684355557720101e-01 6.125532621510057396e+00 2.448128391056499709e+00 1.389325751000238807e-01
9.799967154295490257e-01 4.517104281770056851e+00 2.304323498603170872e+00 3.310000795788887729e-01
