# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.313398225703487743e+00 5.952157645008795406e+00 2.401096830904182244e+00 1.136997233694902326e-01
1.704006364288004560e+00 5.199827252588876902e+00 2.562214817486547336e+00 1.369791032399955144e-01
1.401367395900999124e+00 3.262077300750615194e+00 2.493636732774502374e+00 3.124214004207681583e-01
1.395508571008077459e+00 3.873250934304167004e+00 2.574050975059273050e+00 1.728608085904825842e-01
1.311710963178613465e+00 5.449171858437892091e+00 2.482486135779013559e+00 1.298527103211391809e-01
1.438859066725592939e+00 4.605579531037201413e+00 2.528021428108793156e+00 1.838365668071367809e-01
1.386302208439222694e+00 6.611483937807576261e+00 2.421648935392266555e+00 9.019145538852890720e-02
1.346389720159639536e+00 7.884203561858930343e+00 2.530081369986491691e+00 1.469956370864962114e-01
1.286428425429291256e+00 9.712268393514872145e+00 2.475915784189834934e+00 4.781360236131856900e-02
1.000538325689621200e+00 6.122093225890752777e+00 2.536109489227104774e+00 8.445206947415477561e-02
1.052034832900985650e+00 7.522723421071564331e+00 2.395637510249240432e+00 1.441826762700980646e-01
2.281071763955166976e+00 4.834959887993180772e+00 2.594553065786469936e+00 6.778849953694637831e-02
1.322113583211532717e+00 7.798329724579931010e+00 2.550073724589767554e+00 8.296892786189047353e-02
1.429145495829596380e+00 7.623618995740098825e+00 2.314147523224423075e+00 1.414435900166621241e-01
7.921233434091025094e-01 4.903293792593567346e+00 2.592413089737245269e+00 8.150737656207505955e-02
1.160282052655238871e+00 6.471232550449056653e+00 2.568898161672676483e+00 4.783413885947762623e-02
1.234550653895325034e+00 6.026169598648164261e+00 2.472432570515319394e+00 1.171655240627235417e-01
1.581760477225025774e+00 4.614351454923371065e+00 2.704962158088264346e+00 1.241146305746109180e-01
1.176986728912703617e+00 5.440134039485909234e+00 2.499665319293092658e+00 9.754934454105239350e-02
1.113501756911761120e+00 8.823957391205246026e+00 2.260241809649590206e+00 1.006476765920923111e-01
1.115513290098731902e+00 1.166627702644421838e+01 2.589345613441247806e+00 1.410135126212058165e-01
1.136383972323234737e+00 5.328776842931049806e+00 2.448661626094742250e+00 1.087604455301530854e-01
1.287333540006303068e+00 5.689273810657897279e+00 2.528514483903492316e+00 3.800841264586583140e-02
1.267200198506401421e+00 4.391902586035284273e+00 2.492120095270107250e+00 1.536376565374327763e-01
1.016874792264917948e+00 7.714682638171985296e+00 2.329818162533272563e+00 1.145153342710716060e-01
1.492149533167621334e+00 2.285722769229293849e+00 2.671269483817971135e+00 7.419189829027865446e-02
1.653960986452831072e+00 8.516102964984252566e+00 2.496462082175512354e+00 1.268354866529032010e-01
7.742254398767814960e-01 5.838431066682809423e+00 2.376613551993983720e+00 1.267991246935120941e-01
1.256677240687811503e+00 5.800150666254840104e+00 2.404761361547112841e+00 8.536398727303168288e-02
1.101773173563918906e+00 9.413465425149302845e+00 2.578908668568942186e+00 3.287704247148449943e-02
1.892040271058884393e+00 5.567199661687659784e+00 2.453884742561157850e+00 7.952662902613517881e-02
1.415750189511033375e+00 7.204467926593029148e+00 2.670856014728036687e+00 6.655514172865129030e-02
1.190056037820935941e+00 8.292815075502506517e+00 2.469301664553621212e+00 5.795624594106443817e-02
