# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.115395822309082741e+00 5.351732377769228499e+00 1.788706619919282259e+00 4.339192448988597045e-02
1.403003803334155641e+00 3.943177178673884065e+00 1.947571775867317667e+00 1.767036247444298686e-02
1.303083723709065556e+00 5.306260738537083022e+00 1.849331506817298854e+00 1.358906928934469627e-01
1.104216382960416798e+00 5.651867796002792765e+00 1.399371902551873159e+00 5.253537710677529809e-02
7.732654267289391647e-01 7.341133326191193298e+00 1.344509905459475574e+00 1.364914235635577566e-01
8.415087469366245854e-01 8.142015108887250108e+00 1.537038305751824208e+00 1.293847858979207399e-01
8.237698436814193670e-01 8.217017010950865341e+00 1.164310980313773447e+00 2.204433886891911110e-01
8.174606215730854109e-01 5.018647993608967184e+00 1.598965217602370315e+00 8.719428763150843809e-02
9.740045138490459609e-01 3.239995283345240562e+00 1.626071546761448161e+00 3.329500587765590325e-01
1.111593744922194871e+00 1.000193929515309854e+01 1.417524506056862865e+00 1.505088411033531637e-01
1.017358609161114869e+00 9.129957855848626735e+00 1.809170426891460570e+00 1.470600772150321423e-01
5.076356937018502435e-01 2.462829989852449053e+00 9.084373639435798786e-01 1.418566548240683400e-01
1.491206411012520272e+00 5.001464245303203882e+00 1.916514638538315385e+00 6.113438054031490598e-02
1.815270629276297676e+00 6.251950980444050288e+00 2.152020254117001041e+00 1.605647183489767038e-01
1.106644123623947262e+00 6.087946716092889510e+00 1.826407484940209214e+00 1.418528037359070015e-01
1.351884502104029107e+00 6.319263338450124223e+00 1.461113547212968822e+00 1.977056401269310648e-01
1.170222801996829043e+00 6.667832484908036150e+00 2.021004932540184207e+00 2.824712594995278381e-01
1.445788520567878654e+00 7.282826798938715207e+00 2.108725497567868867e+00 5.951491410146440147e-02
8.010803765354050920e-01 8.009302781494874068e+00 1.510930998440616957e+00 6.901258465771761830e-02
9.172149213050690975e-01 4.423295435836817724e+00 1.517887935802237021e+00 7.665249970253670830e-02
8.406018486876072338e-01 6.210799884799334869e+00 1.272948792999109235e+00 1.717760222000855874e-01
1.607823784535720835e+00 8.033661651258249492e+00 2.010389464259577430e+00 4.070969292049626126e-02
1.088743401571371949e+00 6.477146141515111921e+00 1.728798918345394453e+00 8.927163187678671674e-02
8.368440882448496820e-01 8.858021217226342614e+00 1.708819402334096571e+00 1.276494613459528971e-01
6.896698101498897060e-01 7.048476889054581029e+00 1.247184500337009228e+00 1.476430648059315065e-01
8.235151806885002701e-01 4.013444143974049361e+00 8.130408078304423025e-01 1.428019410448069515e-01
