# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.805785035930543847e+00 4.764023993836815407e+00 2.451755606601196735e+00 5.900674934451702325e-02
9.068189028469819668e-01 1.192856697803113875e+01 2.434220690596849312e+00 3.005504078011229097e-01
1.302340216832953423e+00 6.264146994147570702e+00 2.312104521838134641e+00 1.696206274264740188e-01
9.672708776453032842e-01 7.966397269568356698e+00 2.347028614113581213e+00 1.381661808985172879e-01
1.047642474351737851e+00 5.580889555933385537e+00 2.245982709440359937e+00 1.435887425476116142e-01
1.216133692351067719e+00 8.405488448347286479e+00 2.458845026229561359e+00 5.623295552005033726e-02
1.316693330747386925e+00 1.206679536210407910e+01 2.254505192052849605e+00 1.542098718371021637e-01
1.522207506116271203e+00 5.770410789002943908e+00 2.373625868627858626e+00 4.201632432930615946e-02
1.175316174059821028e+00 7.106969391830802785e+00 2.080960855202957926e+00 1.196377155587706465e-01
1.132616984694463813e+00 7.251377391415074314e+00 2.386019118953137674e+00 5.609468323774296356e-02
9.475929298829995906e-01 5.428294328018060888e+00 2.273830261694287813e+00 6.261730874850519879e-02
1.240901522424514125e+00 8.069079301764112699e+00 2.367553983614692825e+00 2.136744193051413193e-02
1.078262036090321452e+00 9.836544717674104987e+00 2.619676958063730243e+00 1.996258991792615178e-01
1.035543871065306876e+00 4.709308882223362858e+00 2.416427637385210492e+00 1.163335006822988765e-01
1.139053076957915689e+00 4.728135213414335070e+00 2.580039667046339691e+00 2.650420801700607010e-01
1.122093510641875458e+00 6.748560585120706889e+00 2.402334248822465490e+00 6.582985271312777331e-02
1.336846491326994624e+00 3.398477992754263877e+00 2.392883342229301658e+00 5.341264036416696476e-02
2.050432838657373136e+00 5.955095649036628913e+00 2.215379582824855476e+00 6.574682801840417423e-02
1.119300916915174193e+00 1.122063842535441758e+01 2.323842150674698459e+00 1.472078934861665023e-01
1.016118707829988699e+00 6.858496343348125635e+00 2.477462867392574708e+00 1.561103544327338277e-01
9.935574597082469372e-01 6.170422802832741915e+00 2.177441190448147434e+00 1.441838202567742033e-01
1.452235142366631537e+00 1.010384621907058644e+01 2.418499064220260841e+00 1.606018464330679074e-01
8.202506976538728178e-01 1.327165832946107571e+01 1.858895592216804005e+00 2.409510306809461433e-01
1.024270577891178924e+00 1.204440093412135937e+01 2.122238302918332042e+00 2.175951266207369339e-01
1.371232024714813758e+00 3.965696318711261714e+00 2.204530189539569029e+00 2.807350165874421544e-01
1.129030856042000375e+00 9.588187107422497135e+00 2.313131591878648141e+00 2.085719217574206197e-01
1.119590193522588706e+00 8.336135529407284750e+00 2.253040895137087496e+00 1.184895085301781725e-01
1.440799397621963962e+00 1.202145613972837346e+01 2.417435036794207903e+00 1.105049881118880528e-01
1.446543886996434658e+00 9.436994373139874881e+00 2.492363399003066693e+00 1.526461079547707378e-01
1.203170994591916676e+00 4.613717230570396843e+00 2.317553122702404877e+00 1.337347598074187793e-01
6.844711764498982998e-01 2.907513088192921202e+00 2.121567143186428694e+00 1.593997240682788752e-01
1.095009843243806458e+00 6.564635916757267431e+00 2.335632161861169287e+00 1.239312988994004106e-01
1.418280009565062949e+00 6.972463219548477475e+00 2.306471329011705595e+00 7.114389092077254284e-02
1.071633860136830707e+00 7.151882816188788183e+00 2.308606516634228445e+00 1.782355431118806954e-01
1.534105716375129713e+00 7.199033403524769170e+00 2.526907416122058159e+00 6.018996703483422972e-02
1.202304473259538042e+00 1.493667190422852187e+01 2.335394731531723167e+00 9.794938729210170281e-02
1.456714279556527769e+00 8.942324379253490108e+00 2.407642877987480556e+00 8.205978475169037334e-02
1.035565171283107100e+00 1.135837007605280213e+01 2.216941662898181065e+00 1.897154859608855548e-01
1.186536063745765590e+00 6.248507679071687804e+00 2.130767563172541124e+00 9.902981542833194650e-02
1.783080301068706408e+00 4.936784979866063239e+00 2.439351039023537560e+00 6.308650292767403744e-02
1.111745700761497924e+00 1.031891887228521831e+01 2.419302311144678086e+00 2.326272042210954794e-01
1.314313923099849069e+00 7.495472535509131617e+00 2.301224713423148049e+00 1.704974106239582898e-01
1.022779019049410598e+00 1.087519507075821146e+01 2.442472043081276745e+00 1.947427174680638473e-01
1.499162941687921968e+00 7.489943451964727217e+00 2.442246772886710549e+00 8.093462600132175777e-02
1.249305526917828590e+00 3.945372610160795546e+00 2.255947369845635819e+00 1.071475983924504577e-01
1.108274062822343309e+00 9.338167520722402415e+00 2.604294212970001077e+00 1.704655058206557272e-01
1.199873398335332020e+00 8.737241783232565950e+00 2.399814605283724589e+00 1.046921046296800800e-01
9.661082569741828996e-01 5.073082710522940353e+00 2.310817289295918897e+00 2.902608855470600185e-02
1.401134460845386842e+00 4.915503530842422641e+00 2.354636060949726328e+00 9.763150063139817980e-02
1.388370503881269036e+00 4.246897533972441963e+00 2.260143778668180836e+00 1.238955640673900238e-01
9.733522270822347888e-01 7.634204642423232379e+00 2.209452845531309162e+00 1.091631535738392111e-01
1.205367753498816530e+00 9.738694782296780872e+00 2.316295479021150960e+00 1.355683142235488137e-01
9.553032118991860999e-01 1.263831643737212573e+01 2.202088376944937309e+00 2.258742409615221436e-01
1.182855748587824829e+00 6.886026271250159425e+00 2.474097180608826108e+00 7.875775456355993409e-02
6.873917290388611434e-01 6.084296943457160545e+00 2.168083858259029828e+00 2.386579200444298166e-01
1.459888027182185466e+00 8.115891930287988387e+00 2.576761000904376875e+00 1.336881823985046347e-01
1.137631547897313578e+00 1.025038079847168859e+01 2.128524697808663380e+00 7.347541777127124252e-02
1.460424216805020547e+00 5.341154040926980429e+00 2.539853771201911137e+00 8.864634287520041511e-02
1.022877544409746431e+00 6.768838024807784848e+00 2.237186833718871171e+00 1.547001845573765799e-01
1.459754032081286956e+00 1.028327127010314257e+01 2.354389873045376724e+00 6.119856435270976114e-02
1.273458819873749981e+00 7.624824597870190956e+00 2.300482999674525075e+00 1.077394051986931417e-01
1.137856033583963589e+00 9.099234406221341942e+00 2.316953647453015019e+00 1.164641525396098165e-01
1.381925806184535865e+00 5.448601148642914005e+00 2.212241163062346416e+00 1.178096868079389764e-01
1.440869052062694555e+00 8.256506926708015115e+00 2.309257530921314139e+00 9.491820082811538994e-02
1.010343777508919461e+00 5.187614092077057037e+00 2.374494345268619355e+00 9.889502136430357304e-02
9.358991394635991501e-01 3.515415023061669864e+00 2.270691896799776899e+00 1.092219494912735067e-01
1.506025494473784754e+00 3.176502361951500930e+00 2.430429128631129476e+00 1.581032764144277292e-01
1.090777099371053493e+00 4.366212980088013396e+00 2.272223807405144402e+00 2.136911757649175292e-01
1.421388070553749605e+00 6.377203369520105802e+00 2.509210770803303792e+00 3.759677803618949321e-02
1.913347733550291752e+00 4.065981293155202181e+00 2.408545077502777243e+00 5.858489338181199768e-02
1.326530755640340509e+00 9.186174347491894210e+00 2.432570388132288652e+00 5.720828525900029105e-02
1.311224884677311353e+00 6.943559634331563757e+00 2.419882781802048299e+00 1.069170119321094375e-01
1.333524266257795299e+00 6.231990344287020811e+00 2.244460738732128036e+00 1.104909253275084130e-01
1.341107226843512246e+00 3.698613132261000302e+00 2.408693490733088360e+00 1.314447319332607556e-01
