# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.406470107598197572e+00 4.956294690445401052e+00 2.149386959182165935e+00 2.214013746746436861e-01
2.565612688256138085e+00 4.021038923887215510e+00 1.902144769253885981e+00 1.178733358967789246e-01
2.481207875833102428e+00 5.231545515022191672e+00 2.095660948539815216e+00 1.598758884874258990e-01
2.452002384359436515e+00 4.546985095215437589e+00 2.237313971145110880e+00 1.050458017339316180e-01
2.861731929103407790e+00 4.616210777461676962e+00 2.263458825605175306e+00 1.882204077555848509e-01
2.631931531406622948e+00 5.993135056870962707e+00 2.294586962245736217e+00 1.072994182653481537e-01
2.921573501655681415e+00 7.115456631582380176e+00 2.328528380597012504e+00 6.650494286914351849e-02
1.663344461597687118e+00 3.229543485667077274e+00 2.352932912204682037e+00 1.493660190828221546e-01
1.904362031609636130e+00 4.548539690640595268e+00 2.285818757400389423e+00 1.747887298372037546e-01
2.860865350641014881e+00 4.688708528226088745e+00 2.300148000882648258e+00 2.882724764519128610e-02
2.074716875685899797e+00 8.937749101968853083e+00 2.125592807079153435e+00 9.733144288277166545e-02
1.803568686839905233e+00 3.968556489229896567e+00 2.164201302352901202e+00 1.287285290839124963e-01
2.233423874327406189e+00 4.920315113635798099e+00 2.251525608791087762e+00 1.202046495079717170e-01
1.776869520802825120e+00 5.220596997364452818e+00 1.946751673840019015e+00 9.459988201413833953e-02
2.121003749867916621e+00 8.143116324198892642e+00 2.253666294183324315e+00 5.418864544332179650e-02
1.801885337643322371e+00 1.075604962014847032e+01 2.296027288214011808e+00 1.848841908919440225e-01
2.549118025644893315e+00 5.479859463559217936e+00 2.214021939676623418e+00 1.065763635660978287e-01
1.072208942402754550e+00 2.995077014083300071e+00 2.261175820336390974e+00 5.757647106191146613e-02
2.218941149086675502e+00 6.490850681878510997e+00 1.922908311644648816e+00 3.746986237323407520e-01
2.655820214517178979e+00 4.911640790337981066e+00 2.402896582128800862e+00 2.248042947167503969e-01
2.484277814800512019e+00 5.820905606403310451e+00 2.710989596728315743e+00 4.256169054859990086e-01
1.745814958937138783e+00 4.463414301314625909e+00 2.217314283801594677e+00 1.097629022578061886e-01
2.202054634352487383e+00 4.339250336163090083e+00 2.268451169211231022e+00 2.556748161179961398e-01
2.514695315796675157e+00 3.955621261396803590e+00 2.465155663418129972e+00 1.653256792985854373e-01
1.849781907904928691e+00 7.736743871033500142e+00 2.422504786381342257e+00 1.112932849844689431e-01
2.025044237007827430e+00 3.474342763236221820e+00 2.464218458956309199e+00 1.448601430440686622e-01
1.713429973918330074e+00 5.975531527335535387e+00 2.021437956440598427e+00 1.769746133246397068e-01
2.411891017592602271e+00 5.312509521165719839e+00 2.272220199137227503e+00 9.524670004396107448e-02
1.642498414006217100e+00 2.879443021021047322e+00 2.269328067136560545e+00 2.685417578276184658e-01
1.546077987317073799e+00 4.647057436876307790e+00 1.977434601654771473e+00 9.378347821772889392e-02
1.466137522455076336e+00 4.660774244915863562e+00 2.249518793019274376e+00 8.800892355866812844e-02
1.489936392313535363e+00 4.125153382748459663e+00 2.270661610518764029e+00 1.976267708502816300e-01
1.572792750376504234e+00 2.482150484752354558e+00 2.215000668126004157e+00 1.576065916050516935e-01
1.757940651748510108e+00 4.487583542718066809e+00 2.312141488800546707e+00 2.234869991644390097e-01
1.920342557375087633e+00 5.393905786238406996e+00 2.093441860818992861e+00 6.431246372595414429e-02
2.101172824870817024e+00 5.795645176665054521e+00 2.230803609502158391e+00 1.051939258712088487e-01
2.087976223634040007e+00 5.319126860882796848e+00 2.045566252788214801e+00 2.289000493128238722e-01
3.259206499283991754e+00 5.211596502281188314e+00 2.435422777204338196e+00 8.829670719843453475e-02
2.310587149119424755e+00 4.145586524717908006e+00 2.230060456005562575e+00 1.128807609741509649e-01
1.668972224442512031e+00 6.100060280797340084e+00 2.084101289777305688e+00 1.870757265570744676e-01
2.815843447121836984e+00 3.609469810735801865e+00 2.424482918633563688e+00 3.014106684717991480e-01
1.339272866668276940e+00 4.916832734332471588e+00 2.671964969639799126e+00 4.565133127371184818e-01
1.400063707587818618e+00 3.568567529052844911e+00 1.616947626837898166e+00 3.927480131882273295e-01
2.243621371323396119e+00 5.845174708006811493e+00 2.327925379957862084e+00 7.222987185767656970e-02
2.901033206061065517e+00 6.927895700721649064e+00 2.309419116085654977e+00 8.418268089941931265e-02
1.937167637716194823e+00 4.341656007111111215e+00 1.841003388058427337e+00 2.833723014159265641e-01
1.641080071739752899e+00 1.051202956135846733e+01 2.303502744268348668e+00 1.286294143982600613e-01
1.538979782663383533e+00 3.371205901806055394e+00 2.091402381630925955e+00 1.019513630046616492e-01
2.316504738534583385e+00 5.571613455846991414e+00 2.338532872288507480e+00 7.569243068313649681e-02
3.441315914099313478e+00 5.635302939386555465e+00 2.226381135509118980e+00 1.077114569740599548e-01
3.078872867686046177e+00 3.979522177560367524e+00 2.206318088008859757e+00 9.093821399973670006e-02
2.375311911805911169e+00 3.192734379297214709e+00 2.379128286446899221e+00 4.528402507604328137e-02
2.525685317899939442e+00 5.561197498273328321e+00 2.153525851278897729e+00 1.281849648719515788e-01
2.901174995739840057e+00 6.257055554825373456e+00 2.330817186186702639e+00 1.239996340127599572e-01
1.839461064955324465e+00 5.986991572181690202e+00 2.272499176855033109e+00 2.034276011472185286e-01
2.015625948994713035e+00 9.582585451899543472e+00 2.883427490080069600e+00 2.568530431668363812e-01
2.018999178221151158e+00 3.450126881619348218e+00 2.270616256140262301e+00 1.853917664385600905e-01
2.287978507554990326e+00 6.487127109618272769e+00 2.262434573545237360e+00 6.862142092691134176e-02
2.297034320837329169e+00 8.846639682770742752e+00 2.390910925209980942e+00 1.551956397988409897e-01
2.260210851471439408e+00 8.303103242481228108e+00 2.253671001088126236e+00 1.255709987187605681e-01
2.558762682665998600e+00 4.993662037109359630e+00 2.058675889820861471e+00 1.476184063120761780e-01
1.870816726098146976e+00 3.904173910891929111e+00 2.393437685999756592e+00 2.311079553626440297e-01
