# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.270973354306015990e+00 2.908147880397151663e+00 -4.494769864944192506e-01 4.601679910223256398e-01
8.920250121411251731e-01 7.390762572504647743e+00 1.427465075220645030e+00 2.074699298096764621e-01
1.047219918649260784e+00 4.267996809155177651e+00 8.701092322951736735e-01 9.022695481061682177e-02
5.611309224293143938e-01 4.744039681374909279e+00 1.981327880487568360e-01 2.006741328126761259e-01
1.561536919723157890e+00 3.644662637249880266e+00 1.302910044352566521e+00 1.997434713992185251e-01
9.076032193115395330e-01 8.508672366010603838e+00 3.387633639000289243e-01 2.042715940873250924e-01
1.521092142518828627e+00 3.253787851436683365e+00 9.129202700861180908e-01 2.271673167015202111e-01
1.377282903618848087e+00 3.904982416150930558e+00 9.541946815745234733e-01 1.381086153403057182e-01
1.530059827771883540e+00 3.066339924214525947e+00 1.486105968550419654e+00 1.488272958965261572e-01
5.553547212499040375e-01 6.524942839602936751e+00 -1.287737377984785381e+00 8.948887282921108577e-02
1.409488539498959359e+00 3.715557218560619379e+00 1.656645457225443874e+00 3.135320497599062284e-01
6.395557507846330036e-01 3.841703685518974343e+00 1.696076639896431648e-01 1.083474901984455285e-01
1.236587811807315029e+00 6.098409148192048157e+00 9.347557898611170701e-01 3.221700122355379836e-01
9.373497504873322672e-01 4.681426273155377515e+00 1.631879238880415084e+00 4.437040704499479182e-01
9.260853303119691571e-01 6.532633128501927011e+00 8.217031577570530487e-01 1.692036591807517254e-01
1.231858206502989272e+00 4.074546228458848063e+00 1.141386130613617489e+00 2.356588877219163436e-01
7.956057233250123373e-01 9.177430653742787214e+00 1.289689568279321685e+00 3.133928462871461429e-01
2.498041961490830687e+00 6.959331555123483781e+00 2.136859100423749158e+00 2.370236857771700900e-01
6.559834948005022204e-01 3.117895790293387925e+00 5.164512996555296054e-01 2.448334469458379459e-01
6.170580454264334991e-01 4.432752101118695442e+00 4.522653505556760711e-01 2.957794527404257190e-01
9.452389279582814607e-01 3.976747466853981727e+00 3.345193578948897351e-01 2.179362449955953851e-01
1.151821080067845005e+00 4.854700760059965425e+00 1.221955489333956146e+00 1.300503302168735664e-01
9.194633313452255097e-01 5.630747518258628403e+00 1.164348492261861878e+00 4.791574973763649825e-01
1.216552558280351359e+00 2.891576399327157265e+00 1.532843855154469193e+00 1.316438001226555021e-01
1.087381779846346985e+00 7.853764343703779183e+00 9.169003668003191665e-01 1.809154502956027422e-01
1.053248819828099592e+00 3.497168733657400885e+00 5.049254396039689619e-01 1.269632890375115009e-01
9.847075679592767194e-01 6.032905670637304318e+00 7.567347819107388407e-01 7.165763905557864799e-02
1.346972680289619362e+00 4.017955011481003424e+00 8.911799035148930681e-01 9.519225043567190736e-02
8.943984424408186751e-01 4.818805998148429026e+00 1.661786961421862774e-02 1.640925022631805619e-01
5.611309224293143938e-01 4.744039681374909279e+00 1.981327880487568360e-01 2.006741328126761259e-01
1.732023985163035018e+00 6.339736923555444825e+00 1.512028629661003487e+00 1.112816066629788714e-01
1.364349956959611143e+00 5.360348096782397320e+00 1.527141662795358457e+00 1.133918756978829212e-01
