# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.749069559586647227e-01 5.982259916518581910e+00 3.648465729127899237e+00 2.792720124419684202e-01
1.302515516637296589e+00 5.495653645239414686e+00 4.081777017648033912e+00 1.395164878028101185e-01
1.115994741435214266e+00 6.794579856033309717e+00 4.644531714978882064e+00 1.404591160844469999e-01
1.012507602458009748e+00 4.976272292483928439e+00 4.693884009203701524e+00 3.196011140563541630e-01
1.254072855731098057e+00 7.269184721739151200e+00 4.021107535788112308e+00 1.888510124148528868e-01
9.638427692401572155e-01 6.030205300497301302e+00 3.811689315364626296e+00 5.426208790184079422e-01
8.720883007931050646e-01 7.013850446854474896e+00 4.154600498244414020e+00 2.150447000570332723e-01
1.236815567132584670e+00 1.016457810263376338e+01 3.957018356141212223e+00 1.553478658915517507e-01
1.015410649221726080e+00 1.155892213459947548e+01 4.274631665819218718e+00 2.067472749059028336e-01
6.818428607950501874e-01 4.423596046056991860e+00 4.238361509987267794e+00 1.943818202826359531e-01
1.759966154563820107e+00 4.029927835824727467e+00 4.274015795968665543e+00 2.385199927325964975e-01
1.543545510867227355e+00 9.003224916922672350e+00 3.804292541407982231e+00 3.152334750775571126e-01
7.227926791694045949e-01 3.171260059386604713e+00 4.047670744036394375e+00 2.703810078415516127e-01
9.656862352275230599e-01 4.106177579230512187e+00 3.745981376074187796e+00 1.734041173001752145e-01
8.850706699634528496e-01 3.571220221331102174e+00 4.156122333535474667e+00 1.618200709507808255e-01
8.304802983570337416e-01 5.189631064727873166e+00 3.962496996922743708e+00 1.334757424063830467e-01
1.193237183665952328e+00 9.091111906813154064e+00 3.773791171703411607e+00 1.006907757837508660e-01
9.163625985848646849e-01 6.687164926780345908e+00 3.860686732779588404e+00 3.719796541084569030e-01
1.059921386762682438e+00 4.538072673174667671e+00 3.715534386450551452e+00 2.163842229393780348e-01
9.098635080309988021e-01 5.789784542721854166e+00 3.817356783363029749e+00 2.393680959056964097e-01
9.948879070612567377e-01 6.037727966461883256e+00 4.009905349510201056e+00 1.958114974377402895e-01
1.093564043935569607e+00 7.037100900843682894e+00 4.168852947031967737e+00 1.067504217922554677e-01
1.566995584180414625e+00 4.391694100909107057e+00 3.814408303864492478e+00 2.805418877414811440e-01
1.248444883329939747e+00 4.988696225344857460e+00 3.960707602786486703e+00 4.540407090864234108e-01
8.583660748901149606e-01 3.523424765741989706e+00 3.862109667467491292e+00 1.793707736275616804e-01
1.324075555929804526e+00 2.371773785934841339e+00 3.999388677389927871e+00 4.417799489595675699e-01
1.691221920928874356e+00 5.932621755317510015e+00 4.253583502008204675e+00 1.082669706777904944e-01
9.086759186051613923e-01 6.864745164647983344e+00 3.960559499202119138e+00 1.748731551721223187e-01
1.040841425163862244e+00 8.559127551006650236e+00 4.066900356905684077e+00 2.283936603178853830e-01
1.136396736045993450e+00 3.373479822606669565e+00 4.224672885403097489e+00 3.015599354800193588e-01
