# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.653999449076425377e-01 7.898560904858097587e+00 6.068031568501702999e+00 2.895496180987841561e-02
9.064159315810713657e-01 6.115037512638384243e+00 6.319006581284999591e+00 1.138645089390281084e-01
7.328841740651255154e-01 5.793940289069070992e+00 6.310148995958433815e+00 8.926632820883703689e-02
7.843024307333633649e-01 8.859457474561256873e+00 6.225213661364969120e+00 6.749895810158521026e-02
8.037366564922856504e-01 7.291762830911192594e+00 6.148378384172099587e+00 5.206146442362710042e-02
7.169796998334501126e-01 2.335983479591345002e+00 6.237805736650283706e+00 6.794219594840771037e-02
6.143404374399128454e-01 4.814165891326524616e+00 6.341474369273870870e+00 1.733920763722238412e-01
5.570863621369466223e-01 6.181410808811421909e+00 6.136216793529617242e+00 1.507499505414214985e-02
7.774251448117939223e-01 4.849362348214897089e+00 6.189475733742662023e+00 4.599673978949099518e-02
1.338436954491149411e+00 4.983469314289788343e+00 6.177176612832575131e+00 1.423608106080584967e-01
1.015407244044893131e+00 3.682845153425787554e+00 6.079260424123810402e+00 8.153209220937092383e-02
5.775409402823077354e-01 9.845899873008928438e+00 6.439976969726993516e+00 1.441773728659477283e-01
5.430079563641868612e-01 5.652565462810031249e+00 6.174428032496119378e+00 5.777767674035470813e-02
6.886392600662563090e-01 6.107211291870005887e+00 6.162952645820243269e+00 1.044022805212934529e-01
6.091463299552355437e-01 4.942514207557317185e+00 6.071411072984876256e+00 2.073127356601723037e-01
7.901221421669641920e-01 7.333252583187780616e+00 5.947959050807457793e+00 1.678833061243888702e-01
7.646327294686868781e-01 8.661395813259835208e+00 6.000270603370173816e+00 7.990455403759814945e-02
6.355952943144101974e-01 3.771792474436073572e+00 6.212359089649068800e+00 3.499735865999425988e-02
6.970682192664112709e-01 4.054571135783654690e+00 6.122711291058992700e+00 5.887492365599616972e-02
8.336084218193673401e-01 7.533603121447884909e+00 6.202155978799078540e+00 4.372929675279366157e-02
1.312934750939662276e+00 3.282666922182019498e+00 6.234829597268375601e+00 5.087777255412662125e-02
8.397020218496306088e-01 4.714624737210841410e+00 6.207740382788058398e+00 1.688618396135797006e-01
5.982993283767881199e-01 3.598357440919608852e+00 6.272140453071343380e+00 1.237657105148448344e-01
7.541951723550740505e-01 8.207630840239790615e+00 6.153518828784808825e+00 2.308920599066118309e-02
6.012324451275732340e-01 7.074029219169531757e+00 6.133425509053914482e+00 1.292444204254923623e-01
