# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.474693636423745513e+00 7.947863718215666395e+00 3.128563325234746451e+00 1.999585441488877513e-01
1.214743257330407333e+00 2.569689523493404959e+00 -1.099964953982757621e+00 2.292651974661383540e-01
1.328665141494611790e+00 5.505673733168281458e+00 1.456603048358066754e+00 1.330401638518692864e-01
8.412175340834239234e-01 3.886383562506548373e+00 1.893458733062200139e+00 2.367133967876917100e-01
1.483455848199298099e+00 6.672774920707592372e+00 1.241667426830708632e+00 2.289586583257597341e-01
2.257958947721924847e+00 4.559503402873877675e+00 6.179377830057699583e-01 2.093669615576084220e-01
2.328764694571565652e+00 6.164836330717748503e+00 -1.076031487225933336e+00 3.206009906143291177e-01
8.631663318458920875e-01 4.635955631742800342e+00 -1.308334575770889963e+00 3.376324878224729042e-01
1.874360216837020143e+00 3.643472239852584060e+00 -7.293281175721928467e-01 3.200485917520833334e-01
1.359774558827804958e+00 2.835053876653352845e+00 -1.112261687048124559e+00 1.563324219514774516e-01
1.396540931565676935e+00 6.059104738698262160e+00 1.460007175107804311e+00 3.523140336213501089e-01
7.148559302294337225e-01 6.284915690391992271e+00 2.438439584867064358e+00 2.137627265173427660e-01
9.909641416310300821e-01 7.128203025534986637e+00 3.342527937308461539e+00 9.499908363359199637e-02
2.579561356192145549e+00 4.583107841672540594e+00 3.846801461767168639e+00 2.648083859339073753e-01
1.833052677706904277e+00 3.633306101157966594e+00 1.832749208282297371e+00 1.336809767303311081e-01
2.469499252191458716e+00 5.184707061962996910e+00 2.682828170790899858e+00 1.359312139049050072e-01
9.127713424988728175e-01 2.824628278960032102e+00 -1.508171373433686568e+00 5.360440458018664311e-02
2.255552669733815740e+00 6.155236268206992101e+00 2.166076674460015727e-01 2.406736910862238288e-01
2.336102106343904694e+00 1.583609993808950911e+01 1.358224942595961826e+00 4.175835194106281706e-02
2.643912750223242458e+00 3.997931211439635479e+00 3.927520379895383940e+00 1.295356722134585192e-01
9.898221448054692617e-01 3.764554961403336897e+00 9.051269667632657612e-01 2.363038103484699504e-01
6.384797618196392799e-01 5.031070142064686834e+00 2.668092198320244357e-01 2.008720462698298515e-01
1.410855332617426017e+00 3.599120755296409513e+00 1.028614029115137551e+00 1.645408109582928713e-01
1.440130554644904803e+00 8.377817124099054880e+00 5.884686817290869509e-01 2.495879871011648377e-01
1.101906373252572235e+00 5.399145502617356485e+00 9.869384788918051932e-01 7.190719397432229765e-02
4.827030121279000108e-01 8.726895995066985989e+00 8.730679527895995884e-02 2.135217963124215190e-01
2.004886966959739780e+00 5.256241446502791348e+00 -1.680828455162946433e+00 2.488038978494550579e-01
3.049887958243088448e+00 3.168018635975363040e+00 3.843763920991211780e+00 7.551444279532158743e-02
2.247321883303630141e+00 4.449781048339277234e+00 7.085194442851663332e-01 2.655207212763300295e-01
1.282239745462166569e+00 4.575357420992164137e+00 -1.196950254298100536e+00 1.635990261232786180e-01
1.218902013746568036e+00 8.079408693798182384e+00 1.280906274115349186e+00 1.158005218365966149e-01
2.925371317142336114e+00 6.533639433934807172e+00 -1.443656292131660690e+00 6.054730765115648450e-02
1.721866304103703893e+00 4.287487884908676605e+00 3.590081893069772878e+00 9.760052666153784529e-02
9.063170728527907283e-01 8.167789861155263509e+00 3.104115139462737538e+00 1.582452830863930182e-01
1.453789122353111862e+00 3.738872362462153820e+00 -4.100017461225670123e-01 1.369391970820281190e-01
1.879554079145145051e+00 7.211935364170944496e+00 -1.132989258596400206e-01 4.108933826963754865e-01
