# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.396929701871706175e-01 5.800528582819996615e+00 5.501053047844303379e+00 2.523404403571816168e-01
1.568906337521064120e+00 6.233608139940251647e+00 5.714441143162886760e+00 2.382943152259958675e-02
1.829178756677331208e+00 5.738207735952803645e+00 5.736835899546752771e+00 1.277368610352801470e-01
6.082189489186183851e-01 7.860622929458189745e+00 4.544107459229979717e+00 1.310843869543608098e-01
7.978259932165585600e-01 1.078020846615539341e+01 5.638110990896979757e+00 3.811682789095489077e-01
1.381626783043728768e+00 5.301244838372276114e+00 5.568952683502707224e+00 1.401947158341620425e-01
1.856204035180034184e+00 5.711173328529984161e+00 5.807708948317294784e+00 1.887946862098220657e-01
6.817662462211067087e-01 8.622052919870226262e+00 5.369531573140418068e+00 1.872402146021471814e-01
7.069350131286034067e-01 4.160098784879068035e+00 5.233428462180440555e+00 2.317609715909843826e-01
1.302245474707416584e+00 5.290857004760999516e+00 5.796782976223212813e+00 2.578748335348405307e-01
1.446965315545576614e+00 6.490604555161795908e+00 5.693840157086484943e+00 1.393534025024886491e-01
9.890520612691824365e-01 5.418721944010827407e+00 5.852997204198324255e+00 1.967275420133615949e-01
7.644326967645367343e-01 5.299382444641080880e+00 5.280876087741986247e+00 1.474619365145526384e-01
8.399067962806178178e-01 6.676967701156192980e+00 5.285406702156213221e+00 2.726381901568050714e-01
1.194859179510934233e+00 7.475011635532843535e+00 5.279288256228459986e+00 3.748943588495061152e-01
9.722164026812800675e-01 3.323558082687398496e+00 4.988775705416729878e+00 1.644507179259564744e-01
8.223622693784555793e-01 5.907068797128419924e+00 5.143852532919917842e+00 3.438311322078211330e-01
1.011339350839998596e+00 4.169264183739942453e+00 5.398117975305291694e+00 1.169911486874433415e-01
1.519807181728282330e+00 4.013847116022336792e+00 5.653271779185656598e+00 3.601126350659116238e-01
4.004374297109293268e-01 3.336762757783965583e+00 5.163180857605201624e+00 2.094458865631525224e-01
1.024328277374495944e+00 7.171927187118219749e+00 5.899715995467108343e+00 3.623918087137775745e-01
1.645766904081549908e+00 2.887715724547938567e+00 5.905238223831495326e+00 2.260057916171690218e-01
1.519143780664039767e+00 1.240085871679695195e+01 5.295098105301591751e+00 3.020198514484383548e-02
1.260657350662558907e+00 4.724763498952062157e+00 5.159177412743781943e+00 1.069850276219921070e-01
9.596727716653181695e-01 7.141379433261751508e+00 5.040288825563146169e+00 9.662902758959929228e-02
8.385503713596567099e-01 2.800478268055385911e+00 5.046276514165563221e+00 7.813647972060615288e-02
1.056332327099561041e+00 4.224876632145562638e+00 5.414346163211974705e+00 2.639725612185313541e-01
1.800973737853160728e+00 5.014815836188878606e+00 5.760813209261406165e+00 9.270797354984013083e-02
1.035852623279528206e+00 7.876776109621930644e+00 5.324450139815744443e+00 2.307667353980608627e-01
4.241333858004885382e-01 4.198528467926616159e+00 4.842555880811742597e+00 1.809289662336529825e-01
1.204935918107141735e+00 3.638807093782241431e+00 5.487788438647373646e+00 1.428808355969736765e-01
1.767916471613336871e+00 4.508375386074662039e+00 5.655633683598932926e+00 1.680070613547854363e-01
1.220897465044633812e+00 1.148548848339260786e+01 5.793369643492647825e+00 7.788623444012426900e-02
9.578152270759889841e-01 9.652222942388723581e+00 5.411515572771596894e+00 1.294009892955944041e-01
7.986078205693782905e-01 5.208428809145021710e+00 5.269735889565930087e+00 9.561118282666744572e-02
1.468212183332117338e+00 4.171774402805372262e+00 5.578440414253510227e+00 1.747793752117766941e-01
2.201888976593151970e+00 7.944380764508614412e+00 5.964723436880825069e+00 1.724088821228507984e-01
1.076518327742315151e+00 6.603223074522584390e+00 5.842534856540051003e+00 2.100729990236541722e-01
8.122260011132267365e-01 8.117949330176701395e+00 4.866219154157024995e+00 1.932145373325115656e-01
6.470943279123100300e-01 6.795688049768820349e+00 5.290411224030331816e+00 5.375626476642240970e-02
1.365962648657229828e+00 7.833994688940089546e+00 5.694865787184205885e+00 7.756559084504738300e-02
6.572460922826041108e-01 2.997931200109489325e+00 4.830769400307884709e+00 1.635560279143274676e-01
1.092374465783529480e+00 6.124558463637669981e+00 5.744387164730495599e+00 7.583951053772178263e-02
2.179048711548150496e+00 7.509854777358032862e+00 5.844235520114335003e+00 1.188723293343856846e-01
1.276761367970607353e+00 3.615231634905881286e+00 5.552545050756503286e+00 7.804317688839013112e-02
1.012433397579502126e+00 6.260509395193201598e+00 5.550266792901304314e+00 2.172085059371882676e-01
1.357135695452192925e+00 2.580600900694722810e+00 5.449484204698674006e+00 1.165502277710782630e-01
9.038342071038432124e-01 1.154502729930744920e+01 5.757505312696194366e+00 1.963139821412800967e-01
3.892921490979183163e-01 3.344509497435184553e+00 5.068513921449190107e+00 1.511976352564281534e-01
1.034038659164954632e+00 4.140399822135904628e+00 5.589364234235687512e+00 8.183320171694899448e-02
4.912354832177714403e-01 6.109634815948815856e+00 4.352311572676692997e+00 1.974826095861091091e-01
1.161052096698963476e+00 4.045209564269795166e+00 5.469512645006020968e+00 1.705595776514546025e-01
1.283354416515332108e+00 6.327060394998087034e+00 5.504296447191495467e+00 3.637238553980148142e-02
8.740617032585835666e-01 8.588715318361519024e+00 5.229231425816582401e+00 2.458039532024831192e-02
6.512680930354262099e-01 6.090134416324942457e+00 5.012566274768688324e+00 1.487914208458891996e-01
6.928304592498197856e-01 3.864528508636615456e+00 5.214170623808550786e+00 1.711420900342261464e-01
1.604950630808053447e+00 6.080222110960118442e+00 4.893463864906064664e+00 4.883923959517393332e-01
1.842486645780078591e+00 5.121513076263911834e+00 5.901755009848205447e+00 2.252585244629620731e-01
1.682698428832327675e+00 4.072797481277211418e+00 5.360025865224431030e+00 6.587654345200044670e-02
9.590958296535929684e-01 6.900364524472359484e+00 5.214905659019890116e+00 7.359495204502540522e-02
8.288193768350696766e-01 3.666318535689930602e+00 4.328364513455034590e+00 1.944769833167362960e-01
9.057656110311769204e-01 2.939658807259179163e+00 3.635772585581995120e+00 4.760656525746992385e-01
8.027144148612068708e-01 4.994000815526970172e+00 5.062970150290077243e+00 3.637995138282961172e-01
9.433631318741454441e-01 5.874153928232671795e+00 5.620361091073998949e+00 4.172261245309143163e-02
1.205737843741314430e+00 4.670036738940504861e+00 5.550503562933866597e+00 3.024724283263717228e-01
1.157033358412537849e+00 6.144207359307776173e+00 6.179331324233221956e+00 3.599830454989660922e-01
9.331491774096981606e-01 6.024048301302418196e+00 5.393908772418100739e+00 1.227046414052644918e-01
1.753451506232938550e+00 5.426391777551701878e+00 5.572252120498401240e+00 1.640184020402605802e-01
1.348810886217127747e+00 7.010056052835659024e+00 5.757618330430993581e+00 1.648432122482192397e-01
9.069500551982326852e-01 5.063412829431715778e+00 5.343885483899068589e+00 1.127681638780219653e-01
1.251062994835710374e+00 2.615489015428047459e+00 5.831084602947588458e+00 8.374026434222109350e-02
7.224116949816001831e-01 5.295006965197256221e+00 5.207732262366806530e+00 1.509767258947766477e-01
1.890325091843977345e+00 8.550141750146099895e+00 5.768251286173793346e+00 2.217242210720287710e-01
1.444337533921302485e+00 5.074832466726740599e+00 5.157784962512091731e+00 3.215207314861391885e-01
1.466647791490971908e+00 8.753833228582584169e+00 5.987845271633387867e+00 2.205759457866327544e-01
1.340070312551905118e+00 4.067750403776116741e+00 5.595047734127129857e+00 1.576517027891236045e-01
1.267425004143644562e+00 4.330248854051339080e+00 5.622667055496748389e+00 1.817327463000543708e-01
1.088169468384019511e+00 7.852143472604410590e+00 5.739950261091333772e+00 1.440390762332571795e-01
1.720727046924941384e+00 7.961642583902625248e+00 5.539265751610774835e+00 1.399366528714512115e-01
1.253025549430065722e+00 4.353178328003796338e+00 5.446018677035849187e+00 6.532237365413835761e-02
1.043196759968194387e+00 1.012089927360597663e+01 5.107568691371902503e+00 1.215649003991163546e-01
1.662419471950988825e+00 4.520325445840384759e+00 5.801463020069108190e+00 7.938098757898696956e-02
3.124524302056583380e+00 7.037000551830691286e+00 5.869727418423155818e+00 2.012557159121845796e-01
1.251802933854582411e+00 5.848459481115023451e+00 5.414966861591731906e+00 1.653619063835189695e-01
1.243385742915961156e+00 5.160299498951517627e+00 5.414112629350215755e+00 2.178485280165136928e-01
1.290944366676921806e+00 5.340841410383298182e+00 5.382123306442000654e+00 2.150846035580775972e-01
1.012286544918865605e+00 7.676887562735569936e+00 5.824165268395869788e+00 2.722118083105254938e-01
5.177053239542677154e-01 5.090951977339130963e+00 5.280579243004441814e+00 1.255483344109549482e-01
8.297417858590533379e-01 7.600521835688823558e+00 5.305767490174212675e+00 7.751786178552147466e-02
6.973833077740922981e-01 6.343029224842864799e+00 4.934937041643475020e+00 3.834194078945508122e-01
1.642469301598138420e+00 3.994684974899877172e+00 5.752023653268754977e+00 1.098030156250422718e-01
1.712020401008357950e+00 5.430867671230559246e+00 5.597625779419717063e+00 1.234642352644040458e-01
8.601972354550996291e-01 4.325153660751180240e+00 4.147837457632181035e+00 1.589247342067286739e-01
1.340407371237553047e+00 5.963457968786100238e+00 4.084934078410466185e+00 2.820082661422971745e-02
1.054440938374332504e+00 8.880322591641249375e+00 5.663689490927877657e+00 1.601302736453099340e-01
2.006101259549688098e+00 3.718148706638142453e+00 5.908252092038050129e+00 1.625260376627506442e-01
7.012605667631044426e-01 3.971646795557532084e+00 5.466079334450601124e+00 3.482058133098156483e-02
4.584629532176299205e-01 3.018612112374202461e+00 4.984491680043106498e+00 2.573255998336967942e-01
9.906506031323309980e-01 7.363903941852153245e+00 5.107703811744708666e+00 2.693223836678549921e-01
