# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.619281912664321421e+00 4.464003793600892500e+00 4.769025026550014701e+00 2.157114271320651755e-01
6.913481916678372308e-01 3.873442246299373615e+00 2.556090407275790177e+00 2.401778513401029991e-01
1.032267440509951228e+00 5.679012434074901527e+00 4.215689198064088927e+00 2.449639450359143433e-01
9.783549381247553800e-01 7.094897279817740987e+00 1.821505696506631855e+00 7.683179939183354401e-02
1.222560249530079579e+00 1.093757286583573851e+01 4.741174955600811813e+00 9.821385630853166071e-02
1.455955492049687328e+00 5.809681640163673499e+00 4.512941193337454138e+00 2.117172013158774291e-01
8.963122746485603365e-01 6.230493260272333522e+00 -1.075539016223951150e-01 3.178821524793294939e-01
1.315354895101280785e+00 4.714382435549042683e+00 4.814668915439154873e+00 1.578777073978683831e-01
2.672435016084591552e+00 8.017020875043558092e+00 5.428377527188041007e+00 7.936551285291708335e-02
1.177341144225942493e+00 3.797415936221684607e+00 5.025142407054368654e+00 1.730267396350101405e-01
1.123869490674840543e+00 5.448518452385528121e+00 4.479798155737476861e+00 5.046946873118032806e-02
1.547152694207154955e+00 2.977758250976828336e+00 5.186799107025930056e+00 3.057967786471663119e-01
1.755185638108218482e+00 4.999975853941134751e+00 8.297699770823689924e-01 6.387035594241427527e-02
1.399329515795455059e+00 6.807736727736488191e+00 3.550353477596759344e+00 2.160994933199447410e-01
1.545540295617826354e+00 2.746719640370006488e+00 4.422236982562005814e+00 1.931741567562140494e-01
1.088374897475877345e+00 4.545556239559157774e+00 4.111434496267544425e+00 1.343757774831816076e-01
9.052279017568103381e-01 2.495715247389424629e+00 3.879200775296785864e+00 5.587032629651948745e-02
1.163442117104240614e+00 6.955586365235112645e+00 4.887688620085221203e+00 1.032752275211330922e-01
1.042314238833891960e+00 5.013829149479876790e+00 4.876438367742622404e+00 9.025065816858995893e-02
1.296911564822886831e+00 7.628527949538777442e+00 4.822458343673187819e+00 4.866258294029305459e-02
1.345697077753789994e+00 4.885452633373931874e+00 5.088804928016256390e+00 2.458561487537561929e-01
1.367236895813851882e+00 5.415544943433284963e+00 2.589910875784662725e+00 2.664837011641277287e-01
