# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.560494455595738517e+00 8.645639281739422088e+00 5.403996408437405918e+00 1.034577846854444760e-01
1.004788348215152505e+00 6.446144959446697520e+00 4.908503945147264957e+00 1.489215724220865344e-01
1.439027062222481668e+00 3.591873593181227342e+00 5.473209913971298413e+00 7.733159181197934995e-02
6.119461465397139088e-01 3.319368567093453404e+00 5.063056866424639146e+00 2.511054247173221676e-01
1.297009956197055836e+00 7.643514442216327254e+00 5.196774350093106065e+00 1.271303086952691175e-01
1.434062878263248964e+00 2.435878506485537720e+00 5.641770301599984272e+00 2.270573613599334295e-01
1.135551822918830389e+00 5.784229744039798504e+00 5.181495266991032800e+00 1.480188562126980023e-01
1.362673013133384181e+00 4.001151975490249590e+00 5.005857770619014602e+00 5.007173402147356844e-01
5.969922345633438265e-01 1.153212167586620396e+01 5.278709869364210050e+00 1.421147811736642730e-01
1.730105783622705840e+00 6.075595385778839841e+00 5.572958724304896805e+00 1.062120305872015225e-01
8.030749391676533788e-01 5.955547566025555462e+00 4.932213369215055820e+00 6.421463157160686719e-02
8.672374542593755953e-01 4.072997112945744291e+00 5.169542229893877128e+00 2.378227977659238823e-01
1.050730111674414990e+00 5.589114906294364360e+00 5.138789730015131951e+00 2.280870033920462947e-01
7.930117028485949016e-01 5.460787564170322739e+00 4.945620301402104069e+00 1.242380881344370414e-01
1.011845818046035461e+00 6.776245953394691490e+00 5.481971130448563656e+00 1.786836795353687890e-01
1.927743327658096417e+00 3.326149311507965667e+00 5.321421697269667739e+00 1.691258450752511910e-01
8.004123658218317283e-01 7.471925127262548649e+00 5.430913721075146583e+00 1.646490851315142168e-01
1.037838341584104596e+00 5.573049033045197831e+00 5.345137439575420757e+00 1.098004594787536925e-01
9.422504589237682415e-01 4.009929696756350026e+00 4.851684900542268863e+00 3.168838918016507189e-01
7.626367989216803478e-01 8.917500197343414925e+00 5.548478513871188511e+00 3.198733926948622019e-01
1.239481543630144955e+00 6.188425767315657744e+00 5.590114008114825062e+00 1.199973824274924439e-01
6.856512701891385175e-01 5.191879107761397272e+00 5.629111927168016116e+00 2.073709783321466826e-01
7.411758804617978313e-01 4.169602024797027795e+00 5.196420695625426411e+00 1.207516193923498238e-01
1.156054450046488880e+00 6.793001088520551178e+00 5.464852139367768480e+00 7.493396778328235974e-02
1.462159479091635461e+00 4.496488195085061257e+00 5.689443949099664444e+00 1.898734229338510660e-01
2.499341386808742627e+00 6.060991644818627400e+00 5.838368262659422214e+00 1.874668066307038083e-01
7.314471236737274396e-01 5.842982677920654844e+00 5.446126058161028460e+00 9.050813937997390091e-02
1.043430661560400541e+00 6.346993997960804101e+00 5.141275866613258749e+00 2.602657971221303268e-01
7.093539900768170980e-01 5.658527786489941036e+00 4.867020605833176639e+00 1.103934083937579830e-01
1.186222928039698754e+00 4.656408776870474497e+00 5.123160564582640575e+00 5.822777432276084186e-02
1.789624711045741723e+00 9.958439187318990804e+00 5.896869043403884625e+00 1.770677370052054223e-01
1.227524318339905385e+00 7.478074784565823308e+00 5.404006729099220863e+00 1.177860522615000044e-01
8.732145844729063411e-01 4.918711156804699947e+00 5.211073195761548149e+00 2.190166298669170841e-01
1.826448495380318837e+00 2.968291954009054656e+00 5.581247459008031875e+00 2.593090163614126809e-01
8.469606316671157709e-01 3.751926630302050647e+00 4.976375886939805149e+00 1.953633675970328776e-01
7.467036251712650952e-01 1.140326550543249695e+01 4.759867755293001323e+00 1.195226698722869768e-01
1.457327756762475612e+00 4.804190173462462354e+00 4.992461912377996747e+00 2.123109813820263092e-01
7.798045545695397873e-01 4.128907881619358733e+00 5.075797734291633390e+00 9.218438328850069030e-02
1.629791759368391046e+00 9.339187326015672141e+00 5.728984563029454691e+00 8.001210376486256326e-02
1.015224253635732987e+00 4.079842171874731527e+00 5.158529486762716942e+00 1.635779182155809031e-01
1.203818554070519742e+00 3.834876629052323072e+00 5.694232179469529420e+00 2.208458391017975864e-01
1.151271979572268567e+00 9.530069569457667811e+00 5.868398665862876840e+00 2.813680051907733182e-01
8.292784613819796924e-01 6.365642881572551204e+00 2.702601990453372238e+00 1.021899707587239914e-01
8.011425008362171862e-01 6.255705999053043698e+00 5.432211813363966968e+00 2.751991455785482432e-01
1.233672925450500113e+00 4.480815771901434985e+00 5.312711629786797118e+00 4.070975113458451256e-02
7.519474732752697843e-01 6.345185045208224572e+00 4.979061037065108053e+00 3.249591506762445348e-01
8.583914978986889599e-01 6.141541623350294188e+00 5.187197701279143480e+00 1.621084444219332565e-01
1.700301839053823372e+00 5.828057206536792378e+00 5.906274935086337941e+00 1.392373607138686353e-01
6.827619812666106958e-01 6.876993909352849599e+00 4.680374671550660892e+00 4.752636640296197257e-01
1.198743426850529925e+00 8.046084874461952197e+00 5.298375408560981548e+00 1.229723659175410433e-01
9.760849119094991977e-01 8.402092030054889804e+00 5.068355769478038120e+00 1.814796517858741631e-01
8.070851859784583526e-01 9.168461181654134151e+00 5.281730484216235588e+00 2.026413797056643151e-01
1.758005913311606827e+00 6.212543897564602347e+00 5.590743844201781165e+00 5.709048650170795575e-02
1.114135374147730673e+00 4.128973329909709555e+00 5.430945896856964161e+00 1.370569370380733953e-01
7.868439446714934338e-01 5.686587188504178769e+00 4.818181752463930323e+00 1.437007195959575656e-01
1.716677357166203066e+00 4.306876145556816304e+00 5.558702579173060876e+00 4.123464371494622305e-01
1.054174782747334227e+00 5.642004609204728460e+00 5.171604963645143549e+00 2.784848305366079413e-01
