# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.228292448991882946e+00 1.015730268424618821e+01 5.477920679315394281e+00 9.215857470635209492e-02
1.855914328879339159e+00 6.269128013552070833e+00 5.673220751077861834e+00 2.312657600782678374e-02
1.650234105960578068e+00 6.321893127547132174e+00 5.441582844003311159e+00 1.034064005424104316e-01
1.325347350559268111e+00 7.730842888255099687e+00 5.443610609073513906e+00 1.154391279308204649e-01
1.430302083969942073e+00 8.466428672232122921e+00 5.805683778810955431e+00 3.694287535790545807e-01
1.960639974574136302e+00 7.985127455770281379e+00 5.578113238440644217e+00 1.246613255610061338e-01
2.008969138332029392e+00 5.254789903641778004e+00 5.724655499210667742e+00 4.080357478736581361e-02
1.544396381784847394e+00 1.105653529082393582e+01 5.511840525679517100e+00 1.756583491220559401e-01
2.182812702969465057e+00 7.361763748712894184e+00 5.708739542553865398e+00 1.001646857943674362e-01
1.953659933478702593e+00 5.365046962363961391e+00 5.504365857738755530e+00 7.163124536251926078e-02
1.361440747359492276e+00 6.367624586167541345e+00 5.552850728263848623e+00 7.114380247689418291e-02
1.533482945944963260e+00 5.079272672238108299e+00 5.491399132204185740e+00 1.063152919631567411e-01
2.603472601388404861e+00 4.285965105678452680e+00 5.831200042485614077e+00 3.102838751287674210e-02
6.954092694308884326e-01 5.042769321955208994e+00 5.306221519937540876e+00 3.272526352821030216e-01
1.407600249734547893e+00 5.121621369105361588e+00 5.622365417904738649e+00 4.969054752092716409e-02
1.457263244329385143e+00 8.234285558992040066e+00 5.699198746158312900e+00 1.730552220951466769e-01
1.076685956841469061e+00 4.478967232242179186e+00 5.548285490350448157e+00 1.729087684253146628e-01
1.543609936923875381e+00 8.484308717086406659e+00 5.644721813701703006e+00 7.652552434170421802e-02
9.891885773328130682e-01 5.236474236930575898e+00 5.570099719554778339e+00 1.404842237903360935e-01
1.334339038366573194e+00 3.475505919444137781e+00 5.698798127626441001e+00 1.336627892628289849e-01
1.658639958835846917e+00 6.518058764881779155e+00 5.533975184897704125e+00 2.018293946057080346e-01
1.436410869329562745e+00 7.715057817059022938e+00 5.359251171729974672e+00 8.832755211711157406e-02
1.226910430279577469e+00 8.654507106718167364e+00 5.524815981745726745e+00 1.987803333010702000e-01
1.557082053108836739e+00 1.179102827537939113e+01 5.421941062641825404e+00 1.703868913652477057e-01
1.729590089476446879e+00 1.065929894501189423e+01 5.743834938735576934e+00 2.462563348000168795e-01
8.864497862157385555e-01 5.580592147623212540e+00 4.983286265085525635e+00 2.019670599948598377e-01
1.131159829880953982e+00 8.561315948894471006e+00 5.478814626001443422e+00 1.327699679675840849e-01
1.358486061988565030e+00 5.715907092541421264e+00 5.620533946022986171e+00 3.218785805125510407e-02
9.474906400383995564e-01 6.640453300678183624e+00 5.404933051803571864e+00 2.003028942763004638e-01
1.991538351529662965e+00 4.833262929281563203e+00 5.656380274592873292e+00 1.055692888713617439e-01
2.059905135585975433e+00 6.921396087703208799e+00 5.629141995044346203e+00 2.054729452892301578e-01
1.952636929398263721e+00 5.478207070012497404e+00 5.676561601870189655e+00 7.419330465871984415e-02
1.430611142227802279e+00 5.043123993104752678e+00 5.622318126150418927e+00 1.385721241330091780e-01
1.970781462931696204e+00 9.104231169824931413e+00 5.504024645246893499e+00 1.155524436846561004e-01
2.127538752950960177e+00 7.921984154641093845e+00 5.706972726492261394e+00 1.408356596258609206e-01
1.265340069944862478e+00 6.929516603988937540e+00 5.304845624444961771e+00 7.924649297182562169e-02
1.106555987477006120e+00 6.841090338734838738e+00 5.018651128756284052e+00 3.258090373675521234e-01
2.228496078169521333e+00 3.841449932344861651e+00 5.660692455139350265e+00 1.458439814616975527e-01
1.354383485192188319e+00 6.597879188829907982e+00 5.337661255549199346e+00 1.385262229650646160e-01
1.993663922726932602e+00 8.175312072956877785e+00 5.667198774237660608e+00 1.164944842531913660e-01
1.439429399466092718e+00 4.879328360614206161e+00 5.618390027423502353e+00 1.825881040085247098e-01
1.544971975658931296e+00 7.557983608328959768e+00 5.520729025340300744e+00 1.049642383959401987e-01
1.721394435450777749e+00 6.103433994197903445e+00 5.603781104130232116e+00 9.967802417128543424e-02
1.632502478061535589e+00 4.221291753327349738e+00 5.585534339458480879e+00 1.681448870573861443e-01
1.139337878527433290e+00 6.271300545200501730e+00 5.748448274433251015e+00 1.886129269026209088e-01
1.028448878690036761e+00 6.670660616721591829e+00 5.737075244937269503e+00 1.923988982704595563e-01
1.739145129816185076e+00 6.020196200548960874e+00 5.858576808917841383e+00 1.934701920744577586e-01
1.184022541838413156e+00 6.551615080059891127e+00 5.588690291402483190e+00 1.757286735796001476e-01
1.281513142837883867e+00 9.600809697632668005e+00 5.275218085756853803e+00 1.275255966937040020e-01
1.401724676625809796e+00 5.794568317263943058e+00 5.601809912173122186e+00 1.629414385542896637e-01
1.802513033740394288e+00 3.602834560046830337e+00 5.475741208991863118e+00 2.421372255380285776e-01
1.725315948109894748e+00 7.218397512617237055e+00 5.647293148818310904e+00 1.270565487602555166e-01
1.356949165064723628e+00 6.908482495239671728e+00 5.551746116301185197e+00 1.289112646585464927e-01
1.700666686029922658e+00 5.242596506142835899e+00 5.587206255117927789e+00 1.262184356868931712e-01
1.393895412677954360e+00 4.383156217674564203e+00 5.274460028529912137e+00 2.515798479655071973e-01
1.170728276429623183e+00 6.428242176261882435e+00 5.440550349566570354e+00 9.711569388645210910e-02
1.278081878895876766e+00 6.368532576855749028e+00 5.291299988791951847e+00 3.084079179528509407e-01
1.951405974149676537e+00 7.397909248298608631e+00 5.582443492514932437e+00 1.251127385886699472e-01
1.501956042191414875e+00 3.478774147647448078e+00 5.946787456811961192e+00 6.241123680179214706e-01
1.474971190756686257e+00 5.285052703351619918e+00 5.150039368576808663e+00 2.478927731329661488e-01
1.558471457704923901e+00 6.350383992564790248e+00 5.515208009199233707e+00 9.533038206094887612e-02
1.935286776799449271e+00 4.493604690768029819e+00 5.524844185376466044e+00 1.688190260970054979e-01
1.160993718853754020e+00 5.618892858388004896e+00 5.344236920565296423e+00 2.048037384521189108e-01
1.169489566996090524e+00 6.641963332859596392e+00 5.402027040948174097e+00 1.402669046700259770e-01
1.424261695495910418e+00 4.195095107008602220e+00 4.970119568174800939e+00 2.500292070531894284e-01
2.262864920758728804e+00 3.813908389705668256e+00 5.469356251950734382e+00 2.007505706507123344e-01
1.338344923084606730e+00 5.304675330731493332e+00 5.273407439209159442e+00 4.590124430310703330e-02
1.852264636006865084e+00 4.056792540653963108e+00 5.302499195586108272e+00 1.208326181140096101e-01
1.784923442665763416e+00 5.250573806364201346e+00 5.663858448009664315e+00 2.371259530667193249e-01
1.118737542804518537e+00 6.784289889244421445e+00 5.562701666334469053e+00 3.811927427133866564e-01
2.131121014420022330e+00 5.541760502346704698e+00 5.783095830200339904e+00 6.332853228587061178e-02
1.503718464793818876e+00 5.051089488507361835e+00 5.485186243503688885e+00 2.233107903176016484e-01
2.366652713840487365e+00 9.312437234757943827e+00 5.630813219179657381e+00 2.009187899902452890e-01
1.267704213591588358e+00 2.423051063938111760e+00 5.618366525622648489e+00 1.537240210569980614e-01
1.658210758136923646e+00 4.630448426487390634e+00 5.127120120531423630e+00 2.252942095177928872e-01
1.258112388115672609e+00 6.063808780037211577e+00 5.573215606293323354e+00 5.855512152857490077e-02
1.402486246522076430e+00 5.650314769192653408e+00 5.396328778740389076e+00 1.651797061511961207e-01
1.436866664731992316e+00 8.434411805378189797e+00 5.529037152281254919e+00 2.122761481361884472e-01
1.365181670740473363e+00 4.727074321220800179e+00 5.442633058147613667e+00 3.061697928778022715e-01
1.437266375219342196e+00 9.131431068678281804e+00 5.395084779360653116e+00 1.941811184008016000e-01
1.903138427087205153e+00 6.377323425276399504e+00 5.438465348315949299e+00 1.724650033254636339e-01
2.346047678358115451e+00 4.225686639628650099e+00 5.629211753045486155e+00 1.090679275902050188e-01
9.880652914454237656e-01 2.934346763693858939e+00 5.370034439759559852e+00 3.579808748334073476e-01
1.528574999686291402e+00 5.404297292015321830e+00 5.629546609924637401e+00 1.234014540767691542e-01
1.545476239178332545e+00 5.644154859843473204e+00 5.626112186106996482e+00 7.425762396987695135e-02
1.666957018944736246e+00 7.205544209256154353e+00 5.546497546619828078e+00 1.079196823857402343e-01
1.996077930902893094e+00 6.173846131011499594e+00 5.748738927254316344e+00 6.445109554785832806e-02
1.474531416804124362e+00 6.237578955955011217e+00 5.285018982588975511e+00 1.672800807255645228e-01
1.523763614810092371e+00 6.352343190350113744e+00 5.314998231434053366e+00 1.050208107116440970e-01
1.531935303554540884e+00 8.491236860178558388e+00 5.416581191419013841e+00 6.781910476510294439e-02
2.144943202702668028e+00 4.475456782270416767e+00 5.604269261061801899e+00 1.116992637786103360e-01
1.769610997907616223e+00 6.668933931728996178e+00 5.547270794456983012e+00 1.577287765896017435e-01
9.085821698267282365e-01 1.139016820238650496e+01 5.106797504702511148e+00 2.130428828183854317e-01
1.382666813488724111e+00 5.878123078745058017e+00 5.521584473501795820e+00 1.607629051309586721e-01
1.088045646820509305e+00 3.353556743785566674e+00 5.312941000834668692e+00 1.070986497252427727e-01
1.703201007275938927e+00 7.895604823201296085e+00 5.381938542838587303e+00 1.047221495685797671e-01
1.371431530582873926e+00 7.141732815078396079e+00 5.995689506533440571e+00 2.048217095976019864e-01
1.340529855711959151e+00 1.265538451725284119e+01 5.572271285215561143e+00 1.319193976004027491e-01
1.903757489576286765e+00 5.528733682386535619e+00 5.602243289183719277e+00 6.976294239324971891e-02
1.585225387522782192e+00 7.424132369407735688e+00 5.522892961700754277e+00 1.053557014959259214e-01
2.510167349984488538e+00 4.515817621646484703e+00 5.807132564836765098e+00 2.164803163979091283e-01
1.246292838015214066e+00 7.667970776610678385e+00 5.413170736908324621e+00 1.755854806073182117e-01
1.656285415928418381e+00 4.119843668734502806e+00 5.246858046689640176e+00 8.097266554100367164e-02
9.907831605471740799e-01 5.473178623356007577e+00 5.333699623358281627e+00 1.542085584412617172e-01
1.023275086144010304e+00 7.819400859564376027e+00 5.336208098414292778e+00 1.191612419746145013e-01
