# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.934332040088813320e-01 3.807918130084265051e+00 7.795197879032613741e+00 1.989462597804537713e-01
5.908223295395362840e-01 4.037524276255598288e+00 7.617332907997600877e+00 1.031538078267079800e-01
5.947866982168321659e-01 1.149014040590203400e+01 7.739120526383386434e+00 1.511681756289295908e-01
8.507377781464450228e-01 4.999093905566154739e+00 7.554659864548329828e+00 8.430327187578667836e-02
7.282047631184327408e-01 6.957525300029737458e+00 7.528467789850310510e+00 2.207238635618737344e-01
5.891957595678525283e-01 6.636392104120279356e+00 7.514020439064680090e+00 6.006042877129364604e-02
7.228273382789678347e-01 1.087139245344816807e+01 7.731988251934666323e+00 1.527127160861841138e-01
6.775345833358303871e-01 5.333846500790914824e+00 7.532331388539722283e+00 1.701154795140837894e-01
5.250173738819089442e-01 4.182152123097167440e+00 7.809924256198714332e+00 1.068296024835980601e-01
9.533585662931285398e-01 9.990572438409563105e+00 7.640607877103181345e+00 1.050318804748052864e-01
7.365551959236484869e-01 7.583596286475624559e+00 7.740316137462622592e+00 3.943013484080366837e-02
6.905820444496982846e-01 8.016398388107187856e+00 7.676373048096141183e+00 8.010702777144546038e-02
6.096923642031086832e-01 7.454936932432343788e+00 7.790804988398473796e+00 3.107401022248427180e-01
5.856554689367831079e-01 5.659594006830006130e+00 7.496141864391071330e+00 2.572517636956421216e-01
9.682258377917668524e-01 8.862029946411846382e+00 7.404012808653791744e+00 8.417350003311166451e-02
9.078621935200719140e-01 2.210498271312284047e+00 7.751448029541395002e+00 1.971776547113357481e-01
6.721167025564426245e-01 1.025018625014080875e+01 7.799937805088277720e+00 1.247806034740854553e-01
8.322727310072022266e-01 7.952803943519435315e+00 7.666911171222490218e+00 2.557609786063492763e-01
9.884387381112123006e-01 8.779796380270807887e+00 7.633871911881807470e+00 5.660287724335773263e-02
8.460708154248598456e-01 6.924447377363457612e+00 7.978753065159320812e+00 9.856642880797507333e-02
9.175231560773566830e-01 8.694751242792040813e+00 7.796801886423876837e+00 5.944316515963042891e-01
6.866841368899641029e-01 9.961329303877963781e+00 7.780300143465722407e+00 1.753907171075537730e-01
8.938136712995217170e-01 5.501101773672206541e+00 7.816270027631814443e+00 1.659296274248356351e-01
5.438072710951051825e-01 4.697292196417626187e+00 7.766160833840126010e+00 9.245355985470915527e-02
9.158061307938542006e-01 1.005784447270568194e+01 7.905983650838120269e+00 1.617567313706984589e-01
5.695069636172509497e-01 4.592672599749199058e+00 7.551501815059027400e+00 1.109737185199435039e-01
6.420942350229215112e-01 5.752540191616860810e+00 7.711974777409000836e+00 1.846225880326891056e-01
6.771724424626868188e-01 5.793284683034798377e+00 7.840802754992235890e+00 2.421490146426170664e-01
8.437377293721446403e-01 9.694331504473002070e+00 7.841329720527314251e+00 1.701648342464201491e-01
8.507377781464450228e-01 4.999093905566154739e+00 7.554659864548329828e+00 8.430327187578667836e-02
1.214369394593308948e+00 3.053902668676256038e+00 7.354149415401372458e+00 3.576625718177277036e-01
6.817721208012396117e-01 7.058360871709725259e+00 7.751817201684586323e+00 2.156805154004933223e-01
9.143671491900915438e-01 5.126772701574035196e+00 7.879055011846450185e+00 1.807864336788607973e-01
9.300568659892340939e-01 4.606973712328331416e+00 7.870479852164175227e+00 2.886472470895778408e-01
9.264488150925934695e-01 6.103842162778008174e+00 7.637308762654452465e+00 3.588871693709766997e-01
5.378975514663248969e-01 5.472512544581319638e+00 7.699748459574577097e+00 1.175414813070563558e-01
6.899743465670398201e-01 1.552416458653212317e+01 7.638226177486951762e+00 2.319153449132338451e-01
6.848840922485610605e-01 5.890115336739755847e+00 7.925114310794652894e+00 9.433577066637705011e-02
5.034856869503698817e-01 5.218137520383079320e+00 7.392688091449238996e+00 2.819450187134411312e-01
6.778702852562878967e-01 1.074506527701887215e+01 7.984775631049125799e+00 4.124130141556908713e-02
7.544924191492270449e-01 4.670460273383219452e+00 7.693952145742708915e+00 1.071038560574173737e-01
8.366405247039004900e-01 7.090820565662259156e+00 8.031223180823806373e+00 1.419884685763950216e-01
6.362552412584214778e-01 6.459998081619230170e+00 7.786669225517265147e+00 1.140415776682406207e-01
9.026683590925634881e-01 7.739810636034434310e+00 7.963963417201790129e+00 1.153128563339110013e-01
9.179345896632224999e-01 3.767543027268196454e+00 7.546598894547406289e+00 1.646253770849551712e-01
1.319810125948615687e+00 4.804891822804481905e+00 7.621999806740310746e+00 1.261816513899980119e-01
6.147302235949505533e-01 5.229474354440828421e+00 7.811348912369639130e+00 9.097127772626208142e-02
7.777662009406888233e-01 1.126061850867787051e+01 7.630060845663154900e+00 1.574951640020126331e-01
8.524962162743492389e-01 5.445089520805187711e+00 7.450572796202409975e+00 1.498321701846105081e-01
8.028549069030412877e-01 5.421411282215862215e+00 7.626452199788402275e+00 1.614038108989060971e-01
7.590135773753396986e-01 4.965792605735325438e+00 7.537797216821867430e+00 1.270754310231419215e-01
6.032884056115250804e-01 3.541637116686188413e+00 8.114136294316081077e+00 2.593309619646304021e-01
7.648296992937121397e-01 8.497374651275336532e+00 7.566718320331260017e+00 2.011826437115904476e-01
7.409847667038020891e-01 8.040941976616332809e+00 7.666951564892033666e+00 1.282381100577727195e-01
7.558080462203000671e-01 3.967746006072617959e+00 7.776531502930406958e+00 1.404262548345750761e-01
7.209621220976962785e-01 5.285360443915328332e+00 7.363073647046485704e+00 1.500631135325837529e-01
7.293818955233926093e-01 1.040236555388995399e+01 7.631582196639365989e+00 1.276335895066632586e-01
7.517074724410139908e-01 5.297460579448799223e+00 7.428945753090716586e+00 2.201526523417062231e-01
5.140915691196062953e-01 6.289080335262346999e+00 7.918936657800851542e+00 1.664354359128051297e-01
8.858444847922873899e-01 8.694382091611709384e+00 8.078035076552041005e+00 1.517080346881906350e-01
4.885224911974849205e-01 1.029425737139824371e+01 7.939698271613232272e+00 1.570246509676410662e-01
7.108920788096919630e-01 6.592206502361133147e+00 7.590719571255334586e+00 7.481236885062522712e-02
8.548037903117954306e-01 4.412875247379330013e+00 8.189203825686053762e+00 3.822035106577698071e-01
1.179826157934699138e+00 4.944845652313714979e+00 7.821245669131152489e+00 2.473757562332354609e-01
5.682537984373355888e-01 7.121219659494783194e+00 7.768726994107411521e+00 2.217440253776006009e-01
8.253464973968389629e-01 3.654915937468077303e+00 7.632957733188328930e+00 8.405002491046847934e-02
6.905092927182823193e-01 1.137021814472887904e+01 8.180955321592342955e+00 2.317737127565982214e-01
6.386362066329748233e-01 6.339758209624533514e+00 7.929794148282504729e+00 6.470266651426082039e-02
8.619589265722704674e-01 6.211054469983150028e+00 7.919163157252971708e+00 3.825712744545954891e-01
6.717335749232550279e-01 3.778385573732305325e+00 7.645677055461855609e+00 6.305259420834510853e-02
6.229262747079631346e-01 3.492044873272967198e+00 7.722536982080776546e+00 1.710381767575300249e-01
6.851990690609061074e-01 9.194555789545056257e+00 7.652351922962433939e+00 1.399746749068307428e-01
8.212631280475806150e-01 8.932575195498314358e+00 7.702232205008703758e+00 1.896361223119551187e-01
4.454569441774826055e-01 5.859453284249617866e+00 7.609268191411567628e+00 1.960987683507277868e-01
1.262526740304340533e+00 3.160684797900367826e+00 7.874336294985804230e+00 3.826587269278192149e-01
6.277108904251155197e-01 5.437815150950388698e+00 7.536942964645482412e+00 3.126442079461824730e-01
4.085678874626986201e-01 4.064491110310870958e+00 7.502923304473779531e+00 2.262450682809754310e-01
8.376721829705803257e-01 5.860222907998232422e+00 7.589251370907742711e+00 1.752080831393353910e-01
8.020336855915897178e-01 3.585558847202899191e+00 7.808261623768966153e+00 8.984519609086612235e-02
6.497444433024046617e-01 4.386213361454055715e+00 7.643439942469362869e+00 2.455682502576829740e-01
8.570287275105493707e-01 2.803571208655073033e+00 7.768374280605411464e+00 9.838550015593132414e-02
8.961205173857720307e-01 9.038729137670927116e+00 7.855994378116338162e+00 2.178303331884883787e-01
6.837034646803581417e-01 5.479532512442465197e+00 7.708924371290081901e+00 5.526388934909937101e-02
6.147840661844909960e-01 9.367335103452857581e+00 7.702679709899547866e+00 2.154194965766577097e-01
7.155072074343782340e-01 4.961603615692420810e+00 7.725962013595794708e+00 1.467350366609596057e-01
6.699741564473354893e-01 3.746530784734457775e+00 7.651490209347181271e+00 7.556212613404117429e-02
1.090482583499296165e+00 3.612747544988070825e+00 8.137013184047741987e+00 2.235170695517269268e-01
6.942803418695098205e-01 7.046830680694208482e+00 7.619937299798490216e+00 1.500188161002728171e-01
6.673653837843879222e-01 8.277671599050746565e+00 7.702453642723541272e+00 1.088179348233523080e-01
1.009138092704860989e+00 3.452890091553128649e+00 7.742163810480072073e+00 2.792179962940034010e-01
6.808684112096128338e-01 1.133995504400068910e+01 7.938860208229045590e+00 1.591295780244346703e-01
6.540373169576457757e-01 7.116257649630744808e+00 7.503415239696932915e+00 1.713779228381557829e-01
8.702873468771455956e-01 6.226014493992511944e+00 7.849896715410070946e+00 4.204550060858382177e-02
9.485282938028715138e-01 8.052630005816679315e+00 7.992749579745640709e+00 1.576864964505474143e-01
8.918652903055506176e-01 8.929940829410117686e+00 7.833112426844154541e+00 1.060048660470069570e-01
8.214910367524089763e-01 6.998596634862210841e+00 7.775990275428564580e+00 2.335209966063811482e-01
9.415837632827174231e-01 6.741600945190425520e+00 7.966864564798433079e+00 3.239548318425516937e-02
9.481904636219884441e-01 7.422025351273457972e+00 7.582131882062963513e+00 7.347628973794292917e-02
9.017365520783802157e-01 5.915839505651798724e+00 7.714397179209742994e+00 7.643081022975771466e-02
1.042186905677583431e+00 8.004108356519763490e+00 7.758977890929761756e+00 7.907331731007125053e-02
5.199823963610754607e-01 3.151101838488373108e+00 7.591080999271359708e+00 2.381644816725434211e-01
6.522839449384474353e-01 5.643163146540811859e+00 7.779758612288624420e+00 1.753301211995469400e-01
6.670817470175156583e-01 6.016248618612815235e+00 8.032736022466234971e+00 2.564558818271008844e-01
8.558099313694010890e-01 7.602227056717664411e+00 7.849665155686852636e+00 1.259564889525375542e-01
7.264442003532900483e-01 4.596314239667037782e+00 7.447073690079863084e+00 1.616535345999263740e-01
1.104685863407750546e+00 3.922496014891390992e+00 8.042218430281826258e+00 1.802602770623029094e-01
6.693914225108301697e-01 7.965778045334936053e+00 7.758922754801998778e+00 1.474752780305272071e-01
8.812816267051165608e-01 5.413992424135400938e+00 7.715182458077963545e+00 1.878448673491831533e-01
8.861816756362786984e-01 8.032867951838330356e+00 7.468194637955032356e+00 2.477205297226612035e-01
9.099627151315335949e-01 8.066292281910548922e+00 7.603917496949576638e+00 1.833281782329604925e-01
4.988676530416035759e-01 4.891794123917561521e+00 7.985096060780173310e+00 2.334411341962581710e-01
6.985460144577453345e-01 5.145230986938802431e+00 7.978396003938851955e+00 1.550979081947354010e-01
9.059326723060258102e-01 5.937792160592581858e+00 7.698604900187509870e+00 3.232407511810756473e-01
8.205206276188810044e-01 8.756328917704180981e+00 7.751801117317675960e+00 1.154902250856554152e-01
1.023137888560751385e+00 5.086632682508876790e+00 7.847125913666363139e+00 1.038903736122203658e-01
5.045461258559289508e-01 6.377116087460219518e+00 7.736949668306520422e+00 2.005584527004054263e-01
7.796882550613618568e-01 4.131026578037705121e+00 7.634199782878059004e+00 3.565245106670078545e-02
9.689992866236214475e-01 3.337193515464468518e+00 7.392797341802124222e+00 2.734423211069627047e-01
8.159141254956931988e-01 4.438673092774838125e+00 7.806328851767857735e+00 1.392729532285051364e-01
4.798142470997768250e-01 6.808750184949405870e+00 7.767198400253043644e+00 2.969446837997724575e-01
1.208895415974053478e+00 8.246025714551127095e+00 7.479968680048551199e+00 1.810261935993475180e-01
8.122589079956579194e-01 8.986301080655673346e+00 7.489723927655171920e+00 4.384948619808296533e-01
5.812065548344466093e-01 6.078389009903387041e+00 7.943466516287092993e+00 5.766799573927805511e-02
5.895425538811340793e-01 6.939973256688286796e+00 7.967907776186824442e+00 1.142712660549013715e-01
1.177953000192965893e+00 5.950817771225763053e+00 7.345110636932883352e+00 4.549025476711220373e-01
8.003869891397246139e-01 8.636094183492810217e+00 7.788399576741031005e+00 1.256480534794878756e-01
5.617469647924187015e-01 5.183520063814300194e+00 7.883753636436990675e+00 3.147044104365101513e-01
5.401662439861050213e-01 7.387461276296609647e+00 7.599030532553503470e+00 3.637348554987782090e-01
7.529126789507332163e-01 6.729160523798988436e+00 7.726918384084594749e+00 1.131991684800756903e-01
4.901927948249846234e-01 3.794638015691603528e+00 7.718409731057887413e+00 1.317953627999198241e-01
6.162194136871645966e-01 6.646866387224802608e+00 7.758956027118861343e+00 1.393844291651716027e-01
6.589659699922369995e-01 8.940302095991908615e+00 7.597053739077326284e+00 2.040052269105251670e-01
6.052914291052087226e-01 6.861645496282035239e+00 7.637757951264825707e+00 2.053749396241656144e-01
8.956217438916109774e-01 7.153358358576959120e+00 7.738962600444144080e+00 1.045187166846233418e-01
7.895787846181107072e-01 4.663728331755271128e+00 7.761624981878648022e+00 9.169697231519455261e-02
6.612126938218247929e-01 7.378343389174690792e+00 7.693753187787606862e+00 2.316786708553278951e-01
4.739587351939028581e-01 1.019822579138859631e+01 7.507726076411795901e+00 1.550874530731418954e-01
7.754487166048786850e-01 5.153025898787618964e+00 7.549980021245213280e+00 1.549774337061685658e-01
6.712308400103000894e-01 7.872269327527464000e+00 7.745411593387134808e+00 2.363490353067484451e-01
9.000625140308187166e-01 6.051472901636520518e+00 7.696837702745865428e+00 9.465333645801110585e-02
8.613873521498685015e-01 2.571859769708510157e+00 7.755252018743523656e+00 1.042682128339244563e-01
8.353382922876815275e-01 7.029968102686057208e+00 7.882088868062103515e+00 4.343111966530789347e-01
7.918784016538121806e-01 8.329381262997241464e+00 7.542656659223022864e+00 1.565469852843907050e-01
8.772565216804221189e-01 5.025586577761018248e+00 7.623301270730403090e+00 1.726953263351588552e-01
8.146451579000979493e-01 4.884300061484410094e+00 7.736716088636844013e+00 1.655182190350728000e-01
3.776223796842880787e-01 7.605284658537147635e+00 7.980119554012380156e+00 6.077086013713468848e-02
8.075266647125995956e-01 6.169183061038255644e+00 7.858087258762165739e+00 2.077725321280257387e-01
1.261718910132430871e+00 3.347015919496167058e+00 7.786962920949418887e+00 1.324547528994723944e-01
1.073578449367294185e+00 8.351945636940051543e+00 7.702353963628724820e+00 1.299935039619249943e-01
1.126520394496244748e+00 2.415707508440133822e+00 8.070953703580252991e+00 1.464978920865418754e-01
8.894474423033140731e-01 2.757129429813155230e+00 7.710778765064688400e+00 9.281642789370786462e-02
1.069533770840348952e+00 1.146386813792914516e+01 7.545758098527962865e+00 1.010681711043244502e-01
9.503054537542493518e-01 7.585599885095184014e+00 7.782391210908000900e+00 7.470933815147520751e-02
9.356138880377136147e-01 4.526590558454989477e+00 7.909490667780100459e+00 1.617478109784592222e-01
6.315907349735461196e-01 9.123038369305868756e+00 7.786157479935960524e+00 7.701418924738331895e-02
5.925572523713461548e-01 8.371011192724161276e+00 6.562764444599960001e+00 6.436480422713787286e-01
6.195701760028127225e-01 5.956735648410119488e+00 7.833127139221428337e+00 1.026694580728943207e-01
7.600799622294623914e-01 2.633853653530378036e+00 7.767159358957553827e+00 1.129440855975060165e-01
8.788731459250815892e-01 5.254646504016453612e+00 7.756386107963830767e+00 1.678103410660109762e-01
6.424200952220127103e-01 4.318056839296305682e+00 7.330899287527663510e+00 3.546995974192955758e-01
7.548342542748284201e-01 1.005450585157717214e+01 7.679614200455217699e+00 6.114355801725123579e-02
5.749008179058909818e-01 6.647911188406254723e+00 7.316002436058457903e+00 3.544182204913600143e-01
5.370860562127901527e-01 4.003784953915209499e+00 7.838515310087941224e+00 3.218907820027603339e-01
1.048903537350674098e+00 6.720271620942043000e+00 7.542380907891520714e+00 1.024994610108767024e-01
1.074414803729398571e+00 5.292090756756245185e+00 7.661776869176733840e+00 1.466947584628086887e-01
5.897882475191911222e-01 5.832949198465938068e+00 7.794595594154507978e+00 3.662101137833115860e-01
9.308111159760288356e-01 1.032694026044358004e+01 7.870289839820729050e+00 7.885936280206126692e-02
5.689006100141379418e-01 4.308877917391910728e+00 7.646636889650359592e+00 1.188487567122061966e-01
1.074319345852238206e+00 6.085148230640174738e+00 7.820536795093535609e+00 2.072342631489635933e-01
5.933610278670147231e-01 7.467886746597618419e+00 7.851627119432253110e+00 1.584294675586974954e-01
5.890720582105674064e-01 1.050526613262379527e+01 7.572284841271103240e+00 1.826279866037741062e-01
6.467381046164768499e-01 9.313416839183338070e+00 7.531527331809163783e+00 1.509222541459901978e-01
8.756512715782401868e-01 3.234613079705600303e+00 7.859048757366517535e+00 1.098284404893781069e-01
8.255234805798309372e-01 7.194680850385095638e+00 7.840117219080218192e+00 1.064257908965764443e-01
6.896665628995140018e-01 6.469678667929394500e+00 7.679932286468257097e+00 3.891592447227644469e-02
6.953332647334323768e-01 8.369627404199784237e+00 7.861018841581863370e+00 1.541971965767384156e-01
8.641824692200232860e-01 6.199505729450080160e+00 7.449617024268832211e+00 2.772135598815304580e-01
9.174029093935409662e-01 8.555236435582031618e+00 7.935262795146592829e+00 1.450195526559653614e-01
