# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.220761054533381795e+00 3.424236967463993864e+00 3.901788849987014807e+00 1.890961144313185460e-01
1.253041158056575899e+00 5.518201928585455995e+00 4.924851972578804471e+00 1.526272816454808112e-01
7.422657233117986308e-01 8.031414352077764107e+00 3.953339967365216090e+00 8.483549255311591264e-02
1.298225897910845861e+00 5.614997946727605438e+00 1.171589805690729680e+00 1.609607946953454938e-01
1.064594539005151219e+00 5.741328696381390095e+00 2.011134819875810109e+00 1.847585885570615094e-01
1.241978715083838614e+00 6.063819188627410206e+00 4.677286883580077159e+00 2.817306979160411617e-01
1.863350375319297259e+00 5.663287881623297437e+00 4.522531720941200817e+00 1.369282954505864902e-01
1.155790897151327989e+00 5.513889998340407494e+00 4.749400559685772905e+00 6.008338745705343875e-02
1.325014023910930927e+00 4.467670423502649868e+00 4.500199679838010169e+00 1.086924113732989639e-01
5.753306791121519659e-01 3.954747622324060519e+00 3.268832773306257877e+00 2.293463823787783851e-01
1.117152086912505116e+00 6.736144418644558485e+00 4.544196560695352716e+00 1.350295134327079982e-01
1.196566383810590217e+00 3.595903503852070582e+00 3.951976000474406892e+00 1.085320657571670899e-01
1.112783028303095278e+00 5.439362672481943939e+00 4.348227688102354271e+00 1.990197223505651425e-01
1.338764282501415881e+00 5.306582722476638203e+00 4.799152633655642930e+00 1.797892150406883716e-01
1.122938099256514111e+00 8.159738639352518419e+00 4.429397397652188317e+00 1.407244573416618627e-01
1.241529745370478999e+00 4.526977729659957816e+00 3.945094660281661891e+00 1.769107194237024561e-01
5.557594505116387751e-01 3.199163667445179993e+00 2.786729108913476027e-01 1.205826414613960507e-01
9.506340367543337777e-01 3.172577121494874142e+00 4.287554296663634190e+00 5.008858062526538868e-02
1.070272843708642840e+00 4.281866685848927823e+00 2.832256231622075404e+00 1.925938850221885212e-01
1.009398728282825619e+00 4.880227522515721006e+00 3.920249392071338157e+00 4.093485747581128431e-02
7.145464129569988332e-01 3.206521069723125006e+00 -3.221308341260892272e-02 8.346224250179057336e-02
8.947978157155510592e-01 6.114129521974245307e+00 3.704042584518782988e+00 1.041036269218656302e-01
9.483242583586303232e-01 4.855118431954435820e+00 3.570249498460965398e+00 6.272885873362595011e-02
2.158084321030210084e+00 5.782149732290418065e+00 5.064877403934160860e+00 1.142082684364862100e-01
6.881521039154442354e-01 4.477905621048059892e+00 4.293830133618123490e+00 2.346694426920650500e-01
1.109269771948285355e+00 3.835424162732253617e+00 3.712239439049501932e+00 5.912731006258891558e-02
5.588466612614586548e-01 5.070733084290987236e+00 1.711106383024485478e+00 1.118029468472156174e-01
9.494070511115145772e-01 3.341877402038773148e+00 3.261074816650078478e+00 1.555965473920274400e-01
1.320878483181172625e+00 4.707207560823636783e+00 4.607256228410792076e+00 1.982071328108069297e-01
1.543622772456762382e+00 1.126431834439243751e+01 4.831427150578747387e+00 2.074372777468507234e-01
1.481101617724520203e+00 5.395731878539283599e+00 4.844521752610227772e+00 2.532781685106704761e-01
5.004501636541160980e-01 3.157453194255770867e+00 8.279231043825050484e-01 1.646276362768369084e-01
8.618345613028101093e-01 5.535499823437296740e+00 2.540473154288683144e+00 1.088193711030519262e-01
7.591846667883241917e-01 6.153032637170444907e+00 4.171900034900011711e+00 1.432338104018604508e-01
5.789806451777227414e-01 3.761798033581924550e+00 2.784144635296335046e+00 5.965790133149653091e-02
9.159197674039524228e-01 3.897649638598140065e+00 3.008453625658300989e+00 7.102602466606078302e-02
1.208413082349413914e+00 3.831266748181669346e+00 4.496273212927955676e+00 4.944519134381078485e-02
1.025520679730917539e+00 3.859166573411924261e+00 4.229798689691876667e+00 1.597939317980615892e-01
1.296199108433877534e+00 4.571386680290163262e+00 -3.872424776645567723e-01 7.479789834327424392e-02
9.277619448885450204e-01 3.972493266030972414e+00 3.576476286435751994e+00 2.078518165134468632e-01
1.523565145713633218e+00 5.988245756726724878e+00 4.850968867263736328e+00 1.150964021432617085e-01
9.640604137158258480e-01 2.786436577588552232e+00 3.470364121012875280e+00 8.416653268666965393e-02
9.623669251968328675e-01 5.186273372855671582e+00 3.532708366767557173e+00 1.469257890933359512e-01
7.931045778540942726e-01 3.792931289686383156e+00 3.195921475370839371e+00 4.140711766596200105e-01
2.072670918387176098e+00 3.281511867648514436e+00 4.305854609507222541e+00 4.737737459812488283e-02
1.320539564239506136e+00 1.001955623197069123e+01 4.745689076030424225e+00 2.190252817566692434e-01
1.304058901785295266e+00 8.323604605389844480e+00 4.678847662153339471e+00 2.741104289196291677e-01
1.236778310541202242e+00 6.356745486747953144e+00 4.332731526813515366e+00 4.701885595116801070e-02
6.695860255401295813e-01 3.081598401248816899e+00 1.264079139425164922e+00 2.320594625871976180e-01
6.101597868678838577e-01 5.498907391918418597e+00 -7.807239846856153243e-01 2.127039622326413193e-01
9.510618034516101771e-01 3.910849842223538708e+00 4.052486195152581239e+00 1.210635423769979013e-01
1.058117544339240546e+00 6.156180564499049268e+00 -6.093489184153805249e-01 1.478253118421472279e-01
6.072735495350624069e-01 4.305143547763173650e+00 2.146201606685604002e+00 1.650553592420709315e-01
7.591846667883241917e-01 6.153032637170444907e+00 4.171900034900011711e+00 1.432338104018604508e-01
9.712603581303019817e-01 8.594427378502011550e+00 4.502130422860235903e+00 4.346910867156386638e-01
1.072651963077332127e+00 8.380671672137598449e+00 3.974270784170130355e+00 1.943506755395591756e-01
1.467831882630936002e+00 6.815009468407867921e+00 1.951267698556618191e+00 2.084603406553680871e-01
1.248237258580131792e+00 5.546923273215417005e+00 3.826050788261550206e+00 8.119967568489591669e-02
8.345472665703548287e-01 4.186917237303219963e+00 3.961542742941674966e+00 5.868877779398319616e-02
1.680644687530056913e+00 7.426719882838972886e+00 4.830084947933158013e+00 1.925584234370442960e-01
1.542942417816903999e+00 4.445098930448145857e+00 4.911420685763609129e+00 1.568593693880644679e-01
7.915906926733583537e-01 4.904230965456960689e+00 4.271255930918236743e+00 1.629323386332508783e-01
8.372981275441535587e-01 3.868467548068120987e+00 3.542943269562373487e+00 2.527835888439128320e-01
1.502838173144042999e+00 3.984563608647510247e+00 4.930120902268948946e+00 4.361315869193941874e-01
8.813414360986367990e-01 5.101649089439447948e+00 3.984165480416514082e+00 2.651794691384132818e-01
8.324425251760937394e-01 3.871881108332633215e+00 3.252609637754487082e+00 1.745345836921919080e-01
1.549781279128029876e+00 1.045891635769285521e+01 3.689329591918625084e+00 1.443577767276298107e-01
1.269349691678895109e+00 4.551218787096258822e+00 4.671432635224928021e+00 2.914683375069012095e-01
1.224321763913364780e+00 2.601479944806054601e+00 3.973901815725539688e+00 1.175924902800426497e-01
6.674757262999252427e-01 2.916804006698475060e+00 2.335243152753420315e+00 2.392803249929249809e-01
9.950946941185804251e-01 5.896776501668639980e+00 4.304418855738433081e+00 6.568398107276648967e-02
1.573602355766599015e+00 4.246228002557651315e+00 3.588344108932126186e+00 1.748110191739776498e-01
7.654168517430322005e-01 6.256660908421009637e+00 3.662800299695721407e+00 1.779482896003130588e-01
1.147640886202190513e+00 4.212978849204688458e+00 4.190874861738256740e+00 3.020993684004003033e-01
1.750706323634338979e+00 9.622078043172106021e+00 4.717334751516344404e+00 9.475340995976697100e-02
1.212807777407125975e+00 4.366634999024122443e+00 5.041451073922038617e+00 1.167235043126036431e-01
1.142748800184421931e+00 5.164028296096847548e+00 3.835540742599648834e+00 1.884517485527037461e-01
6.383115090755544507e-01 3.918050935632463094e+00 3.215323072610061228e+00 1.879552144530630964e-01
7.389954623736780803e-01 4.341519935627802695e+00 3.038213830721143260e+00 1.426122538417625429e-01
8.616325020037320925e-01 5.055944110768319177e+00 3.776850142111089603e+00 1.707184862646622392e-01
6.657421886486057927e-01 4.282000665413169926e+00 2.594094275497965896e+00 7.764922212064015450e-02
8.892318425078572508e-01 4.671201264289146948e+00 4.232130615812477181e+00 5.526263260061784616e-02
1.161431514631853901e+00 7.427349607401633413e+00 4.133825047512559969e+00 1.639843567489546183e-01
6.811418530628445822e-01 4.800859780073278849e+00 3.110922419889496027e+00 1.293203657143154606e-01
1.185435864665715933e+00 4.059050899525609601e+00 4.193285699526158261e+00 1.053846482984171773e-01
1.035255599083378275e+00 2.483944741926367605e+00 2.807864479469658558e+00 2.512934936788929208e-01
7.979068529403985366e-01 4.978330320399863673e+00 2.896396368436515711e+00 1.240206255826928061e-01
1.891801676279288191e+00 5.816047462633679999e+00 4.774376616941501617e+00 7.934857232482246669e-02
1.944520883567165459e+00 8.467269498176067444e+00 4.810871637171833193e+00 2.302603462027833781e-01
6.467365026579010578e-01 4.091602847009636612e+00 -8.594377433388430965e-02 2.649732046580993150e-01
8.489794245631304692e-01 6.046651853797374798e+00 1.925086127624580090e+00 2.238348300786627554e-01
1.570295537070273584e+00 6.031437060561295027e+00 4.366381703584015561e+00 2.431989738042293625e-01
1.418501534939188291e+00 5.740268572654552592e+00 4.644222662516324540e+00 2.943606439584866563e-01
1.132013168689954608e+00 2.283382824758833696e+00 3.829487897492046322e+00 1.519413290302245034e-01
1.546347178950965073e+00 4.651518260715651998e+00 4.873962669875049336e+00 1.074111367076065193e-01
9.707161254652949545e-01 4.908172918610755886e+00 4.178423839883885549e+00 1.159344306115853984e-01
1.170093204039009960e+00 4.105507236782395708e+00 3.067332127055331981e+00 1.136909831435037460e-01
1.501953963671779579e+00 5.266720361538229866e+00 3.371734646889124942e+00 1.009132041266403851e-01
7.364708626721361284e-01 4.236054231033372197e+00 4.151834159475606079e+00 3.561223759575765646e-02
1.097480853191656003e+00 3.885516739987129764e+00 3.653672682664395488e+00 1.778693884671550818e-01
1.790637339804611372e+00 7.070763032206891729e+00 5.011795640026446286e+00 1.700504282206102280e-01
7.343170013819603215e-01 2.772222532607925505e+00 2.160310082176965185e+00 8.711089070025264391e-02
1.500461166437783822e+00 5.385868717178653675e+00 4.108582031633393861e+00 1.076356219825246596e-01
8.057903816835014776e-01 2.895880885091576484e+00 3.409236651584671485e+00 1.296508436766078132e-01
7.876274695590484987e-01 4.373671456213290121e+00 3.985235717498308627e+00 1.034112867226909399e-01
9.274052709996915000e-01 4.356991463974461354e+00 -7.268087979482085181e-03 1.097102366911506116e-01
5.634542216731568409e-01 5.232629652805372622e+00 9.097860817464251681e-01 1.567984367430079184e-01
1.431758598372907088e+00 4.485603931346449968e+00 1.508040701436205611e+00 8.761256142897470844e-02
4.966212787187522237e-01 3.708612943529772110e+00 1.022441686006109851e+00 1.285755608126713523e-01
1.058280468387646112e+00 5.907098350161289702e+00 1.642505016889971525e+00 2.768625595984613441e-01
9.053549244426770670e-01 6.026039687907202236e+00 3.872677306386295371e+00 1.789481621267874911e-01
9.992863104038016697e-01 3.212335077605594336e+00 -8.306077711018546861e-01 9.586791318653659077e-02
4.035856803445175833e-01 2.273003497920363714e+00 -3.172545980805210331e-01 1.567420016974658825e-01
1.333372467954702545e+00 5.632245522296725149e+00 4.429821909738785202e+00 1.818781365984899201e-01
1.894089514081144010e+00 3.786396461587865581e+00 4.576006786274997573e+00 2.281313557060805908e-01
