# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.156182707525495790e+00 2.836156729163390011e+00 -1.816007206545401376e+00 1.624585822732603213e-01
1.200166025396666614e+00 3.470765893252043099e+00 -4.502735184754173003e-01 2.092315523924208887e-01
2.266704253809717073e+00 8.346765940625285651e+00 1.778833011923419249e+00 2.647790523223835235e-01
1.935821336053848540e+00 3.541996633136006434e+00 1.343249216342897734e+00 3.827412839055397975e-01
1.618585585449193287e+00 4.833834334958745593e+00 -1.093625996707648262e+00 2.287092576082032924e-01
2.542417207073827790e+00 2.705358356081942084e+00 1.153616255027193782e+00 8.639899173288649592e-02
1.065186133415328085e+00 4.375451215473785460e+00 1.460743252501294887e+00 3.577419729313643382e-01
1.844554214006443704e+00 4.459496513336619117e+00 -1.126761243973914528e+00 1.114484347731875824e-01
1.419159484561658191e+00 7.386274311061011844e+00 1.451560640868537977e+00 2.408928313700347545e-01
1.178302857803034120e+00 4.967239407715188015e+00 -9.438330307013448328e-01 1.891493959641831757e-01
1.155551582730810267e+00 3.983523557690749062e+00 -4.107397691322609568e-01 8.811187920434596088e-02
2.541954511808987238e+00 2.438427165795287621e+00 -1.131057594252677490e+00 3.319522390259221356e-01
1.843351859891847022e+00 9.508722052866250607e+00 1.779370297962344249e+00 3.124515130676446817e-01
1.829869056104041602e+00 6.187394898577192492e+00 2.645700551312954563e+00 1.879396951954627748e-01
2.436154607712603060e+00 3.709465099901744889e+00 7.679609616122775595e-01 1.405644474225106189e-01
1.563417773189812232e+00 6.579348948311230849e+00 3.982048704849449616e-01 1.912730273067165532e-01
2.419105574612893328e+00 7.851081984407719538e+00 1.188213966243269359e+00 1.187098313485619727e-01
2.036987065468124136e+00 5.951802092320756188e+00 7.884285540625944888e-01 6.710788811585299829e-01
1.493971016467225965e+00 3.802196781625360344e+00 -1.234012597881423812e+00 1.809013369012702210e-01
2.449347381395033718e+00 6.912074001009047564e+00 6.267225007208543364e-01 2.196464542149130228e-01
