# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.848272897149707106e+00 7.136958846955018920e+00 3.553090372926578144e+00 3.038345158478810704e-01
1.204137070156575007e+00 4.174952804823385044e+00 4.210813734990298762e+00 2.765081296281609591e-01
2.211833900309566836e+00 4.196327828697910434e+00 5.220563047576284532e+00 2.125282380458242137e-01
1.822844967016019613e+00 9.283047357650181297e+00 4.425512603708977366e+00 4.315896749723133197e-01
1.110117495365491092e+00 8.891904058817177159e+00 4.492466134709826697e+00 2.580534486119457349e-01
1.755025332815686623e+00 6.996724187951462781e+00 4.065200436418456853e+00 1.742381323066475307e-01
1.182952195920908611e+00 3.193747154394773524e+00 4.890647048969219313e+00 1.262753145734836213e-01
1.634327396536806365e+00 4.820457254156339744e+00 4.339187846576052721e+00 2.716454538167461519e-01
2.261371085026486760e+00 8.479701599939282630e+00 4.518787347389189968e+00 1.903453002078175638e-01
1.921654466266383698e+00 9.924903393704607169e+00 5.185163799899347836e+00 1.482992310139906178e-01
2.011764339374173982e+00 4.812362786177158291e+00 4.995076417661339363e+00 1.925818419799956438e-01
1.943016032297498530e+00 6.133051154339351108e+00 4.558229993954364012e+00 4.692061810050204285e-01
2.179201296367747176e+00 4.247934816367633815e+00 3.922520809099788064e+00 8.006006552097242324e-01
2.689643505845451088e+00 6.928966912890097696e+00 5.202054295011439677e+00 1.448352268439914436e-01
1.222913420926173611e+00 5.379197644797883981e+00 3.818882234399264330e+00 4.340840752820867010e-01
2.740647977515747069e+00 4.288086629039386644e+00 4.654260622671906766e+00 2.102654043087914815e-01
3.256909980112088210e+00 7.156239226942989085e+00 5.078663926694405362e+00 2.172923722118555723e-01
1.663081673343275613e+00 3.788380163817635538e+00 4.653327478371730663e+00 2.519508344058168370e-01
2.300568861784238806e+00 4.936581345311276792e+00 4.814000683542219328e+00 2.358735204285232478e-01
1.680779751692293322e+00 7.222306345541808170e+00 4.642313044794589949e+00 2.702783972436196280e-01
3.615173893021615292e+00 4.376222147947116170e+00 4.574402890075091044e+00 1.391505331372910881e-01
1.669420861386025301e+00 3.884310649295667162e+00 4.821049795543448369e+00 1.193689042931050381e-01
2.165558830416283609e+00 6.419643513883880992e+00 5.097690509720022689e+00 1.749800040701708082e-01
2.103691483541240803e+00 6.858881147301401526e+00 4.977063101614387364e+00 3.122978912725541956e-01
2.541604662443016860e+00 5.469374657082471280e+00 4.103604679649061282e+00 4.143557950846791793e-01
2.722319563415467769e+00 8.855281077836531622e+00 3.819506713719304170e+00 2.243981529336669944e-01
1.863133123464556951e+00 8.851108370075463583e+00 4.766921135924403252e+00 3.735105448860169819e-01
1.872220277627860696e+00 8.358371304864833817e+00 4.474698007336090022e+00 4.312641832665665143e-01
