# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.178319602724211324e+00 2.513832814808752314e+00 2.393386598534965604e+00 1.326162365755605421e-01
1.916766387739270661e+00 5.382977975524261716e+00 3.754077924795443444e+00 2.660415847873841555e-01
8.488364485282370309e-01 4.860130604656188957e+00 -1.606524793231625781e+00 1.976275503899190267e-01
2.311205195126908585e+00 6.192743986721460203e+00 2.104655620779575020e+00 5.283343478721476139e-01
1.912348952184170114e+00 5.247549013967545584e+00 4.379292121651318093e-01 1.418322891338328340e-01
1.288927142128174053e+00 5.521704599741560138e+00 1.561458339374245607e+00 3.873490992071804140e-01
9.355032708599499980e-01 1.209144541595163957e+01 2.313269610416630595e+00 8.574210167996355880e-02
3.496912346683462847e+00 3.145478379864389495e+00 4.623300416478681285e+00 2.876096586886574547e-01
2.284788219553732347e+00 6.642077812634663125e+00 -1.599740085912900067e+00 4.538184053088111652e-02
1.485594386657951960e+00 1.117126771233550464e+01 3.326401890062012923e-01 1.303186609990363842e-01
1.832042365538154360e+00 4.354766727687804817e+00 4.027758986831698196e-01 2.194040226495407586e-01
1.602956639830558805e+00 3.604570446581792709e+00 2.190021914578285767e+00 3.153324347151321150e-01
1.823209621923967738e+00 5.890681045945716399e+00 -1.654203652952142223e+00 1.183065791039251829e-01
1.662252259229071605e+00 7.857808782724336361e+00 1.033819058562807980e+00 5.202461319306279919e-02
1.372273117185175417e+00 3.578367768536963478e+00 2.668846386405255178e+00 3.104489757634781300e-01
1.185777039763878271e+00 7.635019501822014831e+00 -1.670089617477898969e-01 1.340033056289584301e-01
6.934991688221977535e-01 3.906811988866151886e+00 -5.625519768553677302e-01 2.536408253708216654e-01
1.761949447418154513e+00 5.007426914009410979e+00 6.865159339322801646e-03 2.108092533987013795e-01
1.914078077820288160e+00 8.188586255082519472e+00 -4.359004536506429495e-01 1.145195002441261461e-01
1.389415836528236081e+00 1.056866386130483804e+01 -1.060408072081017172e+00 3.546619787080013131e-01
1.950072419876539787e+00 4.161905695157091856e+00 2.010270255180816590e-01 1.400532527209357170e-01
2.374027112092597314e+00 5.403745025906649957e+00 2.933901589091633344e+00 2.183376632493041758e-01
1.415695974141169211e+00 4.326627701629257139e+00 -1.340578743783602311e+00 2.838605250729882012e-01
1.534643290897686363e+00 9.166009976426307659e+00 1.971770582067252087e-01 1.624611144518023909e-01
1.087402844425567672e+00 4.217592953581404736e+00 1.143079908134819078e+00 2.121744571114747846e-01
1.382947486284602512e+00 3.229319418563350030e+00 2.756933153786230051e+00 2.021718470882824525e-01
1.023152074101298492e+00 3.666929103397026157e+00 1.674532252871503202e+00 2.735174033692205908e-01
2.790265415729987986e+00 8.101300282635225614e+00 -6.576890321500247216e-01 1.641273090777345955e-01
1.505678345727120115e+00 4.183312608104276187e+00 3.737854735211029844e+00 1.344028409967725768e-01
1.627812783213654635e+00 9.490122176108009455e+00 1.421608189984655102e+00 1.558878793396954454e-01
1.433806683500757462e+00 6.772822373673814234e+00 -4.995191684610382765e-01 1.509765888112678534e-01
1.128603785508988322e+00 4.029812602277663913e+00 -1.055915503530925781e+00 4.595553114705964171e-01
1.629250745509528198e+00 4.976133836113077358e+00 -9.152729158015785460e-01 2.172721801024783406e-01
1.275861590732600082e+00 1.331946859272389005e+01 -1.285948719608136503e+00 2.939562864231977102e-01
1.677153669652050150e+00 4.888692529854356650e+00 1.221579685963480433e+00 1.893929309436714892e-01
1.209162535967157170e+00 3.841699863217371558e+00 -1.760989651937030498e+00 1.585547327598545442e-01
1.637295174460297487e+00 6.685347147561706116e+00 3.618729400503517546e-02 7.520647957200683464e-01
1.131600140552511347e+00 3.213894878938056809e+00 3.174618184600549675e+00 2.446975049862946672e-01
2.330798477388459133e+00 4.379049729076252895e+00 3.387596372603859152e+00 1.404195464286532857e-01
1.311941172007402123e+00 7.751005339371968006e+00 3.172695833383475605e+00 3.932200105996838113e-01
3.490262424508035366e+00 6.352573066220650766e+00 1.561370707103267641e+00 1.140518128266808928e-01
1.527545188536305609e+00 5.323853650953382477e+00 2.046917029372809171e+00 1.695770294681334112e-01
1.284420683722840906e+00 4.416475525082985243e+00 -7.264438662644617795e-01 1.118582746010085421e-01
1.237569983994560641e+00 3.980085914326576102e+00 1.121445794483838077e+00 2.457254937718492405e-01
1.466594638813308649e+00 4.805780080442302982e+00 -7.074120456877116547e-01 9.596937826243709391e-02
1.716687346632875366e+00 4.466751306757561935e+00 2.943655228169791638e+00 3.653312865224782324e-02
1.450612279229375856e+00 5.196115322518041424e+00 -7.897223550704318695e-01 3.348498538359672150e-01
2.000219052972203038e+00 7.754560818960680280e+00 -1.298699095509938672e+00 4.468918023519301008e-01
1.607634795579234721e+00 7.705349117674834325e+00 1.357938153432129980e+00 1.731080486787121286e-01
1.614194913649080076e+00 1.103870852838620209e+01 6.742037459881983219e-01 1.028981938211721014e-01
1.237276292699104996e+00 4.399948858358728287e+00 3.777992997070060088e+00 2.894925150891319854e-01
1.408190411719303814e+00 6.695447877014549576e+00 -9.127963323513117455e-01 2.297146491003873581e-01
1.310356794266884561e+00 2.920859777802425672e+00 -1.021637012607393924e+00 8.912945596834781492e-02
1.213291829887257922e+00 6.864022988132974845e+00 2.805095891347056281e+00 1.375400682783518014e-01
2.004624532662785619e+00 6.780568543554129413e+00 1.871316051341209930e+00 1.816964133308927032e-01
2.035847328296093828e+00 7.007456803572202908e+00 -7.439348482537175844e-01 6.159383614500861803e-01
1.904122312663508287e+00 6.749407375718734947e+00 1.200736366858024651e+00 1.457283317650199805e-01
1.424660707478256683e+00 3.831463834416868330e+00 2.270401612048651430e+00 1.397060924725078146e-01
1.482553226109223576e+00 3.388858579162957518e+00 2.864759682982362943e-01 1.576388448412457954e-01
2.090059115271988066e+00 7.216259986167093743e+00 1.361189304682941970e+00 1.396991628944979635e-01
1.892050048121376227e+00 3.243559755302184655e+00 1.377412044546832082e+00 3.643553592867157520e-01
1.115860958699568251e+00 5.512145805953964306e+00 8.525982519694780271e-01 4.277600381376431837e-01
2.350684787293283673e+00 1.093962868122232024e+01 1.808727368422230919e+00 1.589828824313311850e-01
1.787343173879701208e+00 9.891804537786040186e+00 2.537755824212627243e+00 1.632536751192410485e-01
