# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.322944784957989395e+00 1.179762802249291376e+01 5.559530423693713530e+00 8.724594043462916004e-02
1.991919964381011265e+00 7.000584086407785733e+00 5.444897983144131537e+00 2.693398782867457708e-01
1.805133231781678838e+00 9.269032202881442473e+00 5.331962370382414385e+00 2.364537595038455342e-01
2.770343448947353959e+00 4.718220000206969189e+00 5.633657970579958985e+00 1.249713150432926051e-01
2.624475506330679053e+00 7.307213991585156165e+00 5.912648715434074553e+00 1.466483759288988442e-01
1.957971358673702200e+00 1.684453928040005266e+01 5.488422095573601389e+00 1.013253717779807050e-01
2.630907177546134790e+00 6.467353048975240881e+00 5.583086211242185293e+00 3.851682819784468109e-02
2.185327428568233366e+00 6.412543745373505466e+00 5.366068709438576612e+00 3.134033141189907501e-01
2.213965528394721716e+00 1.251151949114884054e+01 5.607809976114256578e+00 1.650231698871565678e-01
2.608350384611660022e+00 4.303193230006234771e+00 5.663550504902327809e+00 5.856001889892261530e-02
2.631519199466622716e+00 4.785490589796883576e+00 5.534332850300692108e+00 2.164766520237115799e-01
2.739956348412411646e+00 5.746400858661716349e+00 5.331462991589536848e+00 2.196072217991863751e-01
2.611579273471753559e+00 5.575554804469148529e+00 5.637550804945924199e+00 1.992855209853139353e-01
2.421191600068451688e+00 6.176511577235817896e+00 5.619135485674389585e+00 1.231140149359466612e-01
2.450336740592454987e+00 1.001831902627634818e+01 5.506600898121167376e+00 1.830507558795167189e-01
1.652632243816061663e+00 7.296226462379618027e+00 5.605239432682015632e+00 2.248082368338749915e-01
2.607386483030627922e+00 3.657817661224037398e+00 5.379005757244887498e+00 2.106728126432913795e-01
2.762904207747777896e+00 1.181539487698456092e+01 5.875484092200452757e+00 2.104020096888779279e-01
2.408513753308901162e+00 9.802239247602100747e+00 5.553386012843241737e+00 1.783714264128515581e-01
2.463840614737216494e+00 7.194563213499615806e+00 5.555569067821118701e+00 5.374161132951223163e-02
1.792834602196792915e+00 6.868099515003917688e+00 5.757096139854659178e+00 3.234689105105855722e-01
2.204186899915095754e+00 9.556487612449661384e+00 5.676834023841355936e+00 1.660456460668166545e-01
3.215652511331648533e+00 5.131255474921024629e+00 5.495831637935027381e+00 1.300245812593989192e-01
2.617027438865154654e+00 7.614775134818990487e+00 5.602930333756837911e+00 1.046917158227787803e-01
2.104572334896417374e+00 7.605030710431758045e+00 5.769333464940895162e+00 1.923801670899076277e-01
2.123486228369177553e+00 3.863904198987911709e+00 5.368815562381693773e+00 4.436231924496230605e-01
2.359042552066680898e+00 5.334679388335331396e+00 5.751676683560154935e+00 2.315744611573417044e-01
2.025028916224358433e+00 6.255080315347094633e+00 5.539163215050527000e+00 1.515349143477064398e-01
1.998025710131651422e+00 7.381163135938068720e+00 5.428142165992726476e+00 1.436985505358175930e-01
2.618518639246004476e+00 7.924491460875073834e+00 5.362413156766757005e+00 1.547488476850140959e-01
1.830159724467381510e+00 4.377435768476451550e+00 5.629358212483444923e+00 1.326677685292858011e-01
3.025370989090576224e+00 7.078821433076258884e+00 5.756544504903714277e+00 1.868048806326521316e-01
2.594771677630312467e+00 4.082461238532458125e+00 5.614676807492127608e+00 2.097552348091722418e-01
