# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.744522588594976220e+00 4.719207418242636898e+00 5.353728751123567164e+00 4.004168072695510339e-02
2.129911391865597636e+00 6.091791759711283838e+00 5.451379405346396645e+00 5.784644300706976577e-02
2.217502953463990512e+00 5.370468041523564828e+00 5.393365442475876570e+00 5.659375587186179363e-02
1.952973079346946417e+00 3.242466904769061742e+00 5.400223552796896698e+00 1.369560384095819816e-01
1.984554959216817460e+00 8.405212832579568527e+00 5.370386184943965802e+00 8.921780896530817628e-02
2.594249133715741618e+00 7.927179766240110226e+00 5.324074962156721824e+00 5.825308882781266018e-02
2.045286923536322909e+00 7.683708396234971261e+00 5.530869874082989135e+00 6.176236594911593825e-02
2.387668519145250912e+00 8.847610071506963436e+00 5.409727626070000461e+00 1.151408941022669385e-01
1.973125333674236481e+00 5.222502648814181470e+00 5.372609646261546246e+00 4.565004503241888029e-02
2.518667295846495513e+00 9.407133967037559330e+00 5.537356252200922313e+00 1.640059083181012456e-01
2.922665019182069113e+00 7.878621222217142339e+00 5.399967723027239153e+00 8.380719431737597425e-02
1.850640731853864018e+00 3.516462422358026974e+00 5.396017932414720164e+00 5.920759134163770809e-02
1.706174591553448527e+00 4.807589423099540404e+00 5.441247719478075062e+00 3.772434327083734606e-02
1.840609578229714494e+00 6.123338022031520111e+00 5.429833674725655257e+00 6.056044025588623592e-02
1.658689099074984963e+00 5.248814316672331337e+00 5.334469865436027192e+00 1.887649752725773789e-01
2.450345525522089396e+00 4.520923373340018259e+00 5.362067620035588789e+00 6.016236008774850791e-02
2.278500484396329906e+00 6.311911043079073913e+00 5.249639418547932479e+00 1.005182274689562644e-01
2.054160742611343071e+00 7.195485147625010569e+00 5.434880156307832166e+00 5.855585690747175387e-02
2.338722561587060156e+00 7.258052282066046246e+00 5.439259394269736703e+00 7.675966706411818663e-02
2.612777949575442182e+00 4.859916889269785933e+00 5.392935502551545746e+00 7.009780233017719187e-02
3.003075831390633610e+00 4.469414574533821849e+00 5.437024108483923257e+00 1.109092325478872321e-01
2.604622263753540778e+00 6.512603573862106643e+00 5.450625630738626270e+00 3.587134832669044981e-02
2.634621380764836651e+00 6.925695177919801715e+00 5.476882194609792087e+00 1.257325305904971324e-01
2.263284241573323641e+00 4.172099203298396120e+00 5.366853755480013533e+00 1.573910985868704204e-01
2.185162564129968565e+00 1.043942507604911540e+01 5.222572246508189409e+00 1.576795714227544332e-01
2.674988396286214876e+00 6.026746657621494307e+00 5.536124388724728895e+00 1.452499193066967287e-01
2.262953383797591478e+00 7.700196751283020724e+00 5.455326420165536483e+00 5.243780620563813499e-02
2.466307783541310528e+00 6.918859821922281661e+00 5.406603689587957895e+00 1.730548595701037612e-02
3.184337837389656922e+00 6.002346242238963292e+00 5.560773489563628047e+00 1.200677458303777145e-01
1.979279948322082427e+00 4.743974344113983221e+00 5.624255816769992755e+00 1.215891522901533378e-01
2.326730703715360615e+00 4.666930159699415270e+00 5.406381422917397650e+00 7.714936087909179951e-02
2.214653368048439930e+00 7.442128891693945647e+00 5.121283460929576314e+00 4.266084527081866473e-01
1.866270036962551782e+00 5.473629980304743903e+00 5.660205299519852851e+00 1.070329141645021687e-01
2.695093072310212889e+00 5.035890080311333783e+00 5.275462231209844255e+00 1.447041566160941761e-01
2.277721489544647593e+00 8.051187406456980611e+00 5.457829468832536612e+00 9.367128467914390133e-02
1.867453628492987683e+00 7.829508961427197100e+00 5.285267532360071741e+00 1.585022215636446574e-01
2.158620584465470671e+00 6.445116643902181863e+00 5.319509474652762471e+00 1.395143280576519595e-01
2.036100885486824552e+00 8.100966821312571398e+00 5.347029746764160762e+00 1.887337246643972510e-01
2.325496256262878259e+00 6.348203962123868394e+00 5.336742444245162531e+00 8.830049578188589599e-02
1.931818792132651730e+00 4.808347443194946003e+00 5.288154037769479565e+00 9.596145312003298566e-02
2.184215464481497726e+00 2.350463637447679055e+00 5.408580716927247956e+00 5.018421527939684323e-02
2.874081054588389250e+00 4.505546299304035607e+00 5.418644233487845518e+00 2.481611793465955673e-02
2.350041448780424869e+00 4.270945496300823763e+00 5.483966639847891678e+00 6.892759826086325425e-02
1.661663559176600913e+00 7.984436099826557331e+00 5.362600161015719458e+00 1.813081057219838588e-01
2.503151917094199597e+00 6.394816923542904874e+00 5.398277411295073769e+00 3.293011823414775108e-02
2.207300199519456108e+00 5.630346812491760389e+00 5.430228643837393676e+00 7.565682842918858286e-02
2.811338051913458091e+00 4.663263979213593480e+00 5.469374548446279682e+00 1.508616578461104973e-01
2.514064382518996776e+00 9.481646842835953493e+00 5.432766506262505679e+00 1.349472300378585510e-01
2.375850905327001605e+00 1.134618297824994038e+01 5.247885433592314186e+00 6.908199202270580430e-02
2.594329488694623098e+00 7.985396402592970233e+00 5.421831370900291880e+00 5.543549504239811410e-02
1.770368819570405039e+00 5.946445492659981014e+00 5.309824127645620173e+00 1.698012138714971309e-01
2.376016591652020615e+00 6.692460869766757803e+00 5.418354209046899683e+00 4.685584863144884316e-02
2.323983004670863828e+00 3.729058914915393874e+00 5.368402627951720518e+00 1.427641093253521620e-01
2.186157969802895007e+00 3.998468279386165669e+00 5.531193033061582831e+00 4.750530378836247125e-02
2.322605307505510197e+00 6.440914608976060052e+00 5.444583840994673629e+00 5.833869678332846698e-02
2.463767027684077515e+00 4.670761442261109231e+00 5.410956675998550125e+00 1.252436586382392469e-01
2.349453284458551838e+00 7.418479716381286337e+00 5.414733995909841724e+00 5.674749160509642842e-02
2.416049885276055686e+00 4.886352095457057843e+00 5.479503072248671280e+00 7.802059455680046551e-02
2.471120204195217163e+00 4.938557158047454543e+00 5.618156821461325556e+00 1.522536902412326421e-01
2.057971860961460120e+00 5.588926334055007494e+00 5.471791008443219084e+00 3.471457438737375611e-02
2.272116147889701399e+00 5.792446751143578432e+00 5.247365912739237359e+00 1.148254129579957122e-01
2.640702966863846424e+00 5.131178252410323104e+00 5.504820898850845801e+00 1.673206573658198859e-01
2.079740029231886389e+00 6.959502913080835462e+00 5.579762841641624505e+00 9.158411408879757465e-02
2.342062784583552215e+00 2.500911280466948661e+00 5.461885756948062109e+00 3.036419550633964737e-02
2.510839623933562414e+00 1.011746183815287026e+01 5.511542380016911657e+00 1.091583563114076894e-01
2.865013163356218140e+00 8.494694752061231924e+00 5.592431599497539985e+00 7.232442481173274873e-02
1.875731636495256760e+00 3.864050991268887181e+00 5.426095271140209064e+00 2.071957589134416633e-01
2.398786983022021424e+00 4.672491366111667155e+00 5.391373667997586772e+00 8.333336367338242678e-02
1.718191245647923804e+00 8.330210454288582866e+00 5.237675500195124734e+00 1.249383518937755844e-01
2.636710192730119751e+00 4.167469173637821100e+00 5.350702870497271668e+00 9.525265771971028195e-02
1.836544092080192980e+00 6.002663616689175363e+00 5.424436086458889861e+00 1.221871263348551784e-01
2.582119433823474530e+00 3.032126071223426145e+00 5.430749300154075421e+00 7.089305357152951570e-02
2.052456873516101066e+00 6.192903630349051447e+00 5.414766799328471159e+00 2.622650034302758532e-02
2.497768497837106860e+00 4.367035567269208940e+00 5.409792593543456540e+00 8.322603399263718560e-02
3.081917710125888554e+00 4.834288750785000310e+00 5.614475043328255310e+00 1.016240787302598175e-01
2.204471769141478354e+00 4.083792682700300603e+00 5.421868606393896783e+00 4.276007843541218545e-02
2.284991878852221436e+00 8.743516705608744388e+00 5.153796902402548064e+00 2.517247295235065518e-01
2.593474620828918997e+00 7.707650624762295344e+00 5.527365348365584019e+00 5.777204954154510630e-02
2.120967734075255962e+00 3.335854938932782954e+00 5.202696618071608547e+00 2.219047061239691476e-01
2.700793612565210999e+00 4.876486136421675610e+00 5.520068104842607681e+00 9.662757056131140998e-02
2.725266396512211919e+00 6.858511992819475545e+00 5.342607994698175489e+00 1.700327621214442753e-01
2.533241519120307927e+00 6.714223015531116445e+00 5.445620319265065845e+00 3.169478777835361971e-02
2.165387764721183661e+00 4.238756919576752935e+00 5.576145535388898011e+00 1.123385372433931967e-01
2.387019418230845957e+00 1.171996740642316226e+01 5.380063592974498654e+00 4.620479021658131791e-02
2.453668806394401880e+00 6.836906947581439908e+00 5.266949700110096444e+00 9.105547362170210435e-02
1.879203656960742430e+00 6.340566863373910955e+00 5.412705872119516926e+00 7.142838468402142038e-02
2.245578787430854373e+00 5.487399231676815425e+00 5.225586526162272705e+00 1.238798538695463497e-01
2.024799240953763846e+00 4.617682291185875698e+00 5.491846677080525652e+00 4.374013361456089571e-02
1.993847736487089906e+00 1.054706972613515426e+01 5.277998540934441429e+00 1.341399735613424404e-01
1.960797683991765350e+00 6.310249237588556603e+00 5.383135200702919398e+00 9.486795884373573629e-02
2.011538575509406623e+00 4.952982654826522335e+00 5.346656583368250004e+00 1.236003584549071610e-01
2.373646731500051565e+00 6.238780235035534361e+00 5.362125026642316605e+00 2.207147638700153736e-01
1.420754205308343510e+00 4.632633343305867513e+00 5.431397530239883586e+00 1.220197571703290074e-01
1.836507099627264772e+00 5.786446744862620228e+00 5.249283823535091820e+00 1.025558851963571660e-01
3.111082573760400649e+00 7.160381222834039328e+00 5.446244788076670673e+00 6.196330981088303547e-02
1.827696145839329933e+00 4.494355299614177568e+00 5.446953018453214668e+00 5.162142493125942977e-02
2.031827534314877948e+00 4.749757302715277518e+00 5.380646389829965237e+00 4.833188247454259234e-02
2.170071823228340246e+00 3.285167685913070734e+00 5.435864986550189570e+00 7.506141548918757178e-02
2.316181013730537863e+00 8.348736149611664104e+00 5.372537114375868228e+00 4.977195904178262353e-02
2.555278119799925474e+00 7.927894822186300594e+00 5.314376018002284319e+00 7.226008642650492975e-02
1.669325451342082101e+00 3.881891278532542788e+00 5.447370267774945596e+00 6.270120643824578233e-02
2.863498133045300875e+00 6.698941109711566533e+00 5.418435768149749698e+00 8.614010925100563931e-02
2.321039033101913507e+00 6.338944711972878565e+00 5.408054737386636113e+00 6.916892280594040543e-02
2.706018579349324771e+00 5.787440418997799263e+00 5.444864713753011287e+00 1.624602282400030295e-01
2.042278717093925167e+00 4.737307234351821883e+00 5.506615340509403822e+00 6.221866594801579720e-02
1.878030661806431523e+00 5.412831837071665930e+00 5.432689359236237081e+00 5.913512871692550715e-02
2.277335881530778927e+00 8.492172412657959413e+00 5.341547315956406194e+00 1.390583336738989706e-01
1.968311031537512523e+00 4.710310975148873425e+00 5.583240098949178609e+00 1.166613289163503930e-01
3.300875689959019255e+00 5.085906293226767794e+00 5.327608087714291507e+00 3.535023150031970096e-01
2.758169003464112201e+00 5.404587160495056608e+00 5.338076558371620095e+00 4.492828905909607151e-02
3.039685159763648947e+00 7.817575421915724299e+00 5.447088791154794940e+00 4.185089501410856755e-02
2.303133070384926651e+00 4.281681898505741657e+00 5.289643421410276325e+00 8.814194597585708890e-02
