# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.195096859924881239e+00 5.769742722446109973e+00 5.578203910466734250e+00 6.040943105022351239e-02
1.142991379261081741e+00 7.768147950927179579e+00 5.496989156281420819e+00 1.361859072133889681e-01
1.643237681629527103e+00 5.295151457641771309e+00 5.501678416345699318e+00 1.416536136272596724e-01
1.409893038493269524e+00 4.379571727442897355e+00 5.726374597104248565e+00 1.724094612287799255e-01
1.567085978113800238e+00 5.217888314940594796e+00 5.533927771483165614e+00 8.499608935397837128e-02
8.096649396846971047e-01 5.176131874958754153e+00 5.597162156514170483e+00 2.316979038836025073e-01
1.072189460728034449e+00 6.678260314951105947e+00 5.243056908744564204e+00 8.677025526535793454e-02
1.012866329752613703e+00 1.010042128677874551e+01 5.067531266056301220e+00 2.617451770412004830e-01
1.520359964643451356e+00 7.985170242927702056e+00 5.193369446329576533e+00 1.282065168589307802e-01
9.215805769304797890e-01 9.322685892292090770e+00 4.755781085260418095e+00 5.211037859320928334e-01
1.644959486912752622e+00 4.375572121269107662e+00 5.450139322489514271e+00 1.079242415974422387e-01
8.275808842398014731e-01 5.928798519404743672e+00 5.127296316829004219e+00 1.786324910791855236e-01
9.325827990927009203e-01 5.516772469250534883e+00 4.956369580460298074e+00 2.334231695791297023e-01
1.210520137217394154e+00 9.316632930951385561e+00 5.288515585561324173e+00 1.692905942631933169e-01
1.347790022253662290e+00 4.288456122213533561e+00 5.199785700394776278e+00 8.180734208982598510e-02
8.896748680295354372e-01 4.252871319906904368e+00 5.193416220449478260e+00 1.055444672355911329e-01
1.337268248524942083e+00 3.810643346827785827e+00 5.393188533598822332e+00 2.122600026297705722e-01
9.441204577842723378e-01 5.728380996294960781e+00 5.342329377273983937e+00 1.067986464841357563e-01
8.011944259679559810e-01 4.760456921298586330e+00 5.237643556809212342e+00 2.231457160587126121e-01
1.004607749851920140e+00 4.559463271990042976e+00 5.335958770156750575e+00 1.811734786932563956e-01
1.231831062025533274e+00 8.508299111067310960e+00 5.285879890121496949e+00 1.109903929296062325e-01
9.070288778916973937e-01 4.521887758782893840e+00 5.413332301009574188e+00 2.991887444000773111e-01
1.148563470973617440e+00 5.146872078161563557e+00 5.277447294567154223e+00 1.873027403623453158e-01
1.079325523829977040e+00 1.165230989213080193e+01 5.468424443638727261e+00 5.168529741036118064e-02
8.659625808359616705e-01 6.944117524481129955e+00 5.343729863144116798e+00 1.051999271035662792e-01
9.982665928712106673e-01 5.764147490231956716e+00 5.113564356521525411e+00 1.652460075035155906e-01
1.116919114368637889e+00 8.511975712388320403e+00 5.312810432416231521e+00 1.012224839819161892e-01
9.468326076209251374e-01 6.924559324887953338e+00 5.336083795455596857e+00 7.334035573980905720e-02
9.398245854567364166e-01 8.374895193696682227e+00 5.316552732613106791e+00 4.251965793184417919e-01
1.113572745693852006e+00 8.979911615772953937e+00 5.838103967496245161e+00 4.074997972975161198e-01
1.268889574407356280e+00 4.906659816736837598e+00 5.404068962203007587e+00 5.403295471136384392e-02
8.573939826769034767e-01 4.770287162299116090e+00 5.626521880654360430e+00 1.873482852630522777e-01
1.082173324009173321e+00 6.543872232378523890e+00 5.335733302617316376e+00 1.013467654412771313e-01
1.020878106573443356e+00 3.887160589407220534e+00 5.515168438687703123e+00 1.902072732072899730e-01
7.944320296631606215e-01 4.688909432150786039e+00 5.301773235719808852e+00 8.359470670420104943e-02
1.148889262232268615e+00 6.355974856497688563e+00 5.308235270883070456e+00 3.630713833952855518e-01
8.510313115336758383e-01 4.512745688650098508e+00 5.226320551247535917e+00 1.868629406594143616e-01
1.239055388524522128e+00 4.820748964136654102e+00 5.184678793872047997e+00 2.047777071129841531e-01
1.056774225797980860e+00 3.964129619655985870e+00 5.038398319936885805e+00 2.012123620616522446e-01
1.053230693806253004e+00 4.016945046747418147e+00 5.400051246492007628e+00 8.190628994403725827e-02
1.217384954185517953e+00 6.163614633200825033e+00 5.309654833065025947e+00 1.662691774862694039e-01
1.389732337494500314e+00 7.593505727485038825e+00 5.313150769254249006e+00 1.818508721083969548e-01
1.067707409392409268e+00 9.038285649260638266e+00 5.297502716007256751e+00 1.078376767889665661e-01
8.768018580662304551e-01 7.945603493353820213e+00 5.172850748194449899e+00 8.821272366142932086e-02
1.082970855830717616e+00 7.817157250953389536e+00 5.432326467273164816e+00 8.270754220271933632e-02
1.323978942351144772e+00 6.365137914391551632e+00 5.522568911045636852e+00 6.509280025414557191e-02
1.018868616163917107e+00 5.827884453087154526e+00 5.201055751755095713e+00 2.768349888214326482e-01
