# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.352331314279278995e+00 6.685746028284578202e+00 6.662924471885641076e+00 2.147562265667367631e-01
1.713702164121325922e+00 6.249601138815386037e+00 6.756849990531538452e+00 8.095073158610679998e-02
1.591395167188984550e+00 5.566148367080834269e+00 6.704021144210678074e+00 7.558464736471429135e-02
1.741393617257194215e+00 3.706283393669240311e+00 6.354712319963653933e+00 1.614562443854766771e-01
1.122591193110683561e+00 7.446744857567184184e+00 6.705712190335595402e+00 6.605175568842248934e-02
9.999656734858438645e-01 5.814460335061873764e+00 6.590928546841677615e+00 3.520652134722225546e-02
1.343459228437807740e+00 6.524433810935713396e+00 6.553796341954564397e+00 1.404342547684664932e-01
1.057492016575247051e+00 4.849968665262065493e+00 6.755707780849486532e+00 8.742648586698471835e-02
1.103250140623323272e+00 2.882020546181395027e+00 6.536342837442153275e+00 1.462276067037186766e-01
1.049174085356441077e+00 7.969806801657178141e+00 6.589036959195067489e+00 1.342895041769666120e-01
1.008353800043974013e+00 6.966583559110381962e+00 6.688511132830566197e+00 1.290936790433359904e-01
1.439636522740269653e+00 3.105780494814174730e+00 6.626204450982518424e+00 1.446325499288267369e-01
1.341182380796601681e+00 9.687184567519247835e+00 6.588828243928778861e+00 8.026632235937833371e-02
1.261188606315613692e+00 6.135903623571914878e+00 6.567203684843741840e+00 1.033303097755936956e-01
8.863334301610976684e-01 6.263883840503368994e+00 6.869640394721353793e+00 1.752536390148103085e-01
1.083280353302992438e+00 7.316493580387652074e+00 6.805095689653922086e+00 1.230214514873401443e-01
1.286205463303240260e+00 4.905769969688625665e+00 6.570717722599203725e+00 1.505883632001883132e-01
1.502628054664299606e+00 5.340469878311253638e+00 6.531494246915575452e+00 1.026717781891700598e-01
1.091159950977764748e+00 6.529471900982892762e+00 6.692473561692662720e+00 5.840510496929851580e-02
1.357507750981683303e+00 9.735417252019622936e+00 6.742140119461007330e+00 2.004765191735462526e-01
9.341257124951520829e-01 5.307166955611121395e+00 6.459487832194702683e+00 2.363572398452900292e-01
1.207968919350835391e+00 8.088057024609227597e+00 6.869025791112966850e+00 2.794145894794838325e-01
1.282748958052773114e+00 5.118835870268161337e+00 6.934518586752159486e+00 3.944147839647897946e-01
1.110238286248442785e+00 5.985195674709047786e+00 6.895746582858029328e+00 2.075364367656719888e-01
9.117239680737002638e-01 4.920241736211672823e+00 6.622150945237619268e+00 8.796993943285143225e-02
1.220757878216709003e+00 1.169396173222143709e+01 6.747896060391187056e+00 1.621814292992720952e-01
1.363889677988985749e+00 7.292441174648609525e+00 6.827639460438397201e+00 8.700356624063101951e-02
