# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.858084095318666584e+00 1.085122990043254454e+01 -9.229763944190899627e-01 8.910852414106562591e-02
2.969504519213055360e+00 3.222660935179149089e+00 2.874173264195087008e+00 1.806227485821530754e-01
5.567601589113841953e-01 3.229763250727537116e+00 -1.513126837984549500e+00 2.169928242433129539e-01
9.149935970966035503e-01 3.383378721135274603e+00 -4.179684623377482033e-01 2.099635867904958431e-01
1.080619797808473059e+00 7.287721393274635417e+00 3.857458797522378635e+00 7.634592345210328146e-02
2.360753633490205505e+00 3.419599968707121906e+00 -9.042531450233990409e-01 2.156978267897886881e-01
9.998392915249799673e-01 9.916845897129331178e+00 -1.408546139328967772e-01 1.340395874452750546e-01
1.805464920828270703e+00 4.512336831726510233e+00 2.503878552931631418e+00 1.551975263846051556e-01
1.579779650448108752e+00 9.911930944074006433e+00 2.442829857340402810e-01 4.317451311203417963e-01
1.510470892177087965e+00 7.902969475315357428e+00 1.527647972960380240e+00 1.539795522296307506e-01
4.137678802307963588e-01 5.037009899983376116e+00 7.381933750433486985e-01 7.159660547535029451e-02
3.367030748573891952e+00 8.927946783575753997e+00 1.818255213283680893e+00 7.167842698549109492e-02
1.463737291887078129e+00 5.103460019068034370e+00 -1.175081352269157664e+00 2.478122764979606707e-01
1.240893304130917141e+00 4.434647638422164029e+00 2.743841457065983480e+00 2.218322112436598159e-01
1.176299194069736487e+00 4.010070476290886532e+00 -8.874188422945719079e-01 1.267706279427097682e-01
5.905178633396470644e-01 4.519334487205827422e+00 1.818474873483564735e+00 2.417884976082100568e-01
6.607370173078136455e-01 3.793915232236619417e+00 2.072242592421254415e+00 2.176779389412821231e-01
1.220668887099834787e+00 4.850947646238567224e+00 3.406956399676451142e+00 1.182407608742908206e-01
2.057415567404993872e+00 4.815415989425018140e+00 4.538368930864447925e+00 5.945434486550604108e-02
7.755243103521700654e-01 7.867751224687730804e+00 1.567812021444778825e+00 1.523681758965695909e-01
1.300738677708765056e+00 5.397070574092809991e+00 4.438049982741420152e+00 1.789233169422821679e-01
1.018050657424732997e+00 6.078158260496506315e+00 4.875114107506965055e+00 6.069111586254272855e-02
9.830108977494169675e-01 4.154838400421922984e+00 4.278754949291835530e+00 1.484069671942835900e-01
1.741586828365864870e+00 1.080920160768237359e+01 -1.243425461000882803e+00 1.714114258890719611e-01
1.364870719813070288e+00 4.894707379996426688e+00 1.354603658253958232e+00 3.423398315769332623e-02
1.818394199946568479e+00 5.107248673012393603e+00 8.480002021621015906e-01 1.098454202624650350e-01
1.487087038316873278e+00 5.418553891220759589e+00 -4.956426734205783280e-01 2.439367316696581522e-01
2.399359922362894970e+00 4.343918071656336366e+00 -1.676412056848703536e+00 5.550916274428394082e-02
1.778540034690266225e+00 1.040634916308408542e+01 -1.110577335619746142e+00 1.738195514220322868e-01
1.383411337027038446e+00 3.811856234395110565e+00 4.349767716115653826e+00 3.119094319964896278e-01
1.950019690565666819e+00 5.504431764894471613e+00 3.122558501463511327e+00 3.589811016094067719e-01
7.988456357823987553e-01 4.122170228761032007e+00 3.407194241697484749e+00 1.263458890351101815e-01
1.180607304103213684e+00 9.118476948770201318e+00 2.252987227015212035e+00 8.387899055857911401e-02
1.444418984011551776e+00 4.394813778776386570e+00 3.221982452595859137e+00 5.344194724779002259e-01
1.743949190043571296e+00 3.603556601761001676e+00 2.723145633132042054e+00 5.051292168512930975e-02
9.434355118649040417e-01 2.394841819295383534e+00 3.289990522419727892e-02 1.137456860819563154e-01
1.543791702717686398e+00 7.433558936247711024e+00 1.461419295809635477e+00 2.890684974366948268e-01
1.350513696638435457e+00 7.764335099052698475e+00 3.758916635582865151e+00 3.087834845196265610e-01
1.401176578250878269e+00 4.408616708882372670e+00 -7.370911489487310675e-01 2.569765063642049929e-01
7.760671797760321233e-01 7.119152617209329570e+00 1.824393169942028159e+00 2.764975655958217815e-01
2.220237532167263161e+00 3.841093009490400334e+00 4.696980381549249017e+00 8.035776205929728855e-02
1.847499985595130623e+00 5.903954285769869692e+00 2.677836044423012929e+00 2.202596358357889195e-01
1.118191475907042820e+00 1.031412800195325019e+01 -2.213911022769656789e-01 1.844525338264577374e-01
2.125660924647298167e+00 4.914863159513082280e+00 2.501035733814517492e+00 7.593261633482877027e-02
4.187912999755793453e-01 3.266812049407407326e+00 -3.128823468439813071e-01 1.297059917878388147e-01
1.945588404165255136e+00 8.843263326314675155e+00 4.706397614752260594e+00 1.456383793113968372e-01
1.032004018359593989e+00 3.676110591419068374e+00 1.999934401929087224e+00 1.164674776329527872e-01
2.034873107137341819e+00 9.242974077370474717e+00 -4.615907848139963465e-01 1.629015343237808222e-01
2.091509622100040211e+00 4.998580571165978981e+00 -3.537595905645470884e-01 2.055545199715186067e-01
1.415628430840206065e+00 3.018208038381022362e+00 9.229525231979591737e-01 8.436054131111629661e-02
1.470449419466355101e+00 3.636145557369185877e+00 2.517571466454243900e+00 1.206014238606247513e-01
1.787183914973237808e+00 5.305245479394415042e+00 3.373461811642967323e+00 1.736050730237446715e-01
1.528527502089382706e+00 4.699232925223173041e+00 1.776575062459145316e-01 4.724197995408778716e-01
9.621214852853612332e-01 4.690339842723092012e+00 -5.205017263128897120e-02 1.209362077388587836e-01
2.581871085468931071e+00 5.041001005039021265e+00 4.855212035742339616e+00 1.950885878339967405e-01
1.232081899586908502e+00 2.719665815752760452e+00 3.662773859719016034e+00 2.154570449171178403e-01
1.436010457949061125e+00 5.348335380464066979e+00 3.030181129353394454e+00 1.472115110729537990e-01
1.633321735618009418e+00 6.671254651812562386e+00 1.368198225682780045e+00 1.818549939965308782e-01
2.168576239238810377e+00 3.669784216928339227e+00 1.738644101362410987e+00 5.500368309519572396e-02
7.627070899974843776e-01 3.572109535713464457e+00 -6.818418591627306569e-02 2.178229590385730441e-01
1.543682479002988828e+00 6.886097269575216728e+00 6.090814476914836462e-01 3.779300332801192597e-01
2.531585443579674077e+00 5.893413277887045609e+00 -1.521589485432389477e+00 1.725222029899883269e-01
5.838631925923459809e-01 5.196686710037922374e+00 -8.699098711942989670e-01 1.969685276092144610e-01
2.853370083318591544e+00 7.785045503489461893e+00 2.302506500754673890e+00 3.651855802331892276e-02
1.462685075138828505e+00 3.302124679541468932e+00 4.737115826357562121e+00 1.699791207458942188e-01
9.238200783198002863e-01 5.920562411560169380e+00 2.322617312957056868e+00 1.638421605710910500e-01
9.322384511828174514e-01 3.788621513618093850e+00 3.638634681106998503e+00 2.407336556823550244e-01
9.647919597366665379e-01 5.111425033831223708e+00 1.332644580732381234e+00 5.266801164101671262e-02
1.233695579431428602e+00 4.576302102608937439e+00 1.972474083865243699e+00 4.039193648349302668e-02
1.718782637955508896e+00 4.187136109948895957e+00 5.419520985705258420e-01 2.987611099601351072e-01
1.141856001642115315e+00 6.421858364465284019e+00 4.029418874641207182e+00 1.534700269516293125e-01
7.151227223303797675e-01 4.701770635563903511e+00 3.342039378318936160e-01 1.290180513093356907e-01
1.221914656992473480e+00 6.044268616389407711e+00 -1.438524349403704772e+00 4.822959149633442022e-02
1.651598672360366393e+00 3.988484419025607686e+00 1.471181786206066100e+00 2.400081743411176805e-01
2.758807929144492466e+00 5.662543711420147119e+00 4.093924926512529261e+00 2.684460169396095108e-01
2.081912690928146237e+00 5.421993337271985958e+00 9.276986356660670285e-01 1.440820262153486853e-01
2.201754975743516418e+00 4.953335898259011216e+00 3.076624312358317681e+00 1.150312461706979594e-01
1.308826883256211771e+00 7.073825737561550753e+00 -1.490335061883699019e+00 1.029532368575499235e-01
7.249459977067082006e-01 4.712456163317622071e+00 9.916639608277070250e-01 2.606533127887759593e-01
1.869295895992420853e+00 6.982057165803174037e+00 1.056366674652675641e-01 8.253598864113523281e-02
2.790212791359205635e-01 4.694822481769227451e+00 -1.012283239656561529e+00 1.983326506197176375e-01
9.475554618217749692e-01 4.452886669072697146e+00 5.534177493353046318e-01 1.082890753941274237e-01
1.755147914041753632e+00 1.026363993480834047e+01 3.476204077973416684e+00 2.156633232260130040e-01
1.764395467905426340e+00 6.820178013070416156e+00 3.274120544397042032e+00 2.802014674202769062e-01
6.973689686173997204e-01 8.898123640818324631e+00 2.594402545374306257e+00 2.072119095230023633e-01
8.870569914228088049e-01 3.849243729055401353e+00 -7.675809111476542546e-01 1.427154614724576720e-01
6.596449577902860906e-01 3.105361901730714358e+00 7.830225196327325055e-01 3.180240771738640504e-01
1.191076658998802440e+00 7.254974654982398796e+00 1.720440335488236938e-01 1.725243993520070296e-01
1.058096786006460288e+00 6.824984525966539373e+00 2.947555527184700708e+00 1.912684904625904236e-01
6.442219613324201566e-01 4.490421616024497631e+00 2.363826982821547684e+00 1.430860707238740259e-01
1.115121817296089057e+00 8.511725634545513230e+00 -6.765138603807973050e-01 3.694422578889547948e-01
1.094523550687301006e+00 5.043569953552887952e+00 2.958022703871571846e+00 6.167333293534350835e-02
1.206486738986993323e+00 4.256399479868659519e+00 1.085790235820662808e+00 6.996757811358922385e-02
9.345920062243403548e-01 6.036370111940235539e+00 3.780637523574877701e+00 1.029938243737021919e-01
2.163480243951928728e+00 4.944958194465587376e+00 2.664948242636491660e+00 9.259532133296718981e-02
1.318528588010315250e+00 7.745864502990506217e+00 1.853781221331831208e+00 1.468379820717159723e-01
1.165552027645043287e+00 9.789448851974263732e+00 -1.298810256648670780e+00 7.580707502230420169e-02
1.012061556844131793e+00 4.744807323767833651e+00 3.357905509289285995e+00 1.814962939250831797e-01
1.906386352876153101e+00 6.052872982345806285e+00 -2.967472741372280121e-01 2.218283753034486494e-01
1.177715826425483892e+00 4.763484306493837472e+00 -3.834625873130064200e-01 1.495134825239592680e-01
8.611666701756125475e-01 2.784512881449400901e+00 5.536766429317350191e-01 3.462299272434297692e-01
1.151429768593388747e+00 6.518580904986803759e+00 4.258379264503556527e+00 5.959531472540710584e-02
1.869456545398675562e+00 7.491140712090540887e+00 5.548556271044076560e+00 1.382768098405224300e-01
1.270916231617784664e+00 1.211712674665756317e+01 4.370616999359020483e-01 4.903166524627025624e-01
1.221858886766137520e+00 5.312212863764704807e+00 3.751226984104170104e+00 1.005768434438133047e-01
1.395238750069993650e+00 3.623797100847921726e+00 3.173540927248516663e+00 8.299128867354184369e-02
1.511900976633612226e+00 4.468670800693196554e+00 2.823204689493015618e+00 2.802465051346664238e-01
9.079905475577134677e-01 3.336841619146674986e+00 -6.441175266190144466e-01 2.089293154827625287e-01
