# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.033734611165371575e+00 7.001268547530128394e+00 4.727591527532611693e+00 1.416398476262990536e-01
1.201528616698905871e+00 6.205933922484970999e+00 5.216106208228785235e+00 1.182301401267532998e-01
1.172058800286714497e+00 3.359445344093034969e+00 4.867856812305012326e+00 1.637490514416721221e-01
1.315785424489955613e+00 6.213621696478850431e+00 5.500765186692849973e+00 2.314503191174508701e-01
1.162327086677056309e+00 3.456926906646495379e+00 5.118978537097142123e+00 1.141123157219147005e-01
6.828198985159518175e-01 2.666626026996978815e+00 4.686619082694007510e+00 9.184214032401469274e-02
6.999702148048241312e-01 5.916492235443967296e+00 4.483614027857398376e+00 2.209379888104985867e-01
1.710042787465163139e+00 6.109347071722119438e+00 5.091249115808754055e+00 1.308831003369722856e-01
1.039801835335106839e+00 9.051217591300106946e+00 5.168912205512871338e+00 1.548168685446501547e-01
7.995619683759532803e-01 6.395129567006279103e+00 4.774102507198973555e+00 1.508198079435250083e-01
9.014805648609542921e-01 6.212246581375975296e+00 5.239444796594703746e+00 1.235258695232621939e-01
9.471714092244707395e-01 9.286882461190895555e+00 5.079220769961312776e+00 5.387368797926146702e-02
1.294317954824109718e+00 6.626365273835110870e+00 5.431517762697180451e+00 2.068961499297372053e-01
1.134021694442316042e+00 7.155337376009230255e+00 5.298703752973292325e+00 6.855194903088876468e-02
1.511176204410194845e+00 6.501335597094928254e+00 4.999762118675020517e+00 2.464115070061665136e-01
1.940937162761950274e+00 5.820884289984864068e+00 5.479472663817991140e+00 1.062396371668698769e-01
1.412466428765884130e+00 7.103987988814187915e+00 5.794892393506901662e+00 3.577488266089254854e-01
1.106449174184084283e+00 8.508051074828259175e+00 5.124847981659461205e+00 1.491057889147230919e-01
6.869742068991735451e-01 9.393788757788806620e+00 4.241738663816962962e+00 8.739042329136700871e-02
9.769998974876686892e-01 4.870831001871901655e+00 5.066587153492616125e+00 8.504825986626302070e-02
1.517302893533859720e+00 6.200669693122788928e+00 5.462312068672783738e+00 1.016223314771660946e-01
1.288127339818430084e+00 4.654121377124519121e+00 5.308593825187505111e+00 1.664675980948210343e-01
6.720380646119269441e-01 7.904519575322868086e+00 4.048887617897176661e+00 1.771571959124646489e-01
1.002756369996683272e+00 4.232220767565453734e+00 4.843507602010155288e+00 3.457566889524066878e-01
1.163148405124499130e+00 9.917217447423794852e+00 5.285865941663304035e+00 1.675270000542495863e-01
1.694951250218320604e+00 5.604676922459329802e+00 5.385283155488135520e+00 7.749996749880140590e-02
1.003802119811933569e+00 4.068395830127560231e+00 4.733894313159219713e+00 3.649476655821973781e-01
1.077468768031546009e+00 4.299144856179316854e+00 5.009681024857758125e+00 8.279798144282490835e-02
1.409016765976521590e+00 4.164511329512891713e+00 5.006739691306528073e+00 2.214538308123836785e-01
1.332490825297008907e+00 4.228730068550827781e+00 5.251621946596589652e+00 1.464960960647702370e-01
1.319742733368573173e+00 7.228746349421514061e+00 5.133716504742131370e+00 1.680029533720335810e-01
6.810742723064717730e-01 6.552861062499615308e+00 4.441593515471427445e+00 1.588199125373124798e-01
1.025853279031381682e+00 4.195486855665012449e+00 5.478113244222508449e+00 2.060750765828072428e-01
1.299277283249199666e+00 5.070023138680325836e+00 5.241132986338812749e+00 3.475607221602566854e-01
1.154033586450443849e+00 6.122998912551928186e+00 5.414748132014496562e+00 2.309122643664324182e-01
7.978735682462312351e-01 9.349199299713937705e+00 4.881889043880321744e+00 6.958834738636335282e-02
1.059563265071579385e+00 7.366929968625195002e+00 5.170081539338387877e+00 1.266788051494840972e-01
1.170798387445994848e+00 7.827771902016868566e+00 5.121944614246296545e+00 1.878135231601275046e-01
1.366326624867119754e+00 3.824112898545427797e+00 4.952584120596656980e+00 5.433092205689135645e-02
1.867676164401178562e+00 3.831096659880346422e+00 5.321146949048690011e+00 3.653925495193677264e-01
1.557740476697909715e+00 2.167825364669014210e+00 5.456109542975419835e+00 5.275253010674343240e-02
1.793807028558776606e+00 3.536034254139386324e+00 5.194675477267444386e+00 6.772685131989374108e-02
1.433677898560755004e+00 6.475027933564887483e+00 5.244357828214027073e+00 2.459134374920088073e-01
1.585697998229254946e+00 5.987684692641017214e+00 5.065037729732427607e+00 8.964931679404862519e-02
2.117514429390103814e+00 5.823644679811708968e+00 5.492644303287839591e+00 1.180534577644631322e-01
9.295487244342637290e-01 5.003986349323182203e+00 4.809079686922942187e+00 2.078275770417552792e-01
1.058000853117615492e+00 8.010300765723680883e+00 4.954363812746716000e+00 1.353221374771580443e-01
8.258791089137130781e-01 9.278182185625720280e+00 4.361504686373759654e+00 1.675116378423044672e-01
2.297482412292054299e+00 4.357454913035470057e+00 5.207466745341074343e+00 3.249821688017651700e-01
1.371281512841136419e+00 3.877943612989666278e+00 4.019710666491625339e+00 2.269634701479384120e-01
6.533884128163107707e-01 6.981601824898555186e+00 4.661065802520456103e+00 1.499953746345079018e-02
1.465503604257913706e+00 6.909578218921492265e+00 4.847646206869644203e+00 2.008926954938394238e-01
1.243506172303263213e+00 5.021091899227444699e+00 5.130438765022954151e+00 1.217356965699522842e-01
8.656071038472239465e-01 6.569071249017394365e+00 4.602807490805581381e+00 1.904734645805586102e-01
9.200947046946119645e-01 4.228501850549084118e+00 4.915841981603956690e+00 7.179222653475111904e-02
2.004938093374177388e+00 1.063989264578796146e+01 5.257713322102191000e+00 1.225654251037175818e-01
9.969317147627686504e-01 4.057113342619389940e+00 4.713326478866769698e+00 6.330382888431024258e-02
2.435423521546862702e+00 1.107233389165131854e+01 4.635403081750395060e+00 4.507257442205120368e-01
1.212566032081851430e+00 3.642851386348087139e+00 4.884532641044865287e+00 2.456980908632601102e-01
6.957664713948348290e-01 6.077929172760905274e+00 4.910464477203896116e+00 3.489183735183499224e-01
1.549071131107578214e+00 8.208906830072614014e+00 5.459806104733128329e+00 1.268181877660808365e-01
1.094764464773726909e+00 4.094317342508533741e+00 5.270355234286041579e+00 1.291228228420683022e-01
6.268108616363226027e-01 6.958215827641603290e+00 4.341590097504250068e+00 6.611489083130057953e-02
1.727665415423724093e+00 4.786758300165186775e+00 5.274093493519778519e+00 7.991462050612768708e-02
1.088168699734191058e+00 2.845763746530282301e+00 5.035239756711249015e+00 1.076560616347283783e-01
1.032551649424129137e+00 9.176816401131997480e+00 4.846236727997585980e+00 1.615818027415232283e-01
1.132520462464626787e+00 7.121994611394603325e+00 5.013754988619536945e+00 1.526033442303541543e-01
1.511654987977751663e+00 4.588991725652385334e+00 5.307035595999304078e+00 3.520224998950749473e-02
1.071269445362515338e+00 6.318135352890241307e+00 4.895044936153038151e+00 1.777769835621927086e-01
1.246178335449460661e+00 2.208767006679916989e+00 1.137000128387702091e-01 1.792603253116653028e-01
1.242243054569884375e+00 7.785603652270994601e+00 5.221912900042783079e+00 3.208402980813458982e-01
1.784177020708781258e+00 3.646120137283201057e+00 5.516984701342609654e+00 1.483218929178621304e-01
8.393235498489024504e-01 1.065378803373001126e+01 4.587873097027224567e+00 9.794666697964798940e-02
9.997962520055645452e-01 4.300479580194898510e+00 4.908089285172052563e+00 2.614876193886767064e-01
9.957619196349523083e-01 4.224013273841639382e+00 5.042458506928219286e+00 1.710254320848136333e-01
1.667733516920256509e+00 2.613229113460562303e+00 4.856401246455333442e+00 8.104322292715393505e-02
1.101294382790639181e+00 5.321511681085413947e+00 5.276504678671856574e+00 1.159678737797192882e-01
7.606962520502631442e-01 5.781857846656721200e+00 4.761448156458435221e+00 8.524846494978254030e-02
9.265901754447466443e-01 4.453567367958887857e+00 4.234062122872595424e+00 2.537850780990847932e-01
1.057454620306374382e+00 7.111052120751652161e+00 4.918633414989154851e+00 8.288661509683739603e-02
2.117605147192998860e+00 3.638702265780391798e+00 5.125881420164864366e+00 1.370571761666738719e-01
1.804015239843027585e+00 5.773745858476147852e+00 5.381745257620363709e+00 1.794661742992121611e-01
1.762399715518007115e+00 7.280221183307336474e+00 5.582019767042925018e+00 2.165727444213162434e-01
1.084275161681018673e+00 4.032979511293234509e+00 4.501669556773886249e+00 2.811519142820779193e-01
1.212050574014103210e+00 7.306364534791236487e+00 5.416355429610160144e+00 2.305524702164535589e-01
1.760577777405000655e+00 3.583929280003013584e+00 5.371405466443825105e+00 5.803577409072777082e-02
1.250590481548769395e+00 5.630587229757059831e+00 5.098870549368392346e+00 2.900506436731113344e-02
6.511675128371247068e-01 3.682142318346433019e+00 3.673481838932073806e+00 3.464618120477854224e-01
1.396885679756673326e+00 4.988092394798140816e+00 5.341126533600839110e+00 1.941266616163732917e-01
1.374133071152913832e+00 5.604953135598083058e+00 5.549606477682292649e+00 4.663793722039370759e-02
9.717118924169556582e-01 6.413485038372117586e+00 4.409567211186136149e+00 1.997196836157514310e-01
1.556782173807264691e+00 4.590448420250169193e+00 5.415167995140017787e+00 1.794355499873045989e-01
1.139900047808956707e+00 3.681993817141893999e+00 4.524674455160917930e+00 1.268241212570805632e-01
7.962668752197066269e-01 4.998010581444104261e+00 4.614172854993915607e+00 1.570555215676143201e-01
1.542198592809214563e+00 3.344137813033016382e+00 5.540261565405931954e+00 9.168413993777016491e-02
2.365594500428643610e+00 4.662087661286022922e+00 5.630600986706576272e+00 1.749245444786272363e-01
1.029260195144480861e+00 6.527594081078368582e+00 5.132754211665550237e+00 8.797180379179651843e-02
1.120065948891995067e+00 6.188030115507469731e+00 4.492611257419548032e+00 2.431968426747375123e-01
1.050440708344731355e+00 6.238867865890624032e+00 5.086619797228192574e+00 1.782337561637272194e-01
1.512126905488747175e+00 8.810938997105496995e+00 5.432828109447985554e+00 1.251522619832065586e-01
1.196224888535079023e+00 4.993129801960963121e+00 4.529679357909201620e+00 2.237286598964281503e-01
8.407223214051784410e-01 4.693757923391701503e+00 4.776274177344801863e+00 1.564807010336657922e-01
1.630137791916276724e+00 7.108245847394945471e+00 5.311778617678290182e+00 2.659236161017859423e-01
1.126760339227005803e+00 7.844125323861186772e+00 4.872057888795146674e+00 2.657265016545783953e-01
9.968101547705482401e-01 7.423569577245534568e+00 4.764669384899218763e+00 1.596361479672246952e-01
7.915334663529661752e-01 8.963820058614322406e+00 5.170554624230545571e+00 1.138707965114073156e-01
9.963112568328517105e-01 5.876344225910750119e+00 4.883180097772403805e+00 2.763462205654579340e-01
1.424047170457450440e+00 9.488642242767266310e+00 5.437382104869545429e+00 8.329508100561497375e-02
1.255839175395506047e+00 3.820070450701384512e+00 5.301620517452016124e+00 7.798165430133739695e-02
1.214291786776001025e+00 3.828007303518300652e+00 4.976183058149070249e+00 1.785748506698701110e-01
1.941621969523774194e+00 4.363847701727155304e+00 5.271934696908365581e+00 1.846710305146005149e-01
1.285104649276987532e+00 7.970354019297532844e+00 5.122756019321418997e+00 2.297612376332244799e-01
1.211278937546457879e+00 9.994858396729318528e+00 5.311718953448917979e+00 1.413629030691040955e-01
2.910386686802568512e+00 6.942778817241591405e+00 5.502952598913258164e+00 1.609357594588164964e-01
1.047742957393664742e+00 8.460607709881347915e+00 4.571544008289945893e+00 3.079724563848323937e-01
1.255839175395506047e+00 3.820070450701384512e+00 5.301620517452016124e+00 7.798165430133739695e-02
1.930118906075024787e+00 6.485572313287272905e+00 5.465332473302275673e+00 1.948018083755359842e-01
1.195397546052196835e+00 7.031067023172268726e+00 5.375525548293611955e+00 1.363036680886420549e-01
1.584396188433966124e+00 3.026768161512507493e+00 5.317054988355864431e+00 7.670500423038829896e-02
