# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.156450211788965232e+00 4.396652580922062015e+00 -1.230210298703105637e-02 5.913570707933052395e-02
1.044880642108261259e+00 2.812131374190813826e+00 3.707721310834284800e+00 3.094634135032280908e-01
1.893372412166036689e+00 8.855031351976901277e+00 3.402965162509649089e-01 5.792522635028012762e-02
2.250182717940009791e+00 8.145676420849159882e+00 -1.401135599224290207e+00 1.026497779993963133e-01
3.232780991316546171e+00 3.483973625427772447e+00 5.620354184998272551e+00 5.204568210614519685e-01
1.308984774021110464e+00 6.287208145117027414e+00 -9.811762713066940478e-01 9.683337482861031908e-02
2.184492907709588927e+00 7.844661795840234930e+00 -1.139335181475209069e+00 2.312477718494153622e-01
1.066026402184603983e+00 3.143606224960659556e+00 1.451983593458993527e+00 2.634449425215128482e-01
1.374420742965536846e+00 1.031666923100876332e+01 1.640648555252823382e+00 1.654110147830565869e-01
6.348702258191966097e-01 1.048522661648581433e+01 2.008705648361883256e+00 2.477645733006413054e-01
1.124304920323813128e+00 8.378911806933320605e+00 1.423015092082534405e+00 3.501528334799562936e-01
2.320965562064656762e+00 9.829269174937623532e+00 3.549938131247138529e+00 2.103106850374414916e-01
9.948980003925522730e-01 8.295183791156059527e+00 2.621821302951625299e+00 2.310492735204950909e-01
5.726370946804988371e-01 7.392964808111295305e+00 1.710644677772566125e+00 1.878307672448701615e-01
1.850523423014073687e+00 9.812298815033184241e+00 5.253177238463876186e+00 3.045151824009381114e-01
7.707743709608992910e-01 7.636563716626437071e+00 1.620554933736750192e+00 1.226422036660847481e-01
9.247883077319092315e-01 5.802289696253750684e+00 4.618339219854651567e+00 2.627241653135057309e-01
1.270807778687937262e+00 8.975606565988773156e+00 4.125305411583099158e+00 3.631624300981659559e-01
1.796117819638375357e+00 6.638458988639803771e+00 -6.846281388048526262e-01 1.511379463736527706e-01
1.381933483343872338e+00 5.767290031505948100e+00 2.391622441657518028e+00 1.372491314577865829e-01
2.218826503771844649e+00 3.898945723250593076e+00 3.332219046011645869e+00 1.698860481014972945e-01
1.458523208137778582e+00 5.286690980017815455e+00 2.335673973065608422e+00 1.694680594985191191e-01
1.709901889329211500e+00 7.817585080672555975e+00 1.048825534428795780e+00 3.827541543585976092e-01
1.348395554641537819e+00 7.805138300723103661e+00 2.396458036401973413e+00 1.759590314980666592e-01
2.439428699240248744e+00 3.126460987534201763e+00 -9.346078057600067934e-01 1.093368421150749392e-01
5.570787312603131536e-01 5.668033094606776068e+00 1.873520347644893835e+00 1.084413034316068364e-01
9.372285152610713155e-01 3.997144805029101633e+00 2.146173033151271614e+00 1.376039184546304639e-01
7.672886785587316183e-01 2.889251377877223081e+00 -2.283031999617663454e-01 1.211035994572665780e-01
