# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.721552491025922116e-01 2.812636977767303925e+00 -4.041782739659297019e-01 2.995351892595528587e-01
5.594976018226456294e-01 2.525352321370053943e+00 -8.379587067040777937e-01 3.327781426028927347e-01
5.207418871465856469e-01 2.567946093159838572e+00 -1.933559099719615482e+00 9.099140534589084117e-02
4.758012681184941584e-01 3.190223840444008196e+00 -1.822853510008572542e+00 2.413073013271928857e-01
8.220047258610005958e-01 2.375293812243416181e+00 5.537927826481212623e-01 2.685766231236678681e-01
3.871910150197588885e-01 4.020013583369286714e+00 -5.889614268108016581e-01 2.059373918183416419e-01
8.677188103970970845e-01 3.471263977465516071e+00 -1.605481566282146000e+00 9.819975491594151729e-02
7.041734667202701470e-01 3.313866956193972868e+00 -4.672914179981464411e-01 3.781650624343339817e-02
5.215020747272306467e-01 5.676261560690181618e+00 -2.896522569975193973e-01 2.596273516588474273e-01
4.171506257121075922e-01 3.239763594990598516e+00 -1.000397106916849355e-01 1.826630076097850719e-01
5.900116177493730518e-01 2.907552322628199182e+00 -1.125937885616830197e-01 1.781294723957044801e-01
1.265195809593609777e+00 2.920036940452509722e+00 -1.445818513219530921e+00 6.019821807965690386e-02
5.667324422115547211e-01 3.662039364213126813e+00 4.754169653763168357e-01 2.257733613785175009e-01
1.201519479927915857e+00 3.545541224060694496e+00 -9.577779910509174321e-01 2.436929659538832060e-02
8.458124683285100920e-01 3.515288834416609554e+00 -8.277632229438094402e-01 1.076632589034807047e-01
1.367631860411487210e+00 2.701730180839848838e+00 -1.124467465775325525e+00 8.632092467080430820e-02
3.829370897559601361e-01 4.549984431792353234e+00 -1.023193163573735243e+00 1.935224113460498607e-01
1.025967173527736920e+00 3.338279201436959109e+00 -1.144096776329203591e+00 3.797278662923763148e-01
8.508008122764558756e-01 4.166502091273686759e+00 2.041239098207111802e+00 2.131517572740693200e-01
8.221151552673917617e-01 3.417279695405579965e+00 1.677990179348502475e-01 4.349190119806070065e-01
6.374887941544056247e-01 3.077361627369669339e+00 -4.666283639912962578e-01 1.884259657624814954e-01
6.676361605065720406e-01 2.228304085728961326e+00 -4.415584913166445968e-01 1.842739211766426521e-01
4.940546182861626501e-01 3.261040326566188696e+00 -1.724623577177835099e+00 1.645373965874971367e-01
5.287879975546206923e-01 2.886129418284619330e+00 -1.671374781391338882e+00 1.185409361736005085e-01
4.907802868685600117e-01 4.357529699890535291e+00 -1.029806423927465131e-02 2.132640771792581047e-01
1.650754734507142940e+00 2.664575290841648680e+00 -7.404993278759672837e-01 3.279144573970582677e-02
6.129866564555898067e-01 3.488384171163761316e+00 7.054680178874963570e-01 1.190560397308027124e-01
1.320546019566782636e+00 2.069759522535556506e+00 2.201893891545098736e+00 8.797160824440675153e-02
4.618157296003159162e-01 4.061825830453366315e+00 -1.328700698858939377e+00 1.579746601188418698e-01
4.030796755027212241e-01 6.942357548028686764e+00 1.647656488348469228e+00 6.978622023206425273e-02
1.618291439423872324e+00 3.421659461430404114e+00 2.471813929365786477e-01 1.429470394026761404e-01
7.921757966050694266e-01 2.631253589040955188e+00 6.455288947656204757e-01 9.552650488523949102e-02
4.749999998490851416e-01 2.661737000890442406e+00 -9.434717535300757296e-01 7.422452365171226807e-02
7.731462901139366517e-01 3.762613330323342442e+00 3.416940043949495687e-01 3.213434679102530334e-01
1.320893794401303056e+00 2.908457781514255824e+00 1.913019246613725244e+00 2.708714160210446420e-01
9.226658025533254204e-01 3.036091626224772355e+00 4.273591186224898752e-01 7.886994191572296864e-02
6.481370378918284159e-01 2.634595851037641268e+00 -1.075648562495559624e+00 1.460810278417238317e-01
7.175099917341818401e-01 3.189678973904177983e+00 -6.847403081161138605e-01 2.484455518597096790e-01
5.205854124825188833e-01 4.217132540246832484e+00 1.326944815258867871e+00 1.325577188807599560e-01
2.760363477265562748e-01 3.537175050008253496e+00 -8.962651825453865628e-02 1.476627669922211394e-01
4.087287393942957703e-01 3.388433265762987645e+00 -4.359505507201452690e-01 8.664601542553262981e-02
7.260657891059640878e-01 2.551875402782064040e+00 -1.356206902769739875e-01 2.855320628224045088e-01
8.731283896015793466e-01 2.308604301620894361e+00 -7.061266505059887733e-01 1.387649238677450270e-01
6.278023478683935066e-01 3.721406799239758367e+00 -5.087439428329377789e-01 1.093551411575754695e-01
7.041562856633899470e-01 3.148360919819534587e+00 -2.812446245019711855e-01 1.548242498937102973e-01
5.409869048165579786e-01 7.148392689383626042e+00 -7.928856592559380134e-02 2.237657808737088527e-01
5.397216391734273033e-01 3.504163091399752350e+00 8.558617568126608566e-02 6.395242689973476558e-02
8.458956386882159340e-01 3.441187903507314516e+00 2.107916154406117570e+00 3.463184186348740035e-01
1.010433088957945813e+00 3.391241488117317182e+00 8.198641494637133320e-01 3.209469072495076958e-01
4.807305037600215214e-01 3.155978936946798985e+00 -1.527856211873487968e+00 1.428026106408381013e-01
1.701750629524201086e+00 3.691996435594012471e+00 7.953042622440509302e-01 8.117094855483258931e-02
9.541546251018249158e-01 5.518804589099446822e+00 2.459487877391667077e+00 2.440593432042776623e-01
8.952509122317586776e-01 3.718619518824393566e+00 2.154593567278007438e+00 1.241012608832463282e-01
7.616310413658079481e-01 3.475064433650739026e+00 7.310059586984710145e-02 3.404710592933646307e-01
8.163727898527830540e-01 2.459991529447996150e+00 -5.643505210516175374e-01 1.498447554576232965e-01
1.428172985486352742e+00 2.494404018129150025e+00 -2.312533058053289903e-01 1.911925829890240014e-01
9.602747920953229599e-01 4.009537152245302494e+00 1.006497940677870684e+00 3.827194341682112894e-02
