# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.135902244938496120e+00 7.481184345873493236e+00 -1.881621471919985078e+00 2.261551531264248127e-01
1.623561425455096074e+00 5.148701499814000826e+00 2.591820314785182600e+00 2.870810511835550916e-01
1.601113344512800740e+00 2.849357379069540119e+00 3.762118872144860404e+00 2.862865295628332363e-01
1.303514953974946877e+00 4.212808784151756747e+00 1.290935826076605730e+00 4.501745786733846177e-02
2.213974361460115947e+00 4.069762155429621941e+00 3.309166333487582712e+00 4.903409672780473239e-02
1.113570960753494710e+00 6.341645695614171352e+00 3.567575919693082298e+00 2.566215644728859768e-01
1.192660755114837823e+00 5.042900050020430847e+00 2.838333630528311780e+00 1.868484050249258344e-01
1.652014215893108595e+00 4.976763998971941660e+00 4.235961574133263241e+00 1.452209081193356621e-01
1.203369276693074585e+00 7.579632788990508629e+00 2.609434410918962666e+00 1.215362991351554983e-01
1.634287488125690802e+00 4.245854360905410019e+00 2.987522767097898324e+00 3.849309944270862260e-01
1.124697710638541626e+00 4.508657748423174461e+00 3.054056990678020611e+00 8.122153501779122431e-02
9.943970324662658733e-01 1.234045902315826027e+01 -2.136357079035751116e-01 2.193312736568461263e-01
1.455343315862388520e+00 8.534771183191189436e+00 3.011600854405423799e+00 1.594960174246080331e-01
2.072088892977709929e+00 4.911734295858382282e+00 4.315108311199512769e+00 1.258800758772047057e-01
2.036512041224976421e+00 5.708979267126556678e+00 -1.957248739370297530e-01 2.926113657317886418e-01
2.253193295299162902e+00 4.116980598675402447e+00 2.470904988751478015e+00 1.493269139711994042e-01
1.902994740576304356e+00 9.472165386951967747e+00 4.309549830504863510e-01 1.629862791914513109e-01
1.848667283385590832e+00 8.256089252987855787e+00 3.199115419074717082e+00 1.055198906300356815e-01
3.256895482835274969e+00 3.057549618817452242e+00 4.927779069555054292e+00 8.660505502199390693e-02
7.618773331909685087e-01 5.821798861516576551e+00 1.149839365879699482e+00 1.005616925667994210e-01
1.716693583115120658e+00 3.542556459901473609e+00 5.372426531978851116e-01 1.583132830283149328e-01
7.578912338546449634e-01 1.115732908096771148e+01 -4.677600346566516132e-01 1.229943867204310870e-01
2.345243596365928607e+00 7.837108114079490484e+00 1.772037595580369773e+00 9.580090235790336695e-02
1.413239513526910240e+00 5.872723549684160993e+00 -4.795988464187642686e-01 1.979031887135168366e-01
3.492668420149604991e+00 5.715725882185672901e+00 4.056209367118456477e+00 2.239004963468355647e-01
1.472071621761967375e+00 3.921255660082435313e+00 -2.598320471984705282e-01 8.911085960318551602e-02
1.841285180462294280e+00 1.037149106339431093e+01 7.927008444813208321e-01 1.781825392067596381e-01
1.249566794266065539e+00 6.922725397276070503e+00 -1.461612367726490280e+00 2.093167019942285545e-01
2.939355949627157294e+00 8.303353239416136233e+00 -1.104791370683051666e+00 2.776885525840501745e-01
8.664059560838429652e-01 5.581779685098087640e+00 4.687035862393137964e-01 5.416764846307953185e-02
7.237184759535451040e-01 4.309792275021728791e+00 1.449349311897957904e+00 2.575031802632736788e-01
