# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.312217298790945064e+00 9.543959031994702968e+00 6.399317625872848581e+00 3.255691685154354920e-02
1.358562340825435255e+00 5.723624447933723935e+00 6.258977073719546702e+00 6.811355548614154987e-02
1.052542399906638559e+00 4.313127598708305754e+00 6.372454599192042934e+00 7.288962202594768958e-02
1.100679335864722663e+00 7.015064141590369395e+00 6.187869793046960609e+00 1.607082091268433599e-01
1.103682601208265446e+00 5.276968780662175007e+00 6.336136281259667768e+00 6.554103862187087015e-02
1.102455435147871921e+00 7.890195984750895342e+00 6.505367910757229311e+00 7.528229509889095006e-02
1.363572084339668145e+00 7.879479920653267300e+00 6.211668313818024423e+00 1.170185946279848899e-01
8.845293055986480635e-01 4.433625355716369398e+00 6.447422869686972646e+00 8.838950483235527567e-02
1.298394107452934820e+00 5.890372392854687611e+00 6.384766795296786590e+00 2.512166853972848668e-01
1.182587945947860764e+00 7.427080163058182194e+00 6.351991694663150945e+00 6.896962707034284823e-02
1.086798766452492959e+00 1.025275961802638136e+01 6.386675965382709208e+00 1.397423437515563638e-01
1.711252959849733912e+00 3.864822405526898486e+00 5.924667042087724766e+00 4.243639088779899149e-01
1.081050525751011238e+00 8.568151963260728365e+00 6.338111924659875385e+00 7.044247185937488331e-02
1.412481562238850463e+00 5.879260096534896007e+00 6.252181085220193779e+00 1.704348340710271636e-01
9.518161001157408041e-01 5.599907267470159766e+00 6.439027816452319364e+00 4.197997708800513955e-02
8.305261097390643776e-01 6.884665686453799616e+00 6.179043357573066331e+00 1.253471301606067234e-01
1.163261091231849953e+00 2.875487746960393665e+00 6.237767964420322109e+00 4.216408973776747393e-02
1.401139846248916410e+00 8.153358709330360554e+00 6.237846569551951603e+00 1.201763896292999817e-01
1.342453165778749069e+00 5.166902418346965398e+00 6.384675971069156297e+00 9.149351945280323473e-02
1.427130915730585814e+00 5.639962836066396257e+00 6.133419180004980653e+00 9.435975174601329840e-02
1.379171897654577261e+00 4.463948359325748960e+00 6.372939051805024846e+00 2.070743808977446726e-02
1.282842731042291184e+00 3.067024502423460142e+00 6.515837258739225035e+00 1.928142013128094634e-01
1.409937075196969314e+00 3.987482017291238190e+00 6.302720867241401237e+00 1.134021139519137272e-01
1.237053858579227228e+00 5.702419190606931032e+00 6.363186151707627580e+00 4.464832078524042652e-02
1.138260325516429194e+00 5.240719583091006939e+00 6.217027758055326814e+00 1.700402647327117767e-01
1.199531166518561287e+00 5.356765594901908401e+00 6.236971034166058026e+00 6.292233011443026935e-02
8.987700266706077912e-01 4.862697128607631036e+00 6.240808393796656084e+00 6.049383822972429631e-02
1.261379641732705004e+00 7.718072955759286202e+00 5.814680658123624113e+00 1.711476379493871158e-01
1.356741543372726122e+00 5.736514429582629582e+00 6.242657529714850995e+00 5.595700047147127154e-02
1.237381195424197777e+00 4.100377306707652991e+00 6.526895796408317629e+00 2.331100685466342692e-01
1.187549279014305181e+00 6.273688442582288971e+00 6.396118211571167222e+00 1.151864926115999666e-01
1.777626053053819044e+00 3.942274703550790349e+00 6.384185616274992370e+00 1.088786098648560630e-01
1.020173479084356405e+00 8.286269618990738550e+00 6.259835827493044569e+00 1.301703489716469764e-01
1.685069009549858166e+00 5.625509023015994536e+00 6.299333553248732898e+00 8.716252110926886454e-02
1.148531920263414552e+00 6.589135394315216665e+00 6.326088393728540815e+00 4.784472962805937785e-02
1.559150027426603469e+00 8.659692329938788902e+00 6.428782675227727950e+00 1.013994870187887587e-01
1.655793595870472812e+00 5.719372855216969143e+00 6.160524790835092190e+00 9.136256979176092530e-02
1.620576976263488733e+00 3.691049289393980359e+00 6.184270153078121446e+00 2.400902884856975228e-01
1.196080559414966826e+00 6.997532008541680781e+00 6.401563816059093526e+00 1.193506020450380428e-01
1.046791088989562413e+00 5.088979069963799340e+00 6.335554631402419368e+00 1.448962151530888143e-01
1.139190887035452571e+00 4.756126960902263612e+00 6.323766918078649546e+00 5.314692970274869505e-02
9.982438338516215204e-01 4.018922505134542078e+00 6.309030243573850782e+00 1.912782763241146211e-01
8.250666234999033399e-01 4.612454393351709037e+00 6.293771640780386534e+00 2.406011553817171897e-02
1.222654244476534258e+00 6.512506288208918193e+00 6.208036942702922723e+00 6.904178611457217896e-02
1.106867639067979470e+00 4.642467394715024120e+00 6.338409060332232059e+00 4.282873331249919396e-02
1.250054328031662498e+00 5.052133771074672097e+00 6.278556571209869652e+00 5.621689016845642789e-02
1.279781633812048902e+00 4.706594000192853677e+00 6.373856628763166832e+00 5.462600011878578077e-02
1.494497732907707155e+00 4.270400413732847511e+00 6.277963195622134229e+00 4.897589192083500603e-02
1.314459003035243878e+00 7.010425360867705180e+00 6.136470224663549189e+00 7.651817776730221454e-02
1.135309085567253629e+00 6.867186804860564209e+00 6.096836748256158067e+00 2.857517007331810688e-01
1.310682606488056789e+00 3.386173179339371231e+00 6.233626634250255982e+00 7.358422453583969569e-02
1.225677960582945536e+00 6.536470885899015038e+00 6.232998890872742059e+00 8.388864238507609539e-02
1.030848925119595139e+00 8.321156775598353761e+00 6.217319982542532486e+00 1.006287031525129605e-01
1.142198900167238795e+00 4.518716531190810848e+00 6.523322072703495955e+00 2.280457620451530332e-01
1.166150213277127978e+00 1.341037720234998076e+01 6.408201766777780861e+00 1.814607335435445834e-01
1.495350437547933842e+00 6.664905399144181786e+00 5.911508793785938742e+00 2.486254526541711862e-01
1.252577682995963615e+00 9.769456328740874440e+00 6.272301088650547030e+00 1.990042083611689161e-01
9.905797434516125932e-01 5.101002597309033604e+00 6.199058702336012416e+00 7.425022656241329899e-02
1.394477218906602811e+00 6.156456845790922117e+00 6.388965001683516221e+00 1.231485145806133219e-01
1.296066327626408388e+00 6.037155250102076209e+00 6.173994781184896752e+00 1.370756976756497547e-01
1.119711927066170398e+00 3.590939510978700344e+00 6.358805136113168999e+00 4.833839539333151247e-02
1.069787861570660414e+00 9.051897025068516456e+00 6.828764728148030372e+00 4.233666053437884491e-01
1.125309797826743008e+00 5.942210882623109924e+00 6.349608876431782178e+00 6.757364741483598558e-02
1.692121479053194211e+00 3.424552748990809192e+00 6.223782674791541680e+00 1.299592711119204047e-01
1.074472814154018074e+00 3.799891586026876045e+00 6.330281271175975277e+00 5.364995921558042558e-02
1.076033130070186195e+00 1.342627032564079848e+01 6.310627673723342212e+00 2.913404287376127055e-02
1.184160269210482230e+00 6.013539915847773365e+00 6.184259987392380253e+00 1.154911145936711181e-01
7.184763900279522719e-01 3.792430417741372572e+00 6.415929318706895756e+00 8.760126189683135889e-02
1.965360875106728633e+00 3.732037069100785587e+00 6.154859015256927357e+00 1.590647646554970152e-01
1.179747115643723587e+00 3.930896325916636069e+00 6.267141690945822852e+00 6.608120266251461816e-02
1.742643772675062319e+00 5.310187799573060197e+00 6.317963618331313924e+00 2.283412052499125128e-02
1.347826246139685713e+00 6.460816412143517873e+00 6.340938154616665656e+00 6.545400941316741050e-02
1.221563073801122501e+00 7.694789894742203096e+00 6.424401286884256379e+00 1.420676370514239173e-01
1.348430222068227158e+00 5.614092330666855091e+00 6.372972795885339714e+00 5.568548914126479621e-02
1.084687831385481305e+00 8.429258316907395354e+00 6.353346849087897041e+00 1.050372577602667057e-01
1.292300085320052805e+00 6.349813071614017979e+00 6.338134896686226760e+00 1.841933479156449005e-01
1.285253419672953923e+00 7.095859814953024092e+00 6.527224216691695169e+00 1.939873114989748848e-01
1.574851213518598136e+00 4.433973369134386999e+00 6.248105486111928286e+00 5.146011829306203905e-02
1.086087721658519634e+00 7.177611783166351955e+00 6.274327093719256787e+00 4.879394268678439311e-02
8.861009258077732209e-01 4.634103627902868894e+00 6.345780861670443862e+00 5.236195821160462283e-02
1.254086819971138578e+00 7.880866461982805937e+00 6.386861183263617292e+00 5.511523122411095266e-02
1.172365336263627489e+00 4.307345408807728759e+00 6.326650812812841806e+00 4.654400116885543115e-02
1.097915445325243766e+00 6.021685844841343282e+00 6.419497228688137547e+00 1.054677324558257051e-01
1.406552504829760242e+00 6.134109759049284349e+00 6.274470620570645529e+00 3.695578384641864250e-02
1.652297495320242948e+00 4.386637236697987774e+00 6.427099721577551605e+00 8.872490480541925240e-02
1.138499086677448258e+00 3.895834197851016256e+00 6.343985695355769394e+00 1.303369563223049921e-01
8.710419206222816957e-01 4.940923169229876954e+00 6.164431701506814854e+00 2.419664557269238792e-01
1.205916158491211476e+00 9.362689736750377634e+00 6.373346610217818231e+00 6.660796594912772595e-02
1.250399038487744363e+00 6.847526074978138588e+00 6.348796309088970524e+00 1.109720952218272161e-01
1.805651257056773318e+00 2.801257294472161874e+00 6.288211526630047565e+00 6.184212953131314888e-02
1.937695706570957466e+00 9.864833300275607897e+00 6.333112328760859278e+00 1.900341095191212804e-01
9.507260292614133634e-01 3.223472013054444751e+00 6.435144156519848835e+00 8.597789294674262894e-02
1.783649709753443835e+00 9.628213457221818317e+00 6.315598006179071078e+00 7.689482552112315850e-02
1.273960927471253779e+00 7.405696060621624888e+00 6.178706699800669000e+00 1.430658124265122844e-01
9.822467125880096628e-01 8.814501475964148014e+00 6.247581635721378035e+00 7.470534561519641403e-02
1.145602371873646774e+00 3.859011217935615967e+00 6.258506669400389910e+00 8.374527585843311028e-02
1.080176837963354286e+00 6.566258438388514307e+00 6.322029237949966962e+00 7.930393828678547474e-02
1.087527635332442344e+00 9.126865591932437738e+00 6.345519195160817638e+00 1.677274356968954938e-01
1.505836157110677087e+00 9.943723090867166547e+00 6.384488018810193566e+00 6.329183127862912650e-02
1.257123688853385435e+00 5.838945020977183376e+00 6.484408850841671956e+00 2.531569240840342294e-01
1.170219781166046635e+00 5.699474205909060842e+00 6.546029314714441938e+00 1.921325037041513029e-01
1.178373731299252158e+00 8.390170906332119927e+00 6.218776384038549487e+00 4.613147556340194827e-02
1.571497646454744102e+00 6.087632736110657028e+00 6.242164160015045482e+00 9.700356608632557109e-02
1.447778676781366070e+00 6.229360640621950829e+00 6.254655339370324363e+00 1.067421165016712858e-01
7.587061945941473429e-01 5.522158057663149044e+00 6.467062808239676386e+00 3.141395412947213250e-01
1.105574365906786705e+00 7.169492763425380666e+00 6.384127987820357397e+00 6.301838231524184430e-02
1.039558130061553287e+00 5.787041462831059135e+00 6.291503495326881357e+00 5.689829105776918194e-02
1.355935442106803279e+00 4.296789954241045706e+00 6.314873921462461404e+00 3.049899226934550678e-02
7.896762580153726674e-01 3.778819318236802616e+00 6.066826692214854155e+00 1.685470871320530750e-01
1.268012247242869872e+00 3.079371605302545944e+00 6.264145904524199615e+00 7.653631136354886733e-02
8.237075705743404086e-01 2.841531685646149885e+00 6.293400180977163139e+00 1.322975966812845738e-01
1.250630996015372087e+00 4.896708161225559408e+00 6.267891612042835625e+00 4.279506962465456921e-02
1.318119406524710158e+00 8.509909905644319039e+00 6.031240503742117731e+00 2.915265353153050909e-01
7.980875038025165846e-01 4.951579634204766656e+00 6.281616065958721684e+00 3.218866320385926211e-02
1.041668006542608493e+00 5.145705923535699888e+00 6.185541703951884962e+00 8.342324567142095360e-02
1.182445294076167830e+00 4.751421842487699720e+00 6.180931289484576041e+00 1.167676009188776121e-01
1.259958752796171311e+00 6.708413679502025495e+00 6.270569160222660976e+00 5.347444344489642176e-02
8.768422741563424161e-01 3.475432812985256970e+00 6.253337147439548716e+00 9.226764646534596492e-02
1.025989582254059673e+00 4.420145661883914556e+00 6.226851484306853202e+00 1.054634579731417443e-01
1.185537307835816900e+00 1.134815439793143632e+01 6.189844685755891973e+00 1.277188646329611710e-01
1.744501664481176162e+00 5.240882481250782376e+00 6.254444310164410936e+00 5.557410737785696553e-02
1.176837206126389868e+00 6.318798310602678825e+00 6.485225390218926300e+00 1.530288997732658363e-01
1.479211156497530100e+00 3.979253680012101668e+00 6.463645814998272066e+00 2.574777496336849714e-01
1.130885996070332133e+00 5.522825167689505932e+00 6.261794260750360053e+00 1.645508142374262073e-02
1.514183316747709895e+00 5.032091983201558705e+00 6.247140834765321671e+00 1.512764243529597930e-01
1.125039241586006211e+00 9.833041058151998470e+00 6.228316904839746648e+00 8.949335448192069498e-02
6.867518283061105899e-01 3.715606589607876931e+00 6.370191207242004161e+00 2.277744929751999714e-01
1.002277653537056779e+00 8.049651495432033954e+00 6.324188070026116826e+00 6.801014655830063538e-02
2.014738729287990360e+00 4.976299441148857028e+00 6.414566483644642325e+00 9.226105432184802946e-02
1.375383095502348052e+00 7.002082432892327013e+00 6.379246640735397378e+00 1.170636593957848637e-01
1.388355113835030519e+00 6.017479869830704153e+00 6.244539081813937464e+00 3.119376358174749328e-02
1.345181943411291936e+00 5.984884486675190907e+00 6.421338068972588964e+00 1.864530951389479774e-01
9.980626323927902499e-01 5.719986833066442955e+00 6.156169206963993723e+00 2.077356576413419975e-01
1.397646976063296131e+00 3.353363479345372600e+00 6.266921833092498062e+00 7.933301581039316208e-02
1.022057316331597576e+00 6.648698515589989810e+00 6.272494886156967375e+00 1.067891277835536223e-01
1.589914144186860057e+00 5.716884780467603733e+00 6.088060692432356369e+00 1.646326917634457487e-01
1.432986334124579875e+00 7.970707695074281673e+00 6.426237307236135621e+00 7.178981727093668164e-02
1.157599290697774341e+00 7.296328650201947319e+00 6.285212401766233192e+00 6.333253134991503885e-02
1.148998079043152432e+00 5.537933798767504356e+00 6.131151433173238630e+00 1.221288089012988881e-01
9.200045490810524473e-01 6.092362204405181281e+00 6.065174303639977893e+00 1.649036405173598951e-01
9.839659964032368977e-01 5.106402184571241065e+00 6.437558224902867110e+00 1.270137485061110239e-01
1.461960139097948197e+00 1.201256223455732908e+01 6.267827017332566086e+00 3.145174352617814695e-02
9.559892170061985439e-01 4.056416598340742752e+00 6.105498344768659713e+00 1.454028500853888906e-01
1.431848962300259931e+00 6.443007353153273442e+00 6.554041434545102796e+00 1.343777880677938519e-01
1.249419898530103934e+00 1.269618917036456907e+01 6.272826886724291562e+00 6.035866310368284693e-02
1.017301854870787947e+00 6.681751055946641316e+00 6.232017905815156134e+00 1.953292732555408917e-01
1.505249640795192745e+00 2.882706453741056496e+00 6.231434803536654243e+00 2.757700253246057193e-02
