Compound,Channel,Experiment,Dose,Response
Amiodarone,hERG,1,0.0008,0
Amiodarone,hERG,2,0.0008,0
Amiodarone,hERG,3,0.0008,0
Amiodarone,hERG,1,0.08,12
Amiodarone,hERG,2,0.08,17.8
Amiodarone,hERG,3,0.08,14.8
Amiodarone,hERG,1,0.8,37.5
Amiodarone,hERG,2,0.8,62.7
Amiodarone,hERG,3,0.8,60.2
Amiodarone,hERG,1,8,66.5
Amiodarone,hERG,2,8,80.2
Amiodarone,hERG,3,8,73.3
Amiodarone,Nav1.5-peak,1,0.0008,0
Amiodarone,Nav1.5-peak,2,0.0008,0.2
Amiodarone,Nav1.5-peak,3,0.0008,0.04
Amiodarone,Nav1.5-peak,1,0.08,0
Amiodarone,Nav1.5-peak,2,0.08,0.5
Amiodarone,Nav1.5-peak,3,0.08,0.3
Amiodarone,Nav1.5-peak,1,0.8,25.3
Amiodarone,Nav1.5-peak,2,0.8,17.5
Amiodarone,Nav1.5-peak,3,0.8,26.9
Amiodarone,Nav1.5-peak,4,0.8,24.1
Amiodarone,Nav1.5-peak,1,8,60.3
Amiodarone,Nav1.5-peak,2,8,75.3
Amiodarone,Nav1.5-peak,3,8,42.3
Amiodarone,Nav1.5-late,1,0.0008,2.3
Amiodarone,Nav1.5-late,2,0.0008,0
Amiodarone,Nav1.5-late,3,0.0008,0
Amiodarone,Nav1.5-late,1,0.08,21
Amiodarone,Nav1.5-late,2,0.08,13.5
Amiodarone,Nav1.5-late,3,0.08,9.2
Amiodarone,Nav1.5-late,1,0.8,28.4
Amiodarone,Nav1.5-late,2,0.8,23.8
Amiodarone,Nav1.5-late,3,0.8,49.7
Amiodarone,Nav1.5-late,1,8,38.4
Amiodarone,Nav1.5-late,2,8,36.9
Amiodarone,Nav1.5-late,3,8,59.3
Amiodarone,Nav1.5-late,4,8,53.3
Amiodarone,Cav1.2,1,0.0008,0
Amiodarone,Cav1.2,2,0.0008,1.9
Amiodarone,Cav1.2,3,0.0008,0.3
Amiodarone,Cav1.2,1,0.08,17.4
Amiodarone,Cav1.2,2,0.08,12.9
Amiodarone,Cav1.2,3,0.08,19.1
Amiodarone,Cav1.2,1,0.8,36.8
Amiodarone,Cav1.2,2,0.8,52.8
Amiodarone,Cav1.2,3,0.8,40.9
Amiodarone,Cav1.2,1,8,69.2
Amiodarone,Cav1.2,2,8,83.6
Amiodarone,Cav1.2,3,8,69.6
Amiodarone,KvLQT1/mink,1,0.0008,4.6
Amiodarone,KvLQT1/mink,2,0.0008,0
Amiodarone,KvLQT1/mink,3,0.0008,0.5
Amiodarone,KvLQT1/mink,1,0.08,4.3
Amiodarone,KvLQT1/mink,2,0.08,3.9
Amiodarone,KvLQT1/mink,3,0.08,3.5
